timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-52.426792,455,,,
910,-59.301254,455,,,
1365,-54.74103,455,,,
1820,-51.929872,455,,,
2275,-51.38574,455,,,
2730,-52.119671,455,,,
3185,-51.669825,455,,,
3640,-54.954254,455,,,
4095,-48.979188,455,0.014126062393188477,6.40811687707901,6.247943186759949
4550,-48.71145,455,,,
5005,-54.290112,455,,,
5460,-64.359562,455,,,
5915,-52.848441,455,0.2265450358390808,6.419957929849625,2.2582183122634887
6370,-67.014242,455,,,
6825,-51.602602,455,,,
7280,-53.947179,455,,,
7735,-50.850856,455,,,
8190,-50.91669,455,0.40714365243911743,6.409254765510559,4.444171062111854
8645,-61.662088,455,,,
9100,-59.479804,455,,,
9555,-54.468448,455,,,
10010,-52.732386,455,0.6901319026947021,6.404997187852859,3.0425872921943666
10465,-51.839372,455,,,
10920,-49.009236,455,,,
11375,-50.936618,455,,,
11830,-49.970628,455,,,
12285,-52.958129,455,0.6717082262039185,6.403076559305191,5.6737517476081845
12740,-51.205059,455,,,
13195,-52.043975,455,,,
13650,-52.648417,455,,,
14105,-49.336725,455,0.7891805768013,6.421191817522049,2.652209733426571
14560,-59.874485,455,,,
15015,-57.94678,455,,,
15470,-51.018898,455,,,
15925,-51.798752,455,,,
16380,-59.250139,455,0.8654366731643677,6.448476976156234,2.046477364003658
16835,-56.15364,455,,,
17290,-49.506351,455,,,
17745,-51.045763,455,,,
18200,-55.033028,455,0.8376680016517639,6.463311779499054,3.1249420434236526
18655,-51.593801,455,,,
19110,-54.602881,455,,,
19565,-46.753336,455,,,
20020,-65.200935,455,,,
20475,-55.415359,455,0.8762190341949463,6.469098657369614,2.840513567626476
20930,-48.268923,455,,,
21385,-44.949997,455,,,
21840,-49.564169,455,,,
22295,-56.511061,455,0.8255445957183838,6.485729455947876,3.828772935271263
22750,-48.135663,455,,,
23205,-48.289822,455,,,
23660,-64.13575,455,,,
24115,-47.213763,455,,,
24570,-54.940515,455,0.8793414831161499,6.509054517745971,2.631712183356285
25025,-56.799452,455,,,
25480,-57.156425,455,,,
25935,-47.996043,455,,,
26390,-47.990377,455,0.8830874562263489,6.532872486114502,2.477753314375877
26845,-46.293273,455,,,
27300,-49.995603,455,,,
27755,-48.052631,455,,,
28210,-60.508246,455,,,
