timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-44.477316,455,,,
910,-45.23569,455,,,
1365,-40.904949,455,,,
1820,-40.148308,455,,,
2275,-42.425801,455,,,
2730,-44.384651,455,,,
3185,-44.245519,455,,,
3640,-44.450822,455,,,
4095,-43.457446,455,-0.006072521209716797,6.374953645467758,9.84109953045845
4550,-40.626071,455,,,
5005,-42.55822,455,,,
5460,-37.771452,455,,,
5915,-46.15433,455,0.14808177947998047,6.3608976066112515,6.179738545417786
6370,-29.712674,455,,,
6825,-38.571569,455,,,
7280,-30.291844,455,,,
7735,-37.053288,455,,,
8190,-41.216128,455,0.3893930912017822,6.362797641754151,5.837818855047226
8645,-26.366178,455,,,
9100,-50.442529,455,,,
9555,-34.196743,455,,,
10010,-49.149296,455,0.5878653526306152,6.3752117395401005,5.0384418100118635
10465,-39.565437,455,,,
10920,-33.087364,455,,,
11375,-39.329286,455,,,
11830,-31.786485,455,,,
12285,-38.492529,455,0.510269820690155,6.399189281463623,6.1493233919143675
12740,-42.083168,455,,,
13195,-33.666575,455,,,
13650,-43.364301,455,,,
14105,-37.969349,455,0.7516993284225464,6.416404229402542,3.603243562579155
14560,-35.800702,455,,,
15015,-24.658566,455,,,
15470,-44.883469,455,,,
15925,-42.819777,455,,,
16380,-31.261719,455,0.8296710848808289,6.412880247831344,2.7617877215147018
16835,-27.989867,455,,,
17290,-36.125686,455,,,
17745,-42.811129,455,,,
18200,-34.813164,455,0.7045357823371887,6.416103327274323,4.397100600600242
18655,-39.902457,455,,,
19110,-37.679314,455,,,
19565,-33.885123,455,,,
20020,-34.876138,455,,,
20475,-35.524541,455,0.7946413159370422,6.418355339765549,3.259266051650047
20930,-34.57039,455,,,
21385,-40.3112,455,,,
21840,-44.879829,455,,,
22295,-34.716024,455,0.7531612515449524,6.41852576136589,4.456688493490219
22750,-38.03739,455,,,
23205,-38.781871,455,,,
23660,-28.541646,455,,,
24115,-34.613134,455,,,
24570,-37.742761,455,0.8048078417778015,6.430342656373978,3.166366183757782
25025,-40.685868,455,,,
25480,-46.19389,455,,,
25935,-39.428521,455,,,
26390,-37.722824,455,0.8394054174423218,6.4462143123149875,3.063266372680664
26845,-34.174182,455,,,
27300,-40.723637,455,,,
27755,-32.088138,455,,,
28210,-24.741022,455,,,
28665,-36.889278,455,0.796349287033081,6.4534457445144655,3.5190457552671432
29120,-34.227744,455,,,
29575,-42.884892,455,,,
30030,-35.941689,455,,,
30485,-40.79656,455,0.7597284913063049,6.456382882595062,4.4474696815013885
30940,-37.330715,455,,,
31395,-35.635647,455,,,
31850,-38.788284,455,,,
32305,-36.042074,455,,,
32760,-31.103756,455,0.8616756796836853,6.46481311917305,2.614043378829956
33215,-32.546496,455,,,
33670,-36.211956,455,,,
34125,-39.636695,455,,,
34580,-36.148838,455,0.8839980959892273,6.481916058063507,2.553129756450653
35035,-37.017725,455,,,
35490,-34.735845,455,,,
35945,-35.212682,455,,,
36400,-30.628686,455,,,
36855,-38.477807,455,0.8461613655090332,6.49059094786644,3.0556997507810593
37310,-37.466918,455,,,
37765,-32.515052,455,,,
38220,-33.936261,455,,,
38675,-36.577318,455,0.9002291560173035,6.502261763811111,1.8837035670876503
39130,-35.121262,455,,,
39585,-39.229601,455,,,
40040,-30.886671,455,,,
40495,-36.898331,455,,,
40950,-33.245638,455,0.8636276125907898,6.525285613536835,2.2867308080196382
41405,-30.734693,455,,,
41860,-34.365742,455,,,
42315,-26.465498,455,,,
42770,-25.755396,455,0.9030656814575195,6.554330849647522,2.0740372240543365
43225,-29.232667,455,,,
43680,-34.976437,455,,,
44135,-30.326063,455,,,
44590,-26.951976,455,,,
45045,-24.989944,455,0.8939244747161865,6.574577331542969,1.786867554485798
45500,-26.012809,455,,,
45955,-22.405825,455,,,
46410,-23.173205,455,,,
46865,-26.23646,455,0.9060540795326233,6.588686662912369,1.9895117357373238
47320,-32.403325,455,,,
47775,-32.535727,455,,,
48230,-27.846812,455,,,
48685,-37.557288,455,,,
49140,-34.422722,455,0.9026477336883545,6.60463514328003,2.014785835146904
49595,-34.748492,455,,,
50050,-32.193396,455,,,
50505,-28.880812,455,,,
50960,-35.995402,455,0.8839778304100037,6.614805370569229,2.5009718358516695
51415,-30.055419,455,,,
51870,-29.862723,455,,,
52325,-27.610869,455,,,
52780,-32.330562,455,,,
53235,-26.218949,455,0.8908916711807251,6.6260840713977815,1.9690347194671631
53690,-23.432643,455,,,
54145,-31.338669,455,,,
54600,-28.131899,455,,,
55055,-38.628274,455,0.9134436845779419,6.6327694952487946,1.6104566738009454
55510,-32.928954,455,,,
55965,-31.426966,455,,,
56420,-27.507409,455,,,
56875,-45.124873,455,,,
57330,-29.010828,455,0.8685023188591003,6.636746168136597,2.9463683009147643
57785,-30.018701,455,,,
58240,-28.992502,455,,,
58695,-39.613501,455,,,
59150,-33.14488,455,0.896623969078064,6.651963841915131,2.2658643022179605
59605,-21.847956,455,,,
60060,-27.061301,455,,,
60515,-23.513884,455,,,
60970,-24.445837,455,,,
61425,-29.166847,455,0.8801183104515076,6.674375289678574,2.3397782891988754
61880,-29.073877,455,,,
62335,-18.347072,455,,,
62790,-28.747833,455,,,
