timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-77.610976,455,,,
910,-70.776238,455,,,
1365,-76.517565,455,,,
1820,-82.629378,455,,,
2275,-77.859147,455,,,
2730,-76.260022,455,,,
3185,-76.074301,455,,,
3640,-78.153366,455,,,
4095,-76.619971,455,-0.008322954177856445,6.370664286613464,6.033866226673126
4550,-75.658541,455,,,
5005,-78.188991,455,,,
5460,-71.947931,455,,,
5915,-77.657086,455,0.06071043014526367,6.365621525049209,3.973343613743782
6370,-64.033465,455,,,
6825,-76.218072,455,,,
7280,-83.585378,455,,,
7735,-77.758673,455,,,
8190,-74.893313,455,0.2228536605834961,6.389729118347168,4.842769411206246
8645,-75.420685,455,,,
9100,-68.521939,455,,,
9555,-82.322361,455,,,
10010,-78.119567,455,0.43326056003570557,6.405866926908493,4.296490910649299
10465,-79.938639,455,,,
10920,-78.152729,455,,,
11375,-76.913781,455,,,
11830,-74.35277,455,,,
12285,-78.64131,455,0.45219457149505615,6.40708749294281,6.030611819028854
12740,-78.313648,455,,,
13195,-77.485839,455,,,
13650,-75.301444,455,,,
14105,-77.419918,455,0.7033304572105408,6.405500310659408,2.8955367118120194
14560,-69.39444,455,,,
15015,-66.607667,455,,,
15470,-77.566292,455,,,
15925,-75.057423,455,,,
16380,-71.784235,455,0.8077664971351624,6.433598667383194,1.8402926683425904
16835,-67.141194,455,,,
17290,-76.589133,455,,,
17745,-77.124496,455,,,
18200,-68.750928,455,0.8155052661895752,6.461146211624145,3.428052246570587
18655,-76.057437,455,,,
19110,-73.29918,455,,,
19565,-73.64823,455,,,
20020,-69.265096,455,,,
20475,-74.771785,455,0.8524920344352722,6.47974351644516,2.6306410789489747
20930,-72.789377,455,,,
21385,-79.528488,455,,,
21840,-75.327966,455,,,
22295,-75.355219,455,0.8654704093933105,6.4913581848144535,3.047000089287758
22750,-74.569165,455,,,
23205,-74.122192,455,,,
23660,-76.907115,455,,,
24115,-74.919622,455,,,
24570,-73.779411,455,0.8856456875801086,6.486427730321884,2.2381888002157213
25025,-86.038177,455,,,
25480,-75.625356,455,,,
25935,-74.933037,455,,,
26390,-74.229481,455,0.9114680290222168,6.483906203508377,2.1593603163957598
26845,-80.213905,455,,,
27300,-73.949934,455,,,
27755,-71.739977,455,,,
28210,-63.783663,455,,,
28665,-75.411742,455,0.8696940541267395,6.489545673131943,2.757073336839676
29120,-72.216771,455,,,
29575,-66.995493,455,,,
30030,-75.035065,455,,,
30485,-76.70756,455,0.8790482878684998,6.490180665254593,3.1764897078275682
30940,-73.695149,455,,,
31395,-72.397303,455,,,
31850,-73.841085,455,,,
32305,-73.744131,455,,,
32760,-74.322692,455,0.9187002778053284,6.494589465856552,1.7187630400061606
33215,-70.542861,455,,,
33670,-73.688574,455,,,
34125,-77.166873,455,,,
34580,-73.776201,455,0.9444917440414429,6.509195673465729,1.5086289018392562
35035,-70.329864,455,,,
35490,-71.749145,455,,,
35945,-73.021181,455,,,
36400,-78.886485,455,,,
36855,-71.048158,455,0.9132784008979797,6.520577180385589,2.1394204273819923
37310,-70.713683,455,,,
37765,-71.194028,455,,,
38220,-71.352067,455,,,
38675,-66.795959,455,0.9597607851028442,6.5314877212047575,1.1026402585208417
39130,-72.422395,455,,,
39585,-73.913024,455,,,
40040,-72.996524,455,,,
40495,-78.886887,455,,,
40950,-72.724669,455,0.9505277872085571,6.541120088100433,1.3510837376117706
41405,-72.843327,455,,,
41860,-74.955275,455,,,
42315,-73.169299,455,,,
42770,-71.232128,455,0.9678812026977539,6.548796904087067,0.9430344596505165
43225,-70.094966,455,,,
43680,-76.497109,455,,,
44135,-72.734413,455,,,
44590,-69.700349,455,,,
45045,-69.119968,455,0.9670208692550659,6.559595727920533,0.85020831823349
45500,-69.121216,455,,,
45955,-61.90627,455,,,
46410,-73.520613,455,,,
46865,-71.076337,455,0.9688790440559387,6.565856844186783,0.9281307473778725
47320,-73.158975,455,,,
47775,-77.602991,455,,,
48230,-71.952307,455,,,
48685,-80.896881,455,,,
49140,-73.714852,455,0.9556342959403992,6.579912656545639,1.2630649566650392
49595,-68.739097,455,,,
50050,-69.739082,455,,,
50505,-71.50201,455,,,
50960,-68.646629,455,0.9570637941360474,6.593516850471497,1.2912430092692375
51415,-71.754087,455,,,
51870,-65.464813,455,,,
52325,-71.904869,455,,,
52780,-72.27995,455,,,
53235,-72.784,455,0.9576854705810547,6.597057837247848,1.2167675018310546
53690,-77.57288,455,,,
54145,-72.183219,455,,,
54600,-68.354467,455,,,
55055,-75.790278,455,0.9724295139312744,6.622872889041901,0.7800303041934967
55510,-65.285642,455,,,
55965,-71.350734,455,,,
56420,-68.03869,455,,,
56875,-78.148827,455,,,
57330,-77.081788,455,0.940427839756012,6.654804140329361,1.8078913867473603
57785,-69.786886,455,,,
58240,-78.908752,455,,,
58695,-70.078204,455,,,
59150,-72.833599,455,0.9547231197357178,6.664622360467911,1.4216408267617227
59605,-70.10115,455,,,
60060,-70.898352,455,,,
60515,-70.485983,455,,,
60970,-69.680617,455,,,
61425,-63.532801,455,0.9457961916923523,6.665452301502228,1.7336983308196068
61880,-77.480524,455,,,
62335,-69.100148,455,,,
62790,-73.09258,455,,,
63245,-70.574115,455,0.979278564453125,6.668278110027313,0.6347563076764345
63700,-80.389576,455,,,
64155,-67.524461,455,,,
64610,-69.359839,455,,,
65065,-68.675087,455,,,
65520,-65.184609,455,0.9736115336418152,6.6880272150039675,0.7696425005793571
65975,-64.85895,455,,,
66430,-70.592826,455,,,
66885,-70.811985,455,,,
67340,-68.201924,455,0.9695716500282288,6.705263245105743,0.8448282748460769
67795,-71.275797,455,,,
68250,-70.85139,455,,,
68705,-69.823097,455,,,
69160,-65.835256,455,,,
69615,-62.392446,455,0.9621175527572632,6.7216056227684025,1.2200111508369447
70070,-66.076712,455,,,
70525,-81.876911,455,,,
70980,-67.967687,455,,,
71435,-71.809214,455,0.9548044204711914,6.752322041988373,1.6429635062813759
71890,-84.702949,455,,,
72345,-67.273469,455,,,
72800,-78.996308,455,,,
73255,-52.188034,455,,,
73710,-72.041425,455,0.9736523032188416,6.767951631546021,0.791068260371685
74165,-67.246791,455,,,
74620,-67.565665,455,,,
75075,-65.766257,455,,,
75530,-76.263862,455,0.9527772665023804,6.78199365735054,1.7536187157034875
75985,-62.850915,455,,,
76440,-67.07573,455,,,
76895,-66.258272,455,,,
77350,-66.06046,455,,,
77805,-62.986218,455,0.9644511938095093,6.816075855493546,1.1372822470963002
78260,-66.142722,455,,,
78715,-72.174193,455,,,
79170,-73.983627,455,,,
79625,-67.634828,455,0.9759885668754578,6.854009813070297,0.7903789680451154
80080,-65.600934,455,,,
80535,-67.373914,455,,,
80990,-65.192214,455,,,
81445,-67.611079,455,,,
81900,-67.2205,455,0.9664724469184875,6.895210766792298,0.9282365992665291
82355,-63.424945,455,,,
82810,-63.759934,455,,,
83265,-75.348277,455,,,
83720,-63.251464,455,0.9932109117507935,6.940601187944412,0.17069060737267136
84175,-63.385531,455,,,
84630,-69.535062,455,,,
85085,-66.798445,455,,,
85540,-62.633213,455,,,
85995,-62.696247,455,0.966856062412262,6.980146825313568,0.885256876796484
86450,-63.807095,455,,,
86905,-72.209593,455,,,
87360,-62.914354,455,,,
87815,-67.078737,455,0.9729547500610352,6.987761276960373,0.9233715392649173
88270,-67.428866,455,,,
88725,-63.355887,455,,,
89180,-65.243555,455,,,
89635,-67.559042,455,,,
90090,-61.908675,455,0.9782923460006714,7.009609466791153,0.669332655891776
90545,-60.766009,455,,,
91000,-64.126817,455,,,
91455,-63.235304,455,,,
91910,-53.486118,455,0.9780628085136414,7.024410629272461,0.7274924796074629
92365,-61.21608,455,,,
92820,-70.151741,455,,,
93275,-60.721211,455,,,
93730,-61.221424,455,,,
94185,-61.371628,455,0.9684728384017944,7.045816814899444,0.8494469739496708
94640,-60.538923,455,,,
95095,-67.6611,455,,,
95550,-61.449617,455,,,
96005,-60.407792,455,0.9811285734176636,7.0767478287220005,0.5017677053809166
96460,-60.795515,455,,,
96915,-61.079047,455,,,
97370,-63.929086,455,,,
97825,-57.754519,455,,,
98280,-65.190408,455,0.9544883966445923,7.106843256950379,1.5630309566855431
98735,-60.269765,455,,,
99190,-57.071659,455,,,
99645,-58.752967,455,,,
100100,-58.384887,455,0.9592196345329285,7.128588265180587,1.4630489289760589
100555,-60.771615,455,,,
101010,-55.161891,455,,,
101465,-60.305423,455,,,
101920,-69.385242,455,,,
102375,-61.657391,455,0.9791827201843262,7.157275277376175,0.467732735350728
102830,-60.458108,455,,,
103285,-61.826112,455,,,
103740,-58.920649,455,,,
104195,-60.631925,455,0.9646306037902832,7.175773173570633,1.0893798857927321
104650,-75.446164,455,,,
105105,-59.408215,455,,,
105560,-54.88297,455,,,
106015,-63.099688,455,,,
106470,-60.386816,455,0.9690305590629578,7.184733152389526,0.9301291987299919
106925,-57.71716,455,,,
107380,-59.788947,455,,,
107835,-60.085768,455,,,
108290,-61.427958,455,0.9727585315704346,7.196046769618988,0.6729824721813202
108745,-66.02625,455,,,
109200,-57.660691,455,,,
109655,-55.078062,455,,,
110110,-59.863377,455,,,
110565,-60.114892,455,0.9665525555610657,7.224035835266113,0.9442948460578918
111020,-67.190002,455,,,
111475,-58.050036,455,,,
111930,-59.666082,455,,,
112385,-61.216126,455,0.9740030169487,7.261099952459335,0.6766488969326019
112840,-58.237006,455,,,
113295,-75.53884,455,,,
113750,-60.384608,455,,,
114205,-63.247592,455,,,
114660,-58.004684,455,0.9773133993148804,7.311780750751495,0.4352721903473139
115115,-54.789677,455,,,
115570,-58.710147,455,,,
116025,-61.175295,455,,,
116480,-59.083992,455,0.9650797247886658,7.34305784702301,1.3215130016207695
116935,-57.510914,455,,,
117390,-58.535483,455,,,
117845,-56.188663,455,,,
118300,-59.180762,455,,,
118755,-59.598513,455,0.9733209013938904,7.357433354854583,0.748637218773365
119210,-58.523398,455,,,
119665,-55.396409,455,,,
120120,-58.702647,455,,,
120575,-67.372331,455,0.9827362298965454,7.386238396167755,0.44890461638569834
121030,-66.898318,455,,,
121485,-57.829395,455,,,
121940,-72.539716,455,,,
122395,-66.236369,455,,,
122850,-68.237856,455,0.9612712264060974,7.42990871667862,1.198734027147293
123305,-57.027781,455,,,
123760,-57.166508,455,,,
124215,-59.920505,455,,,
124670,-56.058864,455,0.9660266041755676,7.435737162828445,1.2525793671607972
