timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-80.869434,455,,,
910,-37.313097,455,,,
1365,-28.71866,455,,,
1820,-39.988104,455,,,
2275,-85.780712,455,,,
2730,-83.389833,455,,,
3185,-86.101423,455,,,
3640,-81.111717,455,,,
4095,-85.340446,455,-0.004769086837768555,6.413154685497284,10.60216590166092
4550,-85.718891,455,,,
5005,-88.572655,455,,,
5460,-40.773723,455,,,
5915,-82.03152,455,0.10242700576782227,6.441189312934876,10.82376720905304
6370,-34.708233,455,,,
6825,-78.199844,455,,,
7280,-38.050637,455,,,
7735,-78.826001,455,,,
8190,-83.112884,455,0.29140812158584595,6.443366611003876,10.220526617765426
8645,-47.262699,455,,,
9100,-44.249676,455,,,
9555,-44.969715,455,,,
10010,-35.821025,455,0.5388287305831909,6.447880774736404,7.797512322664261
10465,-78.889577,455,,,
10920,-81.689598,455,,,
11375,-80.624661,455,,,
11830,-49.260085,455,,,
12285,-79.988772,455,0.39383840560913086,6.450388669967651,7.009162521362304
12740,-85.337609,455,,,
13195,-75.783964,455,,,
13650,-83.880548,455,,,
14105,-78.098953,455,0.6853995323181152,6.458973997831345,6.107186138629913
14560,-36.198852,455,,,
15015,-44.686262,455,,,
15470,-81.758918,455,,,
15925,-81.122164,455,,,
16380,-37.901803,455,0.7409012317657471,6.481232732534409,6.573634314537048
16835,-42.128004,455,,,
17290,-77.979762,455,,,
17745,-79.819599,455,,,
18200,-40.317587,455,0.7485545873641968,6.512170672416687,5.286907407641411
18655,-76.064956,455,,,
19110,-35.592793,455,,,
19565,-82.727406,455,,,
20020,-31.108408,455,,,
20475,-36.850113,455,0.7842226028442383,6.525638204813004,5.265068274736405
20930,-80.125795,455,,,
21385,-47.332373,455,,,
21840,-78.151086,455,,,
22295,-42.155663,455,0.7385052442550659,6.525243723392487,5.9441418766975405
22750,-77.594615,455,,,
23205,-79.378018,455,,,
23660,-37.054152,455,,,
24115,-79.5918,455,,,
24570,-40.831001,455,0.7998657822608948,6.519623947143555,5.0378319948911665
25025,-26.784109,455,,,
25480,-39.02108,455,,,
25935,-48.078951,455,,,
26390,-80.483442,455,0.82585209608078,6.53032408952713,4.80716664493084
26845,-32.568856,455,,,
27300,-34.94205,455,,,
27755,-43.324883,455,,,
28210,-36.692495,455,,,
28665,-39.133998,455,0.776625394821167,6.539951479434967,5.123949003219605
29120,-79.568047,455,,,
29575,-32.440197,455,,,
30030,-76.032083,455,,,
30485,-48.879032,455,0.6690737009048462,6.562057322263717,4.056065344810486
30940,-81.350437,455,,,
31395,-23.17652,455,,,
31850,-32.797751,455,,,
32305,-77.379223,455,,,
32760,-74.623218,455,0.8199170827865601,6.582450664043426,3.485573324561119
33215,-32.019889,455,,,
33670,-79.23468,455,,,
34125,-44.745043,455,,,
34580,-28.227181,455,0.8536383509635925,6.5928281307220455,3.476335954666138
35035,-79.435633,455,,,
35490,-77.128528,455,,,
35945,-79.23617,455,,,
36400,-27.926326,455,,,
36855,-87.241882,455,0.8640440106391907,6.586735010147095,3.928231602907181
37310,-34.331502,455,,,
37765,-74.724133,455,,,
38220,-75.835771,455,,,
38675,-38.655564,455,0.8840752840042114,6.5845145881175995,3.97619269490242
39130,-79.911375,455,,,
39585,-83.952689,455,,,
40040,-78.479744,455,,,
40495,-49.349394,455,,,
40950,-75.993046,455,0.9136238694190979,6.597692430019379,2.9070845633745193
41405,-75.204502,455,,,
41860,-81.452706,455,,,
42315,-43.756216,455,,,
42770,-74.359411,455,0.9229444265365601,6.599666631221771,2.8946340888738633
43225,-74.521391,455,,,
