timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-75.518166,455,,,
910,-30.987213,455,,,
1365,-23.814272,455,,,
1820,-32.880091,455,,,
2275,-78.152818,455,,,
2730,-79.135586,455,,,
3185,-78.027389,455,,,
3640,-79.091706,455,,,
4095,-78.012882,455,-0.008262038230895996,6.392964226007462,10.309699630737304
4550,-75.448544,455,,,
5005,-82.841159,455,,,
5460,-30.551088,455,,,
5915,-76.445847,455,0.13998454809188843,6.407228404283524,10.147249060869218
6370,-10.995513,455,,,
6825,-78.148752,455,,,
7280,-21.501475,455,,,
7735,-78.81896,455,,,
8190,-74.912581,455,0.31748825311660767,6.421080732345581,10.41117941737175
8645,-26.403534,455,,,
9100,-34.913467,455,,,
9555,-24.624213,455,,,
10010,-24.419984,455,0.5054510831832886,6.420887064933777,8.616744685173035
10465,-72.921285,455,,,
10920,-72.907447,455,,,
11375,-78.420841,455,,,
11830,-25.206816,455,,,
12285,-77.694685,455,0.35690248012542725,6.4276615858078,7.211472076177597
12740,-75.495371,455,,,
13195,-76.465175,455,,,
13650,-76.976392,455,,,
14105,-73.215243,455,0.6576671004295349,6.446617013216018,5.926919156312943
14560,-43.656322,455,,,
15015,-32.720323,455,,,
15470,-70.401074,455,,,
15925,-71.942829,455,,,
16380,-36.537222,455,0.7882274389266968,6.466390228271484,5.137535658478737
16835,-38.822255,455,,,
17290,-77.246572,455,,,
17745,-78.880644,455,,,
18200,-22.084943,455,0.7126612067222595,6.45593449473381,5.28403679728508
18655,-74.386843,455,,,
19110,-25.615923,455,,,
19565,-70.033627,455,,,
20020,-32.279129,455,,,
20475,-42.811383,455,0.7713359594345093,6.454161012172699,5.005440494418144
20930,-71.795849,455,,,
21385,-37.244264,455,,,
21840,-73.005861,455,,,
22295,-47.585434,455,0.7874554395675659,6.470990186929702,4.351248329877853
22750,-76.462184,455,,,
23205,-71.90616,455,,,
23660,-14.29092,455,,,
24115,-71.449284,455,,,
24570,-29.233218,455,0.8570053577423096,6.489644259214401,3.937504893541336
25025,-35.486697,455,,,
25480,-28.591963,455,,,
25935,-30.847326,455,,,
26390,-77.381786,455,0.8589401245117188,6.502948611974716,3.444985622167587
26845,-30.00171,455,,,
27300,-36.630646,455,,,
27755,-40.169451,455,,,
28210,-38.262206,455,,,
28665,-30.712781,455,0.8432375192642212,6.510975980758667,3.849479004740715
29120,-68.05686,455,,,
29575,-29.59325,455,,,
30030,-72.363983,455,,,
30485,-22.520159,455,0.8193270564079285,6.516821557283402,3.607826495170593
30940,-77.123218,455,,,
31395,-35.413777,455,,,
31850,-21.859168,455,,,
32305,-66.766701,455,,,
32760,-68.170572,455,0.8810036778450012,6.524839478731155,3.150632384419441
33215,-22.753658,455,,,
33670,-71.256084,455,,,
34125,-25.820265,455,,,
34580,-25.729804,455,0.8984152674674988,6.525026881694794,2.557315967977047
35035,-66.7142,455,,,
35490,-66.713017,455,,,
35945,-67.174997,455,,,
36400,-25.768918,455,,,
36855,-69.245138,455,0.8995012640953064,6.523182076215744,2.627572898566723
37310,-33.325306,455,,,
37765,-76.123111,455,,,
38220,-71.826863,455,,,
38675,-31.378097,455,0.9193189740180969,6.532520461082458,2.577937567234039
39130,-67.76493,455,,,
39585,-70.875777,455,,,
40040,-67.988851,455,,,
40495,-46.336101,455,,,
40950,-71.247991,455,0.9234053492546082,6.551530128717422,2.743543827533722
41405,-71.840698,455,,,
41860,-68.482025,455,,,
42315,-34.779389,455,,,
42770,-67.897972,455,0.9289392828941345,6.554476869106293,2.5888632982969284
43225,-69.121323,455,,,
43680,-68.089013,455,,,
44135,-32.434725,455,,,
44590,-63.561771,455,,,
45045,-68.36277,455,0.9454239010810852,6.579102802276611,1.797786258161068
45500,-65.154414,455,,,
45955,-35.466704,455,,,
46410,-23.134376,455,,,
46865,-67.63024,455,0.9483481049537659,6.600446891784668,1.9584559977054596
47320,-70.467301,455,,,
47775,-33.71752,455,,,
48230,-66.591123,455,,,
48685,-28.510995,455,,,
49140,-69.966539,455,0.9361712336540222,6.609085577726364,2.4277923852205276
49595,-22.381995,455,,,
50050,-74.466262,455,,,
50505,-63.91963,455,,,
50960,-33.877937,455,0.9466261863708496,6.620146030187607,2.0962584152817727
51415,-70.393809,455,,,
51870,-12.455307,455,,,
52325,-65.615096,455,,,
52780,-67.878903,455,,,
53235,-61.766095,455,0.940765380859375,6.626686751842499,2.342662511765957
53690,-24.452106,455,,,
54145,-63.027453,455,,,
54600,-17.00363,455,,,
55055,-34.558796,455,0.9448657631874084,6.651589518785476,1.3885745652019978
55510,-24.595679,455,,,
55965,-71.245185,455,,,
56420,-60.761481,455,,,
56875,-20.280661,455,,,
57330,-25.840373,455,0.9226083755493164,6.68840913772583,2.56954011619091
57785,-63.068432,455,,,
58240,-30.328681,455,,,
58695,-28.271277,455,,,
59150,-29.656477,455,0.9487981200218201,6.727476251125336,1.9729480981826781
59605,-59.515895,455,,,
60060,-63.068783,455,,,
60515,-60.307815,455,,,
60970,-65.689044,455,,,
61425,-22.622748,455,0.9426738023757935,6.754032915830612,2.117408649623394
61880,-21.308532,455,,,
62335,-66.092463,455,,,
62790,-65.926567,455,,,
63245,-66.597669,455,0.9610742330551147,6.769915992021561,1.2526951797306538
63700,-25.692311,455,,,
64155,-65.350462,455,,,
64610,-64.910907,455,,,
65065,-65.255553,455,,,
65520,-30.878693,455,0.9565635323524475,6.786000293493271,1.764747104048729
65975,-21.600689,455,,,
66430,-57.349306,455,,,
66885,-25.322184,455,,,
67340,-62.771663,455,0.9573253393173218,6.806415069103241,1.6819176986813544
67795,-25.420698,455,,,
68250,-61.404643,455,,,
68705,-35.391647,455,,,
69160,-26.838756,455,,,
69615,-27.142331,455,0.9508006572723389,6.820404207706451,1.9722356528043747
70070,-61.394863,455,,,
70525,-24.852143,455,,,
70980,-63.488606,455,,,
71435,-62.525239,455,0.9314020276069641,6.821310806274414,2.479981209337711
71890,-23.573202,455,,,
72345,-60.152686,455,,,
72800,-28.18025,455,,,
73255,-20.621459,455,,,
73710,-27.70768,455,0.957375168800354,6.820887577533722,1.5807542845606803
74165,-19.973277,455,,,
74620,-60.745499,455,,,
75075,-57.835491,455,,,
75530,-39.607354,455,0.9428324699401855,6.816963940858841,2.455535206198692
75985,-30.580008,455,,,
76440,-58.524042,455,,,
76895,-55.954777,455,,,
77350,-58.453097,455,,,
77805,-26.655133,455,0.941983699798584,6.82614443898201,1.9406170129776001
78260,-60.513771,455,,,
78715,-17.485322,455,,,
79170,-34.939994,455,,,
79625,-58.705412,455,0.9597281217575073,6.840860134363174,1.4143102034926414
80080,-60.73969,455,,,
80535,-65.632505,455,,,
80990,-53.231979,455,,,
81445,-56.230449,455,,,
81900,-54.452423,455,0.9558868408203125,6.85216794013977,1.8359290570020677
82355,-59.603151,455,,,
82810,-17.777065,455,,,
83265,-18.065992,455,,,
83720,-51.660891,455,0.9672688245773315,6.871416980028153,1.0179913483560086
84175,-52.973985,455,,,
84630,-30.922919,455,,,
85085,-14.635158,455,,,
85540,-57.418546,455,,,
85995,-63.903582,455,0.9564327001571655,6.891270446777344,1.5532661758363246
86450,-56.407232,455,,,
86905,-20.53492,455,,,
87360,-54.448872,455,,,
87815,-60.439509,455,0.9489645957946777,6.907861876487732,1.7982025116682052
88270,-29.086427,455,,,
88725,-50.11536,455,,,
89180,-54.828015,455,,,
89635,-32.34554,455,,,
90090,-58.278865,455,0.960749089717865,6.927698576450348,1.4023341037333013
90545,-51.3806,455,,,
91000,-45.094872,455,,,
91455,-24.498565,455,,,
91910,-37.224092,455,0.9674382209777832,6.925921249389648,1.177362159639597
92365,-52.036861,455,,,
