timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-57.856285,455,,,
910,-70.594937,455,,,
1365,-76.114898,455,,,
1820,-82.188809,455,,,
2275,-57.97071,455,,,
2730,-61.644602,455,,,
3185,-46.936258,455,,,
3640,-59.638063,455,,,
4095,-61.767711,455,0.014636874198913574,6.384147650003433,6.771784764528275
4550,-55.912946,455,,,
5005,-59.433533,455,,,
5460,-71.474844,455,,,
5915,-57.408284,455,0.3306003212928772,6.377799016237259,5.627284315228462
6370,-63.429082,455,,,
6825,-54.187413,455,,,
7280,-83.364805,455,,,
7735,-57.130611,455,,,
8190,-62.115348,455,0.6092309951782227,6.376641315221787,5.547720804810524
8645,-74.711844,455,,,
9100,-67.990111,455,,,
9555,-81.437144,455,,,
10010,-77.178291,455,0.7295724153518677,6.389193642139435,5.548491585254669
10465,-56.604182,455,,,
10920,-58.259448,455,,,
11375,-57.226935,455,,,
11830,-72.433807,455,,,
12285,-53.22801,455,0.2665500044822693,6.3984259724617,6.6925918638706205
12740,-56.700799,455,,,
13195,-57.381191,455,,,
13650,-51.4973,455,,,
14105,-53.826356,455,0.9070097208023071,6.398865908384323,3.4956956565380097
14560,-66.705494,455,,,
15015,-64.969363,455,,,
15470,-56.160296,455,,,
15925,-55.57223,455,,,
16380,-68.818731,455,0.9344788789749146,6.415340143442154,2.084575706720352
16835,-65.133277,455,,,
17290,-57.030875,455,,,
17745,-48.868182,455,,,
18200,-67.936101,455,0.8452739715576172,6.447697180509567,3.7825757205486297
18655,-53.062442,455,,,
19110,-70.979405,455,,,
19565,-48.874423,455,,,
20020,-67.313561,455,,,
20475,-72.152662,455,0.9237512946128845,6.4736328542232515,2.7197055608034133
20930,-48.536571,455,,,
21385,-76.737506,455,,,
21840,-53.112113,455,,,
22295,-73.187489,455,0.9157591462135315,6.490152299404144,3.453011009097099
22750,-50.71887,455,,,
23205,-56.910363,455,,,
23660,-74.902737,455,,,
24115,-57.625954,455,,,
24570,-72.023935,455,0.9392389059066772,6.487768632173538,2.607913812994957
25025,-82.851658,455,,,
25480,-72.462364,455,,,
25935,-73.470972,455,,,
26390,-53.681428,455,0.9187190532684326,6.483869129419327,2.9471520841121674
26845,-78.512147,455,,,
27300,-71.797808,455,,,
27755,-69.826777,455,,,
28210,-63.305074,455,,,
28665,-74.341254,455,0.9134312272071838,6.49253249168396,3.077623429894447
29120,-50.096176,455,,,
29575,-65.11838,455,,,
30030,-53.053285,455,,,
30485,-75.131987,455,0.8647094964981079,6.485268008708954,3.675139716267586
30940,-51.736801,455,,,
31395,-70.013056,455,,,
31850,-70.812491,455,,,
32305,-53.441737,455,,,
32760,-58.004571,455,0.9423119425773621,6.483269357681275,2.198088359832764
33215,-67.676162,455,,,
33670,-52.057778,455,,,
34125,-75.112116,455,,,
34580,-71.055535,455,0.96379554271698,6.493491357564926,2.1338418841362
35035,-51.288565,455,,,
35490,-52.245444,455,,,
35945,-50.252207,455,,,
36400,-75.972503,455,,,
36855,-50.948044,455,0.9413975477218628,6.507567036151886,2.6390254735946654
37310,-67.033174,455,,,
37765,-48.505961,455,,,
38220,-49.58404,455,,,
38675,-64.163115,455,0.9709374904632568,6.512164288759232,1.7609099969267845
39130,-53.308969,455,,,
39585,-51.671437,455,,,
40040,-50.273449,455,,,
40495,-77.061583,455,,,
40950,-47.463632,455,0.9394919872283936,6.517137587070465,2.2189751252532006
41405,-53.158096,455,,,
41860,-50.058453,455,,,
42315,-70.957782,455,,,
42770,-52.312528,455,0.9734415411949158,6.5236534655094145,1.647175420820713
43225,-53.551911,455,,,
