timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-81.338493,455,,,
910,-70.4957,455,,,
1365,-70.961588,455,,,
1820,-71.39956,455,,,
2275,-94.047966,455,,,
2730,-90.574364,455,,,
3185,-89.541331,455,,,
3640,-89.646811,455,,,
4095,-78.05024,455,0.0015391111373901367,6.397207421064377,7.9037382960319515
4550,-80.313119,455,,,
5005,-78.955722,455,,,
5460,-78.872408,455,,,
5915,-82.150074,455,0.08233082294464111,6.409024697542191,8.7785593688488
6370,-68.623845,455,,,
6825,-95.616537,455,,,
7280,-82.540521,455,,,
7735,-75.997389,455,,,
8190,-87.954375,455,0.24220597743988037,6.42022117972374,6.246482694149018
8645,-70.563729,455,,,
9100,-76.5251,455,,,
9555,-67.644531,455,,,
10010,-73.65553,455,0.3243592381477356,6.443717408180237,7.9078444480896
10465,-87.696194,455,,,
10920,-90.555395,455,,,
11375,-81.331592,455,,,
11830,-61.767073,455,,,
12285,-76.287615,455,0.3426364064216614,6.480762094259262,7.309603017568588
12740,-81.460607,455,,,
13195,-103.063324,455,,,
13650,-79.371062,455,,,
14105,-72.641501,455,0.5987344980239868,6.498204380273819,6.235055723786354
14560,-75.31771,455,,,
15015,-76.761817,455,,,
15470,-83.630933,455,,,
15925,-79.547635,455,,,
16380,-67.815085,455,0.6074336767196655,6.493668919801712,6.740219175815582
16835,-72.172231,455,,,
17290,-90.729229,455,,,
17745,-63.701709,455,,,
18200,-75.000404,455,0.6460700035095215,6.496763813495636,5.795778262615204
18655,-99.051384,455,,,
19110,-75.757194,455,,,
19565,-79.379584,455,,,
20020,-73.877326,455,,,
20475,-65.424528,455,0.7846029996871948,6.50587152838707,4.978448885679245
20930,-82.642621,455,,,
21385,-81.508715,455,,,
21840,-85.724908,455,,,
22295,-69.962501,455,0.7341265082359314,6.527158039808273,5.7230428814888
22750,-90.381198,455,,,
23205,-87.817474,455,,,
23660,-66.081043,455,,,
24115,-65.677938,455,,,
24570,-72.009323,455,0.8562871813774109,6.543992120027542,4.469278514385223
25025,-73.342443,455,,,
25480,-68.600447,455,,,
25935,-70.571259,455,,,
26390,-81.085519,455,0.8765690922737122,6.57234725356102,4.2008359968662266
26845,-65.754769,455,,,
27300,-62.792891,455,,,
27755,-74.872265,455,,,
28210,-73.716971,455,,,
28665,-59.353439,455,0.8633998036384583,6.599176925420761,5.138478946685791
29120,-88.765613,455,,,
29575,-73.588567,455,,,
30030,-87.85836,455,,,
30485,-67.03224,455,0.8865157961845398,6.6201293706893924,5.10684380531311
30940,-93.677275,455,,,
31395,-72.675749,455,,,
31850,-83.09055,455,,,
32305,-86.375643,455,,,
32760,-74.930164,455,0.781806230545044,6.627835488319397,5.6830427825450895
33215,-65.480478,455,,,
33670,-91.41363,455,,,
34125,-67.873337,455,,,
34580,-78.689052,455,0.8081341981887817,6.6394080221652985,6.032081979513168
35035,-93.331465,455,,,
35490,-76.605587,455,,,
35945,-91.564146,455,,,
36400,-68.590531,455,,,
