timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-23.313074,455,,,
910,-49.772772,455,,,
1365,-50.673328,455,,,
1820,-48.846981,455,,,
2275,-22.727482,455,,,
2730,-19.851,455,,,
3185,-16.667954,455,,,
3640,-23.586379,455,,,
4095,-20.06439,455,-0.008233070373535156,6.389060980081558,9.604160833358765
4550,-15.500321,455,,,
5005,-20.971146,455,,,
5460,-53.903923,455,,,
5915,-22.224737,455,0.11625134944915771,6.402787059545517,6.955840218067169
6370,-50.971343,455,,,
6825,-25.605299,455,,,
7280,-53.167702,455,,,
7735,-19.69366,455,,,
8190,-20.251807,455,0.28911417722702026,6.416109925508499,6.553357392549515
8645,-48.039694,455,,,
9100,-56.773066,455,,,
9555,-45.546276,455,,,
10010,-54.175602,455,0.5695452690124512,6.417538487911225,5.186880341172218
10465,-21.251886,455,,,
10920,-17.071855,455,,,
11375,-18.810898,455,,,
11830,-55.524628,455,,,
12285,-25.227681,455,0.513992190361023,6.414475089311599,6.1093488991260525
12740,-21.5116,455,,,
13195,-23.547982,455,,,
13650,-21.782321,455,,,
14105,-18.659456,455,0.7886044383049011,6.40716523528099,3.3668071269989013
14560,-59.589148,455,,,
15015,-46.31844,455,,,
15470,-23.90968,455,,,
15925,-22.389718,455,,,
16380,-44.346108,455,0.850343644618988,6.409009021520615,2.57386786788702
16835,-52.143898,455,,,
17290,-19.704978,455,,,
17745,-20.597205,455,,,
18200,-56.571542,455,0.7951221466064453,6.415653306245804,4.132875850796699
18655,-21.125187,455,,,
19110,-48.1845,455,,,
19565,-16.18442,455,,,
20020,-46.482208,455,,,
20475,-49.447397,455,0.8587645292282104,6.426104855537415,3.368140345811844
20930,-18.335777,455,,,
21385,-53.071755,455,,,
21840,-20.926284,455,,,
22295,-50.896047,455,0.8179190754890442,6.437317019701004,3.1956393510103225
22750,-12.404011,455,,,
23205,-19.409899,455,,,
23660,-42.345709,455,,,
24115,-19.343858,455,,,
24570,-56.701119,455,0.8705633878707886,6.447737038135529,2.635606661438942
25025,-51.273663,455,,,
25480,-50.23797,455,,,
25935,-50.174556,455,,,
26390,-18.199616,455,0.8948299288749695,6.446514916419983,2.6172001630067827
26845,-51.245428,455,,,
27300,-44.891461,455,,,
27755,-41.955454,455,,,
28210,-48.935112,455,,,
28665,-41.282825,455,0.8258469700813293,6.452896523475647,3.6997582048177717
29120,-14.556393,455,,,
29575,-50.526069,455,,,
30030,-17.38097,455,,,
30485,-57.150456,455,0.7732559442520142,6.466919332742691,4.0958657503128055
30940,-22.061411,455,,,
31395,-49.300761,455,,,
31850,-52.021266,455,,,
32305,-17.43147,455,,,
32760,-16.18044,455,0.9082987904548645,6.475844699144363,2.2744957178831102
33215,-47.764607,455,,,
33670,-18.604811,455,,,
34125,-49.109915,455,,,
34580,-56.533818,455,0.9242503643035889,6.487197041511536,1.8967224135994911
35035,-15.251857,455,,,
35490,-20.751036,455,,,
35945,-19.770706,455,,,
36400,-47.667615,455,,,
36855,-18.120296,455,0.8873011469841003,6.507365185022354,2.869619849324226
37310,-55.224324,455,,,
37765,-18.325301,455,,,
38220,-14.118096,455,,,
38675,-46.801114,455,0.9378979802131653,6.522295099496842,1.7395463474094868
39130,-18.803737,455,,,
39585,-19.515632,455,,,
40040,-17.720659,455,,,
40495,-45.259433,455,,,
40950,-18.17658,455,0.9277827143669128,6.527875906229019,1.9765230014920234
41405,-18.554892,455,,,
41860,-22.237077,455,,,
42315,-43.399315,455,,,
42770,-15.081545,455,0.9371603727340698,6.5375034511089325,1.5416359275579452
43225,-14.223422,455,,,
43680,-23.559534,455,,,
44135,-59.006255,455,,,
44590,-8.930564,455,,,
45045,-14.650055,455,0.944936215877533,6.542159062623978,1.3874794028699398
45500,-18.381811,455,,,
45955,-54.045156,455,,,
46410,-37.714512,455,,,
46865,-12.161004,455,0.9422491788864136,6.555983084440231,1.4513576611876489
47320,-16.895211,455,,,
47775,-49.925806,455,,,
48230,-15.081421,455,,,
48685,-53.516592,455,,,
49140,-15.113895,455,0.9122756719589233,6.5686832666397095,2.1418313816189767
49595,-56.39055,455,,,
50050,-12.320087,455,,,
50505,-15.604875,455,,,
50960,-56.458925,455,0.9267125129699707,6.571585595607758,2.0146680027246475
51415,-13.466562,455,,,
51870,-59.853534,455,,,
52325,-12.364712,455,,,
52780,-11.205943,455,,,
53235,-13.215815,455,0.9318113327026367,6.584380251169205,1.887854056060314
53690,-57.122147,455,,,
54145,-12.826112,455,,,
54600,-41.815372,455,,,
55055,-58.488386,455,0.9456111788749695,6.594244170188904,1.4105882622301578
55510,-48.155238,455,,,
55965,-9.677753,455,,,
56420,-12.728012,455,,,
56875,-50.780776,455,,,
57330,-58.62179,455,0.8992088437080383,6.6042410910129545,2.365679584443569
57785,-14.067465,455,,,
58240,-50.658246,455,,,
58695,-54.074252,455,,,
