timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-59.938691,455,,,
910,-34.08433,455,,,
1365,-53.394532,455,,,
1820,-34.824048,455,,,
2275,-64.770126,455,,,
2730,-61.906251,455,,,
3185,-61.237927,455,,,
3640,-62.01055,455,,,
4095,-60.268166,455,0.012687861919403076,6.3956927299499515,10.561038506031036
4550,-60.480415,455,,,
5005,-64.409015,455,,,
5460,-40.931919,455,,,
5915,-62.342203,455,0.1913486123085022,6.401176607608795,12.414547681808472
6370,-30.615432,455,,,
6825,-63.665327,455,,,
7280,-28.774315,455,,,
7735,-61.910049,455,,,
8190,-60.41987,455,0.5184788703918457,6.397428745031357,10.043968158960343
8645,-20.408299,455,,,
9100,-37.063188,455,,,
9555,-31.65893,455,,,
10010,-27.416768,455,0.7122577428817749,6.387770301103592,7.732680195569992
10465,-62.343552,455,,,
10920,-61.505232,455,,,
11375,-60.471786,455,,,
11830,-30.465583,455,,,
12285,-63.363273,455,0.6652711629867554,6.379909563064575,5.760209047794342
12740,-65.232913,455,,,
13195,-63.579776,455,,,
13650,-64.958713,455,,,
14105,-64.479366,455,0.7805119752883911,6.390354400873184,6.142961296439171
14560,-29.234592,455,,,
15015,-28.641878,455,,,
15470,-61.052528,455,,,
15925,-69.011237,455,,,
16380,-30.70038,455,0.8210220336914062,6.389755833148956,6.267748057842255
16835,-31.482475,455,,,
17290,-63.171463,455,,,
17745,-60.518461,455,,,
18200,-32.434025,455,0.8391857147216797,6.381966894865036,5.62310539484024
18655,-62.267735,455,,,
19110,-36.84509,455,,,
19565,-63.352071,455,,,
20020,-27.791707,455,,,
20475,-27.288263,455,0.8830884099006653,6.399973607063293,4.569714573025704
20930,-62.650312,455,,,
21385,-33.091964,455,,,
21840,-62.044065,455,,,
22295,-23.122173,455,0.8523144125938416,6.4225675642490385,5.02751242518425
22750,-63.172717,455,,,
23205,-61.92686,455,,,
23660,-36.238754,455,,,
24115,-62.72675,455,,,
24570,-38.041816,455,0.9060052633285522,6.42558720111847,4.140655338764191
25025,-35.016227,455,,,
25480,-34.657174,455,,,
25935,-31.484951,455,,,
26390,-59.893446,455,0.9036068916320801,6.430446046590805,4.424771481752396
26845,-31.856961,455,,,
27300,-44.737875,455,,,
27755,-30.105006,455,,,
28210,-21.366593,455,,,
28665,-28.959064,455,0.8848020434379578,6.438492035865783,4.050919076800346
29120,-58.034928,455,,,
29575,-39.788871,455,,,
30030,-60.82639,455,,,
30485,-31.559255,455,0.823616623878479,6.445003688335419,3.8041049152612687
30940,-62.815082,455,,,
31395,-31.846728,455,,,
31850,-25.767781,455,,,
32305,-57.046307,455,,,
32760,-56.195397,455,0.9285115599632263,6.445895624160767,2.9674656853079795
33215,-27.168377,455,,,
33670,-64.163418,455,,,
34125,-28.428049,455,,,
34580,-30.330857,455,0.9321423172950745,6.449091893434525,3.101730528473854
35035,-62.315919,455,,,
35490,-60.935898,455,,,
35945,-60.655857,455,,,
36400,-31.276144,455,,,
36855,-58.467043,455,0.9261699914932251,6.458808940649033,3.052812932431698
37310,-44.56715,455,,,
37765,-60.520394,455,,,
38220,-59.267715,455,,,
38675,-24.638659,455,0.9413026571273804,6.466289919614792,3.2271433755755425
39130,-57.070089,455,,,
39585,-61.167464,455,,,
40040,-60.916611,455,,,
40495,-37.003936,455,,,
40950,-62.353811,455,0.9515553712844849,6.4653271496295925,2.44650819003582
41405,-59.056929,455,,,
41860,-62.324688,455,,,
42315,-40.295432,455,,,
42770,-58.624064,455,0.9487491846084595,6.466257137060166,3.0025702685117723
43225,-59.882209,455,,,
43680,-62.131173,455,,,
44135,-34.981924,455,,,
44590,-58.054972,455,,,
45045,-58.720156,455,0.964439332485199,6.468754863739013,2.3011384874582292
45500,-60.128364,455,,,
45955,-32.764927,455,,,
46410,-25.461522,455,,,
46865,-58.787499,455,0.9557840824127197,6.467638903856278,2.6851041287183763
47320,-54.344294,455,,,
47775,-16.876504,455,,,
