timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-91.816891,455,,,
910,-59.693822,455,,,
1365,-54.74507,455,,,
1820,-52.028088,455,,,
2275,-82.326181,455,,,
2730,-79.306584,455,,,
3185,-88.230257,455,,,
3640,-79.699646,455,,,
4095,-73.803988,455,-0.0024635791778564453,6.414940583705902,10.582912576198577
4550,-78.827991,455,,,
5005,-82.699288,455,,,
5460,-65.568257,455,,,
5915,-79.982534,455,0.0006613731384277344,6.429444873332978,9.715384769439698
6370,-67.983937,455,,,
6825,-71.414302,455,,,
7280,-54.334886,455,,,
7735,-79.137223,455,,,
8190,-75.526317,455,0.22578448057174683,6.413063871860504,9.056119292974472
8645,-61.760126,455,,,
9100,-59.871946,455,,,
9555,-55.05482,455,,,
10010,-53.507137,455,0.257484495639801,6.412126451730728,6.909967195987702
10465,-86.719249,455,,,
10920,-76.331121,455,,,
11375,-76.881971,455,,,
11830,-50.045203,455,,,
12285,-69.928419,455,0.5053963661193848,6.412639421224594,7.8844895422458645
12740,-73.27068,455,,,
13195,-75.321444,455,,,
13650,-65.338938,455,,,
14105,-92.74358,455,0.5923811197280884,6.419839078187943,6.09090747833252
14560,-59.807227,455,,,
15015,-58.448679,455,,,
15470,-76.205351,455,,,
15925,-53.95977,455,,,
16380,-60.436726,455,0.657063364982605,6.4270883917808534,7.359133946895599
16835,-57.02175,455,,,
17290,-72.795817,455,,,
17745,-63.141508,455,,,
18200,-56.076685,455,0.6390212774276733,6.441720789670944,6.125408846139908
18655,-63.437977,455,,,
19110,-55.542212,455,,,
19565,-86.676274,455,,,
20020,-64.923993,455,,,
20475,-56.224482,455,0.7620958089828491,6.464519041776657,5.161344733834267
20930,-102.348214,455,,,
21385,-45.830441,455,,,
21840,-67.12152,455,,,
22295,-57.348544,455,0.799687922000885,6.480783349275589,6.0539395868778225
22750,-73.642762,455,,,
23205,-72.032231,455,,,
23660,-65.895866,455,,,
24115,-47.998479,455,,,
24570,-56.332529,455,0.8055443167686462,6.495122182369232,5.3906444132328035
25025,-58.536007,455,,,
25480,-57.962613,455,,,
25935,-49.112581,455,,,
26390,-76.154311,455,0.7932020425796509,6.513476479053497,5.667531025409699
26845,-47.825597,455,,,
27300,-50.691825,455,,,
27755,-48.616867,455,,,
28210,-61.576546,455,,,
28665,-43.122396,455,0.8254034519195557,6.5205564320087435,6.880540370941162
29120,-82.474697,455,,,
29575,-48.744436,455,,,
30030,-64.426097,455,,,
30485,-49.919618,455,0.8749142289161682,6.519490146636963,4.289514401555062
30940,-97.332891,455,,,
31395,-57.648915,455,,,
31850,-46.524966,455,,,
32305,-66.389411,455,,,
32760,-79.26049,455,0.8431882262229919,6.530684381723404,4.794954493641853
33215,-51.550974,455,,,
33670,-51.066709,455,,,
34125,-65.707801,455,,,
34580,-47.045096,455,0.8178358674049377,6.54138508439064,4.509649288654328
35035,-67.187129,455,,,
35490,-78.66257,455,,,
35945,-80.850048,455,,,
36400,-63.792103,455,,,
36855,-67.814709,455,0.8648111820220947,6.539108127355576,4.4010798066854475
37310,-51.540525,455,,,
37765,-63.883577,455,,,
38220,-77.897383,455,,,
38675,-59.32784,455,0.8432643413543701,6.54035981297493,4.462734466791153
39130,-73.931765,455,,,
39585,-71.13839,455,,,
40040,-81.903777,455,,,
40495,-53.971091,455,,,
40950,-58.546478,455,0.810089647769928,6.549092358350753,4.434956654906273
41405,-73.446439,455,,,
41860,-73.562515,455,,,
42315,-48.836926,455,,,
42770,-74.523573,455,0.8079530000686646,6.555275332927704,5.424143233895302
43225,-51.003619,455,,,
43680,-58.19277,455,,,
44135,-50.645756,455,,,
44590,-73.240916,455,,,
45045,-58.674216,455,0.8643501400947571,6.559309631586075,3.429520145058632
45500,-68.796834,455,,,
45955,-61.955916,455,,,
46410,-48.285572,455,,,
46865,-85.875256,455,0.880037784576416,6.564146709442139,4.316098868846893
47320,-86.607814,455,,,
47775,-68.140496,455,,,
48230,-79.910399,455,,,
48685,-63.268716,455,,,
49140,-85.765569,455,0.8800783157348633,6.577100718021393,3.2265929967164992
49595,-57.354418,455,,,
50050,-59.278516,455,,,
50505,-76.868995,455,,,
50960,-48.450368,455,0.8631465435028076,6.580979716777802,4.201967504620552
51415,-69.657567,455,,,
51870,-51.802708,455,,,
