timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-101.853865,455,,,
910,-70.498253,455,,,
1365,-70.995252,455,,,
1820,-71.450849,455,,,
2275,-101.486026,455,,,
2730,-103.116783,455,,,
3185,-90.047651,455,,,
3640,-97.014007,455,,,
4095,-79.594208,455,-0.019255638122558594,6.394085258245468,8.746135866641998
4550,-92.296147,455,,,
5005,-92.120027,455,,,
5460,-78.330114,455,,,
5915,-83.400307,455,0.009351015090942383,6.39636247754097,8.415134626626969
6370,-67.756222,455,,,
6825,-80.382309,455,,,
7280,-82.797042,455,,,
7735,-87.747438,455,,,
8190,-99.840321,455,0.15356087684631348,6.398311066627502,7.418874716758728
8645,-70.817254,455,,,
9100,-76.434334,455,,,
9555,-67.893591,455,,,
10010,-73.370588,455,0.12168753147125244,6.427320301532745,8.756667762994766
10465,-90.832292,455,,,
10920,-94.183805,455,,,
11375,-90.984314,455,,,
11830,-62.048855,455,,,
12285,-89.285017,455,0.2687796950340271,6.4681707382202145,7.574541157484054
12740,-71.508635,455,,,
13195,-106.363816,455,,,
13650,-72.527484,455,,,
14105,-99.246456,455,0.5117146372795105,6.483751285076141,6.644068902730941
14560,-75.21678,455,,,
15015,-76.674013,455,,,
15470,-104.221072,455,,,
15925,-90.168822,455,,,
16380,-68.131673,455,0.5247419476509094,6.485047924518585,6.67939812541008
16835,-72.502573,455,,,
17290,-69.865939,455,,,
17745,-108.408273,455,,,
18200,-75.393286,455,0.50340735912323,6.495457130670547,7.1862392127513885
18655,-72.023631,455,,,
19110,-76.393013,455,,,
19565,-77.879672,455,,,
20020,-73.420588,455,,,
20475,-65.67332,455,0.6973180174827576,6.504041242599487,6.192704313993454
20930,-112.296341,455,,,
21385,-81.493264,455,,,
21840,-91.739528,455,,,
22295,-70.32459,455,0.7689570784568787,6.524483782052994,5.807824885845184
22750,-89.249399,455,,,
23205,-95.807571,455,,,
23660,-66.988372,455,,,
24115,-72.179541,455,,,
24570,-72.111967,455,0.7695127129554749,6.538813382387161,5.250976607203484
25025,-72.596298,455,,,
25480,-69.277295,455,,,
25935,-71.09779,455,,,
26390,-79.897681,455,0.7754478454589844,6.565259450674057,5.187442854046822
26845,-65.952276,455,,,
27300,-63.361194,455,,,
27755,-73.703722,455,,,
28210,-73.038376,455,,,
28665,-58.809127,455,0.7993586659431458,6.5971427202224735,6.586234986782074
29120,-76.03285,455,,,
29575,-73.246685,455,,,
30030,-89.263623,455,,,
30485,-66.842547,455,0.8703526258468628,6.611971795558929,5.24253534078598
30940,-98.585936,455,,,
31395,-73.830185,455,,,
31850,-84.607156,455,,,
32305,-71.989757,455,,,
