timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-42.030992,455,,,
910,-37.329646,455,,,
1365,-28.817506,455,,,
1820,-40.025903,455,,,
2275,-32.31987,455,,,
2730,-24.707177,455,,,
3185,-35.495831,455,,,
3640,-31.731665,455,,,
4095,-23.496743,455,-0.0063735246658325195,6.4034224331378935,7.506244146823883
4550,-10.423466,455,,,
5005,-23.593654,455,,,
5460,-41.235559,455,,,
5915,-24.090474,455,0.05200415849685669,6.425544190406799,3.7724461227655413
6370,-36.154385,455,,,
6825,-18.155915,455,,,
7280,-38.805239,455,,,
7735,-29.764766,455,,,
8190,-12.039331,455,0.11066865921020508,6.426402390003204,6.253250330686569
8645,-48.893183,455,,,
9100,-43.944825,455,,,
9555,-45.114131,455,,,
10010,-37.237845,455,0.22303038835525513,6.423000448942185,4.236437520384788
10465,-23.650802,455,,,
10920,-33.345546,455,,,
11375,-41.002651,455,,,
11830,-49.868902,455,,,
12285,-33.222182,455,0.064211905002594,6.4330298721790315,8.5595867395401
12740,-27.443999,455,,,
13195,-32.797887,455,,,
13650,-22.579446,455,,,
14105,-22.100385,455,0.5135585069656372,6.445989590883255,3.5948818773031235
14560,-36.81543,455,,,
15015,-46.074415,455,,,
15470,-37.733064,455,,,
15925,-31.154864,455,,,
16380,-39.324146,455,0.4736231565475464,6.461517202854156,4.567577615380287
16835,-42.652516,455,,,
17290,-19.136487,455,,,
17745,-10.525976,455,,,
18200,-41.04633,455,0.596095085144043,6.485068464279175,4.508857768774033
18655,-25.321786,455,,,
19110,-37.665151,455,,,
19565,-35.239144,455,,,
20020,-32.206017,455,,,
20475,-39.063349,455,0.6230883598327637,6.495947915315628,3.825400620698929
20930,-30.371086,455,,,
21385,-49.949634,455,,,
21840,-50.302215,455,,,
22295,-42.63034,455,0.6328898668289185,6.506311595439911,4.667253139615059
22750,-29.833802,455,,,
23205,-13.035207,455,,,
23660,-40.451925,455,,,
24115,-31.043269,455,,,
24570,-42.830822,455,0.7970083951950073,6.511937445402145,3.733845901489258
25025,-27.766982,455,,,
25480,-39.512014,455,,,
25935,-48.826122,455,,,
26390,-2.728963,455,0.5878617763519287,6.530408662557602,4.369019091129303
26845,-33.633827,455,,,
27300,-36.644563,455,,,
27755,-45.560731,455,,,
28210,-37.22066,455,,,
28665,-40.426261,455,0.6413729190826416,6.5320421159267426,4.799997568130493
29120,-26.609336,455,,,
29575,-35.638592,455,,,
30030,-14.413407,455,,,
30485,-51.23819,455,0.6950819492340088,6.544352680444717,4.081939870119095
30940,-18.362355,455,,,
31395,-25.713762,455,,,
31850,-35.563371,455,,,
32305,-37.197842,455,,,
32760,-4.942848,455,0.7820830345153809,6.558825135231018,3.08371687233448
33215,-34.33647,455,,,
33670,-31.980613,455,,,
34125,-47.192533,455,,,
34580,-27.222923,455,0.7280538082122803,6.577887523174286,2.6062055602669716
35035,-38.661952,455,,,
35490,-33.962655,455,,,
35945,-13.474583,455,,,
36400,-30.561277,455,,,
36855,9.580251,455,0.7835260629653931,6.583571791648865,3.096547919511795
37310,-36.671202,455,,,
37765,-20.559775,455,,,
38220,-9.127812,455,,,
38675,-42.054379,455,0.7381007671356201,6.588711160421371,2.335238829255104
39130,-21.375881,455,,,
39585,-11.496418,455,,,
40040,-21.939427,455,,,
40495,-51.844851,455,,,
40950,-26.570773,455,0.8382098078727722,6.614003431797028,2.6800768837332725
41405,-4.970403,455,,,
41860,-42.163419,455,,,
42315,-45.020649,455,,,
42770,-20.641491,455,0.8599889278411865,6.6256949484348295,1.8027999520301818
43225,-40.198267,455,,,
43680,-44.143661,455,,,
44135,-43.248089,455,,,
44590,-35.293493,455,,,
45045,-19.658959,455,0.8692750930786133,6.641165429353714,2.237808790802956
45500,-18.77723,455,,,
45955,-34.508776,455,,,
46410,-44.498902,455,,,
46865,-33.565716,455,0.884874701499939,6.669355082511902,2.3756413593888284
47320,-5.746496,455,,,
47775,-18.040278,455,,,
48230,-8.066891,455,,,
48685,-40.377776,455,,,
49140,-1.707276,455,0.7739415168762207,6.6855393826961516,2.9006159767508506
49595,-37.010654,455,,,
50050,-17.163946,455,,,
50505,-30.173861,455,,,
50960,-35.113849,455,0.8623189330101013,6.697359549999237,2.39589002430439
51415,-22.906926,455,,,
51870,-46.286618,455,,,
52325,-12.009909,455,,,
52780,-21.291103,455,,,
53235,-20.117563,455,0.8877395987510681,6.708415997028351,2.120146504044533
53690,-44.864267,455,,,
54145,-23.251811,455,,,
54600,-43.304382,455,,,
55055,-54.791343,455,0.84828120470047,6.714459621906281,1.714912234246731
55510,-30.408604,455,,,
55965,-36.457565,455,,,
56420,-18.527221,455,,,
56875,-43.290686,455,,,
57330,-34.864746,455,0.8694644570350647,6.72597085237503,3.2157655209302902
57785,-28.13908,455,,,
58240,-34.304451,455,,,
58695,-34.294912,455,,,
59150,-30.545304,455,0.9069867134094238,6.744310146570205,2.1841526716947555
59605,-16.2816,455,,,
60060,-23.452733,455,,,
60515,-23.090205,455,,,
60970,-21.088793,455,,,
61425,-35.877849,455,0.8745335340499878,6.767141807079315,2.6369283571839333
61880,-31.873059,455,,,
62335,-31.12853,455,,,
62790,-24.966147,455,,,
63245,-34.997613,455,0.8672702312469482,6.789120858907699,2.0987469494342803
63700,-35.713659,455,,,
64155,-21.95624,455,,,
64610,-20.502796,455,,,
65065,-17.121204,455,,,
65520,-38.797145,455,0.8511910438537598,6.797532647848129,2.396856042742729
65975,-42.89699,455,,,
66430,-0.880893,455,,,
66885,-47.414119,455,,,
67340,-27.424604,455,0.9025224447250366,6.8108598530292515,1.7715558677911758
67795,-55.608582,455,,,
68250,-18.094312,455,,,
68705,-45.01371,455,,,
69160,-44.918815,455,,,
69615,-29.493942,455,0.8768410682678223,6.819146603345871,2.5899801164865495
70070,-25.979011,455,,,
70525,-52.257792,455,,,
70980,-23.813468,455,,,
71435,-10.693468,455,0.8846561312675476,6.830217045545578,2.5635189786553383
71890,-42.999806,455,,,
72345,-28.507606,455,,,
72800,-36.3984,455,,,
73255,-37.887975,455,,,
73710,-38.176352,455,0.8921713829040527,6.854172533750534,1.9851567625999451
74165,-38.801868,455,,,
74620,-22.047909,455,,,
75075,-9.435165,455,,,
75530,-40.760168,455,0.8410158753395081,6.873250728845596,2.3731509417295458
75985,-30.177338,455,,,
76440,-26.250147,455,,,
76895,-19.145306,455,,,
77350,-25.550834,455,,,
77805,-31.859394,455,0.8272261619567871,6.882913416624069,2.58123559653759
78260,-25.658415,455,,,
78715,-36.455778,455,,,
79170,-43.212817,455,,,
79625,-10.934342,455,0.792620837688446,6.896196413040161,1.7032875567674637
80080,-9.091693,455,,,
80535,-26.80021,455,,,
80990,-27.776364,455,,,
81445,-4.361276,455,,,
81900,-12.026632,455,0.8532321453094482,6.90656545162201,2.4023833528161047
82355,-16.908348,455,,,
82810,-39.535627,455,,,
83265,-38.316705,455,,,
83720,-19.016227,455,0.9208232760429382,6.91437292098999,1.571192093193531
84175,-15.98897,455,,,
84630,-42.684387,455,,,
85085,-34.930173,455,,,
85540,-15.609969,455,,,
85995,-20.726062,455,0.9044520854949951,6.928413212299347,1.9308732911944388
86450,-31.366556,455,,,
86905,-39.991627,455,,,
87360,-22.349546,455,,,
87815,-16.355726,455,0.8781115412712097,6.947778809070587,1.9165650233626366
88270,-32.118171,455,,,
88725,-35.540279,455,,,
89180,-30.373197,455,,,
89635,-36.364711,455,,,
90090,-9.070215,455,0.7999981045722961,6.973359543085098,2.039101776480675
90545,-28.218155,455,,,
91000,-28.186622,455,,,
91455,-33.85475,455,,,
91910,-25.718679,455,0.8689186573028564,7.002328491210937,1.8015442430973052
92365,-13.8369,455,,,
92820,-39.820215,455,,,
93275,-22.576171,455,,,
93730,-50.8514,455,,,
94185,-22.29309,455,0.9052913784980774,7.020195895433426,2.02442966401577
94640,-43.685868,455,,,
95095,-35.940499,455,,,
95550,-3.807023,455,,,
96005,-36.603154,455,0.8901333808898926,7.036169916391373,1.6540278196334839
96460,-24.842996,455,,,
96915,-43.733061,455,,,
97370,-25.493386,455,,,
97825,-34.37109,455,,,
98280,-31.729446,455,0.8994861245155334,7.058007228374481,2.84109256118536
98735,-13.412296,455,,,
99190,-34.511751,455,,,
99645,-7.704266,455,,,
100100,-12.738745,455,0.8786309957504272,7.08215143084526,2.2362860843539236
100555,1.373059,455,,,
101010,-43.183936,455,,,
101465,-44.604665,455,,,
101920,-30.964719,455,,,
102375,-18.326307,455,0.8382142782211304,7.102148479223251,1.6490515232086183
102830,-44.836407,455,,,
103285,-40.077294,455,,,
103740,-26.681773,455,,,
104195,-14.818328,455,0.8420352935791016,7.116736793518067,2.219469851255417
104650,-36.756828,455,,,
105105,-22.154801,455,,,
105560,-32.728775,455,,,
106015,-6.55153,455,,,
106470,-7.438785,455,0.8511141538619995,7.120962512493134,2.1482286885380746
106925,-48.168869,455,,,
107380,-32.419339,455,,,
107835,-24.001184,455,,,
108290,-29.369746,455,0.8443886041641235,7.117444199323654,1.4264997452497483
108745,-34.021476,455,,,
