timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-100.992992,455,,,
910,-76.960778,455,,,
1365,-83.877742,455,,,
1820,-70.779134,455,,,
2275,-98.93664,455,,,
2730,-95.40097,455,,,
3185,-95.560109,455,,,
3640,-95.55889,455,,,
4095,-88.270362,455,-0.02919137477874756,6.413629549741745,6.712274712324143
4550,-95.795597,455,,,
5005,-95.77702,455,,,
5460,-75.805102,455,,,
5915,-103.19348,455,0.04687851667404175,6.455835956335068,6.212599730491638
6370,-74.267704,455,,,
6825,-95.237236,455,,,
7280,-74.522007,455,,,
7735,-102.473197,455,,,
8190,-90.928005,455,0.07765871286392212,6.498631191253662,7.182442057132721
8645,-75.115588,455,,,
9100,-81.39833,455,,,
9555,-70.942589,455,,,
10010,-81.405756,455,0.0936349630355835,6.516686087846756,6.668765074014663
10465,-96.259427,455,,,
10920,-103.821188,455,,,
11375,-85.44678,455,,,
11830,-73.662242,455,,,
12285,-91.908283,455,0.05626058578491211,6.524041855335236,6.743961793184281
12740,-78.968126,455,,,
13195,-81.602823,455,,,
13650,-67.779444,455,,,
14105,-90.746863,455,0.0832868218421936,6.550528645515442,6.520083570480347
14560,-65.701265,455,,,
15015,-77.997286,455,,,
15470,-89.319331,455,,,
15925,-67.813658,455,,,
16380,-76.330143,455,0.11990159749984741,6.57165960073471,6.361850738525391
16835,-79.222727,455,,,
17290,-100.208224,455,,,
17745,-89.238135,455,,,
18200,-82.38893,455,0.20082390308380127,6.571937918663025,6.617804735898972
18655,-82.395139,455,,,
19110,-82.057173,455,,,
19565,-90.196253,455,,,
20020,-74.185538,455,,,
20475,-82.737812,455,0.24870330095291138,6.5796610653400425,6.3566947996616365
20930,-82.425074,455,,,
21385,-82.380294,455,,,
21840,-97.179742,455,,,
22295,-82.229447,455,0.3011195659637451,6.599033319950104,8.075511527061462
22750,-104.875757,455,,,
23205,-82.054802,455,,,
23660,-78.755558,455,,,
24115,-104.067584,455,,,
24570,-79.269189,455,0.3953157067298889,6.609571498632431,6.239145791530609
25025,-87.323653,455,,,
25480,-86.590512,455,,,
25935,-87.808747,455,,,
26390,-115.3479,455,0.43660712242126465,6.629925388097763,8.669167613983154
26845,-77.963372,455,,,
27300,-85.100523,455,,,
27755,-76.05835,455,,,
28210,-80.126534,455,,,
28665,-82.639674,455,0.5294508934020996,6.650931131839752,7.143936961889267
29120,-107.158353,455,,,
29575,-70.272964,455,,,
30030,-112.721768,455,,,
30485,-76.884831,455,0.5247975587844849,6.677456253767014,7.353905558586121
30940,-97.550851,455,,,
31395,-72.158738,455,,,
31850,-70.020197,455,,,
32305,-84.565419,455,,,
32760,-100.094666,455,0.5660672783851624,6.694697570800781,6.247123193740845
33215,-88.111978,455,,,
33670,-103.315496,455,,,
34125,-66.511956,455,,,
34580,-63.235266,455,0.6250211596488953,6.704654884338379,6.11838573217392
35035,-102.836463,455,,,
35490,-66.162714,455,,,
35945,-98.055943,455,,,
36400,-72.878307,455,,,
36855,-94.385835,455,0.7308881878852844,6.714463895559311,4.680674993991852
37310,-69.546119,455,,,
37765,-73.893947,455,,,
38220,-94.865199,455,,,
38675,-76.41735,455,0.5527508854866028,6.716583114862442,5.945257663726807
39130,-90.415573,455,,,
39585,-96.426336,455,,,
40040,-87.744384,455,,,
40495,-69.153138,455,,,
40950,-110.890658,455,0.6364240050315857,6.73050486445427,3.868803045153618
41405,-97.468948,455,,,
41860,-99.519638,455,,,
42315,-77.373226,455,,,
42770,-102.834702,455,0.7464272379875183,6.737054020166397,4.036942180991173
43225,-71.86985,455,,,
43680,-91.060485,455,,,
44135,-88.274712,455,,,
44590,-66.199392,455,,,
45045,-102.708278,455,0.594760537147522,6.740465396642685,4.974778762459755
45500,-100.679976,455,,,
45955,-77.758712,455,,,
46410,-69.629216,455,,,
46865,-85.589332,455,0.6675743460655212,6.74332931637764,4.139356991648674
47320,-93.988902,455,,,
47775,-69.243811,455,,,
48230,-90.74173,455,,,
48685,-72.004078,455,,,
49140,-87.924102,455,0.6477620601654053,6.750605636835099,4.190345105528832
49595,-69.358315,455,,,
50050,-97.66774,455,,,
50505,-59.945055,455,,,
50960,-72.58143,455,0.8093947172164917,6.7650386691093445,3.01953566968441
51415,-96.103607,455,,,
51870,-62.054433,455,,,
52325,-91.865737,455,,,
52780,-91.299474,455,,,
53235,-90.200987,455,0.8214495182037354,6.777299463748932,3.864846256375313
53690,-80.643751,455,,,
54145,-71.19964,455,,,
54600,-71.597168,455,,,
55055,-73.678804,455,0.767656683921814,6.786589825153351,3.9273534655570983
55510,-71.415497,455,,,
55965,-98.2811,455,,,
56420,-81.036311,455,,,
56875,-79.648986,455,,,
57330,-80.766184,455,0.855566143989563,6.804721194505691,2.4928349032998085
57785,-97.046869,455,,,
58240,-85.413149,455,,,
58695,-85.505776,455,,,
59150,-73.427934,455,0.7840959429740906,6.83295835852623,4.100932773947716
59605,-80.442269,455,,,
60060,-90.582133,455,,,
60515,-94.622212,455,,,
60970,-93.136212,455,,,
61425,-82.19522,455,0.8175238370895386,6.856710177659989,2.7918114989995955
61880,-70.766642,455,,,
62335,-87.534995,455,,,
62790,-61.116496,455,,,
63245,-81.851005,455,0.6944615244865417,6.863362044095993,4.197759291529655
63700,-70.04518,455,,,
64155,-80.438673,455,,,
64610,-82.699211,455,,,
65065,-90.899234,455,,,
65520,-64.576466,455,0.7606132626533508,6.878752249479294,3.157403400540352
65975,-74.326609,455,,,
66430,-83.456453,455,,,
66885,-72.929259,455,,,
67340,-93.464003,455,0.6803862452507019,6.89713978767395,3.4101239323616026
67795,-75.257228,455,,,
68250,-96.420787,455,,,
68705,-68.902729,455,,,
69160,-67.971324,455,,,
69615,-63.758289,455,0.8125109672546387,6.919140422344208,2.55545943826437
70070,-52.299691,455,,,
70525,-82.968575,455,,,
70980,-84.786478,455,,,
71435,-72.611296,455,0.8485332131385803,6.932611984014511,2.8445985496044157
