timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,-2.83412,139,,,
278,-2.579778,139,,,
417,-3.034461,139,,,
556,-4.571004,139,,,
695,-1.903486,139,,,
834,-2.298966,139,,,
973,-4.078834,139,,,
1112,-2.530351,139,,,
1251,-2.992142,139,,,
1390,-3.335503,139,,,
1529,-2.754265,139,,,
1668,-2.940722,139,,,
1807,-4.023586,139,,,
1946,-3.044489,139,,,
2085,-3.669382,139,,,
2224,-2.109832,139,,,
2363,-2.601134,139,,,
2502,-2.125651,139,,,
2641,-3.192827,139,,,
2780,-2.596215,139,,,
2919,-2.097563,139,,,
3058,-2.312309,139,,,
3197,-2.264641,139,,,
3336,-1.834416,139,,,
3475,-3.160347,139,,,
3614,-2.991032,139,,,
3753,-1.391452,139,,,
3892,-2.47696,139,,,
4031,-4.011214,139,0.013014376163482666,3.5144179999828338,0.3019965972751379
