timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,-2.834162,139,,,
278,-2.579873,139,,,
417,-3.03455,139,,,
556,-4.571064,139,,,
695,-1.903617,139,,,
834,-2.298983,139,,,
973,-4.078649,139,,,
1112,-2.53041,139,,,
1251,-2.992225,139,,,
1390,-3.335408,139,,,
1529,-2.754134,139,,,
1668,-2.940746,139,,,
1807,-4.023663,139,,,
1946,-3.044411,139,,,
2085,-3.67255,139,,,
2224,-2.112968,139,,,
2363,-2.610557,139,,,
2502,-2.132173,139,,,
2641,-3.195581,139,,,
2780,-2.599125,139,,,
2919,-2.103894,139,,,
3058,-2.317643,139,,,
3197,-2.270867,139,,,
3336,-1.838968,139,,,
3475,-3.167005,139,,,
3614,-2.994407,139,,,
3753,-1.395386,139,,,
3892,-2.483263,139,,,
4031,-4.014497,139,0.01301431655883789,3.5144431233406066,0.30200285762548446
4170,-2.218293,139,,,
4309,-2.16874,139,,,
4448,-3.580516,139,,,
4587,-3.020774,139,,,
4726,-3.223651,139,,,
4865,-2.013498,139,,,
5004,-1.524822,139,,,
5143,-2.059954,139,,,
5282,-2.944921,139,,,
5421,-2.863324,139,,,
5560,-2.173214,139,,,
5699,-2.601518,139,,,
5838,-2.495318,139,,,
5977,-2.293582,139,,,
6116,-2.814456,139,0.4102250933647156,3.5658944725990294,0.1897638401016593
6255,-3.717229,139,,,
6394,-1.147235,139,,,
6533,-2.458776,139,,,
6672,-3.046488,139,,,
6811,-3.542502,139,,,
6950,-2.168604,139,,,
7089,-2.89364,139,,,
7228,-2.444799,139,,,
7367,-1.312695,139,,,
7506,-2.905831,139,,,
7645,-2.625544,139,,,
7784,-2.582321,139,,,
7923,-1.538642,139,,,
8062,-1.772525,139,0.6277542114257812,3.6179942429065703,0.22586792521178722
8201,-1.573928,139,,,
8340,-2.980841,139,,,
8479,-3.204558,139,,,
8618,-0.760076,139,,,
8757,-1.467732,139,,,
8896,-2.184414,139,,,
9035,-1.992427,139,,,
9174,-1.555306,139,,,
9313,-2.402603,139,,,
9452,-1.246989,139,,,
9591,-1.015216,139,,,
9730,-1.407214,139,,,
9869,-1.95737,139,,,
10008,-1.230344,139,,,
10147,-0.881916,139,0.7287747263908386,3.668130838871002,0.21484526600688697
10286,-0.993803,139,,,
10425,-3.778572,139,,,
10564,-1.254711,139,,,
10703,-2.065916,139,,,
10842,-1.434746,139,,,
10981,-1.402338,139,,,
11120,-0.483679,139,,,
11259,-0.161209,139,,,
11398,-2.381137,139,,,
11537,-0.875626,139,,,
11676,-2.272895,139,,,
11815,-3.485085,139,,,
11954,-1.646954,139,,,
12093,-1.610528,139,,,
12232,-1.302113,139,0.7650574445724487,3.7070254027843474,0.21030947007238865
12371,-3.493128,139,,,
12510,-2.049035,139,,,
12649,-1.599562,139,,,
12788,-0.68674,139,,,
12927,-1.118785,139,,,
13066,-1.484264,139,,,
13205,-2.261836,139,,,
13344,-2.246004,139,,,
13483,-0.828029,139,,,
13622,-1.175874,139,,,
13761,-1.456173,139,,,
13900,-0.166052,139,,,
14039,-0.0876,139,,,
14178,-1.188982,139,,,
14317,-1.324835,139,0.8124102354049683,3.7488508611917495,0.16943481406196953
14456,-2.094637,139,,,
14595,-0.903314,139,,,
14734,-1.437175,139,,,
14873,-1.728772,139,,,
15012,-0.939804,139,,,
15151,-1.767186,139,,,
15290,-0.831624,139,,,
15429,-1.14784,139,,,
15568,-0.975878,139,,,
15707,-1.928947,139,,,
15846,-2.382622,139,,,
15985,-1.231675,139,,,
16124,-0.661127,139,,,
16263,0.35709,139,0.8524243831634521,3.7930830478668214,0.13290636474266648
16402,-1.467026,139,,,
16541,-0.420448,139,,,
16680,-0.431859,139,,,
16819,-1.985852,139,,,
16958,-2.302989,139,,,
17097,-1.416387,139,,,
17236,-1.637254,139,,,
17375,-1.271128,139,,,
17514,-0.687397,139,,,
17653,-2.347443,139,,,
17792,-1.370396,139,,,
17931,-0.970823,139,,,
18070,-1.341414,139,,,
18209,-1.162417,139,,,
18348,-1.62069,139,0.8885380625724792,3.8602594047784806,0.10945576746016741
18487,0.237077,139,,,
18626,-1.251826,139,,,
18765,-0.207434,139,,,
18904,-0.067666,139,,,
19043,-0.816543,139,,,
19182,-0.02569,139,,,
19321,-1.892209,139,,,
19460,-0.359538,139,,,
19599,-1.651015,139,,,
19738,-0.238773,139,,,
19877,-0.313491,139,,,
20016,-1.162646,139,,,
20155,-0.835069,139,,,
20294,-1.03705,139,,,
20433,0.527857,139,0.9132891893386841,3.9405190110206605,0.07720957873389125
20572,-1.223432,139,,,
20711,0.810446,139,,,
20850,0.122154,139,,,
20989,0.07817,139,,,
21128,-1.244312,139,,,
21267,-0.773784,139,,,
21406,-1.822042,139,,,
21545,-0.299523,139,,,
21684,-1.09908,139,,,
21823,-1.168695,139,,,
21962,0.127363,139,,,
22101,0.708475,139,,,
22240,0.159529,139,,,
22379,0.012497,139,,,
22518,0.188812,139,0.9160722494125366,3.998717448115349,0.07513316161930561
22657,-0.109449,139,,,
22796,0.338892,139,,,
22935,-0.305831,139,,,
23074,-0.823446,139,,,
23213,0.256463,139,,,
23352,-0.059618,139,,,
23491,-0.703425,139,,,
23630,1.080082,139,,,
23769,-0.08642,139,,,
23908,-0.966963,139,,,
24047,-2.311101,139,,,
24186,0.588221,139,,,
24325,0.150336,139,,,
24464,-1.806626,139,0.9288692474365234,4.067470914125442,0.06446673767641187
24603,-0.056663,139,,,
24742,-0.621884,139,,,
24881,-0.657099,139,,,
25020,-0.335208,139,,,
25159,-0.133003,139,,,
25298,-0.250021,139,,,
25437,-0.631401,139,,,
25576,-0.280699,139,,,
25715,-1.576045,139,,,
25854,0.384909,139,,,
25993,-0.309982,139,,,
26132,0.568676,139,,,
26271,0.955517,139,,,
26410,-0.826255,139,,,
26549,-0.80864,139,0.9180440902709961,4.134239554405212,0.06100672883912921
26688,0.186999,139,,,
26827,-0.639889,139,,,
26966,-0.026225,139,,,
27105,1.237792,139,,,
27244,-0.003309,139,,,
27383,-0.05371,139,,,
27522,-0.470796,139,,,
27661,1.255027,139,,,
27800,-0.141242,139,,,
27939,0.794475,139,,,
28078,-0.230508,139,,,
28217,1.526958,139,,,
28356,-0.070851,139,,,
28495,0.711204,139,,,
28634,0.359288,139,0.939087450504303,4.203039109706879,0.05988778979517519
28773,-0.399368,139,,,
28912,0.771164,139,,,
29051,-0.087406,139,,,
29190,0.354957,139,,,
29329,0.45608,139,,,
29468,0.27119,139,,,
29607,1.275548,139,,,
29746,0.443221,139,,,
29885,0.616278,139,,,
30024,0.426223,139,,,
30163,1.174588,139,,,
30302,0.670069,139,,,
30441,0.083367,139,,,
30580,1.295927,139,,,
30719,-0.070083,139,0.9375513195991516,4.270228165388107,0.054289281275123356
30858,0.618627,139,,,
30997,0.172403,139,,,
31136,0.866222,139,,,
31275,0.92381,139,,,
31414,1.580169,139,,,
31553,1.829641,139,,,
31692,1.171967,139,,,
31831,-0.47603,139,,,
31970,0.74375,139,,,
32109,2.274292,139,,,
32248,0.566315,139,,,
32387,1.17869,139,,,
32526,1.894192,139,,,
32665,1.40391,139,0.9416753053665161,4.342237931489945,0.046372141875326636
32804,1.517642,139,,,
32943,0.357766,139,,,
33082,0.846521,139,,,
33221,2.038491,139,,,
33360,0.547312,139,,,
33499,1.291005,139,,,
33638,-0.476302,139,,,
33777,1.424144,139,,,
33916,1.134177,139,,,
34055,1.032646,139,,,
34194,1.272269,139,,,
34333,1.066845,139,,,
34472,1.449754,139,,,
34611,-0.076495,139,,,
34750,-0.126609,139,0.9405331611633301,4.392855221033097,0.0919671964365989
34889,1.279989,139,,,
35028,1.052546,139,,,
35167,2.204531,139,,,
35306,0.966858,139,,,
35445,1.793591,139,,,
35584,2.285874,139,,,
35723,1.56946,139,,,
35862,1.925365,139,,,
36001,1.021453,139,,,
36140,1.288099,139,,,
36279,0.353749,139,,,
36418,1.329007,139,,,
36557,1.982448,139,,,
36696,1.43176,139,,,
36835,1.988929,139,0.9378990530967712,4.452127373218536,0.05205364148132503
36974,2.170473,139,,,
