timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,-2.28602,139,,,
278,-2.684939,139,,,
417,-1.357672,139,,,
556,-3.62452,139,,,
695,-2.642714,139,,,
834,-4.125274,139,,,
973,-2.517693,139,,,
1112,-2.476551,139,,,
1251,-2.957809,139,,,
1390,-3.179388,139,,,
1529,-2.907102,139,,,
1668,-3.304539,139,,,
1807,-3.167283,139,,,
1946,-3.913716,139,,,
2085,-3.614248,139,,,
2224,-2.641254,139,,,
2363,-3.841754,139,,,
2502,-3.758478,139,,,
2641,-1.656219,139,,,
2780,-2.674885,139,,,
2919,-1.497166,139,,,
3058,-1.97854,139,,,
3197,-2.949675,139,,,
3336,-2.197921,139,,,
3475,-2.574156,139,,,
3614,-1.026888,139,,,
3753,-3.855475,139,,,
3892,-2.282808,139,,,
4031,-2.265256,139,-0.015733957290649414,3.5104770183563234,0.2875339774414897
4170,-2.51962,139,,,
4309,-3.146288,139,,,
4448,-3.189325,139,,,
4587,-3.063501,139,,,
4726,-2.743359,139,,,
4865,-2.170032,139,,,
5004,-2.480348,139,,,
5143,-1.994667,139,,,
5282,-1.753426,139,,,
5421,-2.026724,139,,,
5560,-2.57897,139,,,
5699,-1.845624,139,,,
5838,-3.192012,139,,,
5977,-1.333002,139,,,
6116,-1.864895,139,-0.0013718605041503906,3.5550547778606414,0.3112566001713276
6255,-1.385107,139,,,
6394,-1.534516,139,,,
6533,-3.648168,139,,,
6672,-1.168629,139,,,
6811,-3.013116,139,,,
6950,-1.676124,139,,,
7089,-3.014985,139,,,
7228,-1.242458,139,,,
7367,-0.213994,139,,,
7506,-1.47034,139,,,
7645,-2.109053,139,,,
7784,-1.335755,139,,,
7923,-1.849149,139,,,
8062,-1.813316,139,0.0005040764808654785,3.591283029317856,0.31817663833498955
8201,-2.25081,139,,,
8340,-1.05814,139,,,
8479,-1.923316,139,,,
8618,0.120321,139,,,
8757,-0.564559,139,,,
8896,-0.906744,139,,,
9035,-1.356117,139,,,
9174,-0.766455,139,,,
9313,-0.93282,139,,,
9452,-2.240203,139,,,
9591,-0.588563,139,,,
9730,-0.629227,139,,,
9869,-2.300936,139,,,
