timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,-3.55735,139,,,
278,-3.73711,139,,,
417,-3.283294,139,,,
556,-1.420754,139,,,
695,-3.277838,139,,,
834,-2.175152,139,,,
973,-2.425474,139,,,
1112,-3.1267,139,,,
1251,-2.587241,139,,,
1390,-3.003292,139,,,
1529,-2.749469,139,,,
1668,-1.519437,139,,,
1807,-2.502444,139,,,
1946,-3.667197,139,,,
2085,-3.929358,139,,,
2224,-1.405317,139,,,
2363,-3.856351,139,,,
2502,-3.772696,139,,,
2641,-1.529343,139,,,
2780,-1.68595,139,,,
2919,-1.830019,139,,,
3058,-0.814943,139,,,
3197,-1.751349,139,,,
3336,-2.923079,139,,,
3475,-2.688498,139,,,
3614,-3.596747,139,,,
3753,-1.770537,139,,,
3892,-2.149151,139,,,
4031,-2.25445,139,-0.013592720031738281,3.50285427570343,0.3040657375007868
4170,-2.063815,139,,,
4309,-3.346171,139,,,
4448,-1.596641,139,,,
4587,-2.111182,139,,,
4726,-2.128769,139,,,
4865,-2.078896,139,,,
5004,-3.043112,139,,,
5143,-2.212918,139,,,
5282,-3.325866,139,,,
5421,-1.434036,139,,,
5560,-1.515329,139,,,
5699,-1.685866,139,,,
5838,-3.46672,139,,,
5977,-1.295788,139,,,
6116,-2.264711,139,-0.00013136863708496094,3.543704625964165,0.34555598683655264
6255,-1.744424,139,,,
6394,-1.64916,139,,,
6533,-1.298683,139,,,
6672,-0.434061,139,,,
6811,-1.16527,139,,,
6950,-2.9055,139,,,
7089,-0.425478,139,,,
7228,-1.537141,139,,,
7367,-1.853566,139,,,
7506,-1.35272,139,,,
7645,-0.414233,139,,,
7784,-0.560324,139,,,
7923,-1.91659,139,,,
8062,-0.957789,139,0.0044258832931518555,3.6052816927433016,0.33063064962625505
8201,-1.575243,139,,,
8340,-1.441855,139,,,
8479,-2.023066,139,,,
8618,-1.849903,139,,,
8757,-1.093961,139,,,
8896,-0.693683,139,,,
9035,-1.882034,139,,,
9174,-1.108036,139,,,
9313,-1.361154,139,,,
9452,-2.059639,139,,,
9591,0.310924,139,,,
9730,-0.847164,139,,,
9869,-1.728998,139,,,
10008,-1.708619,139,,,
10147,-1.061777,139,0.004528164863586426,3.6409690529108047,0.3236738570034504
10286,-0.479692,139,,,
10425,-1.607981,139,,,
10564,-0.192199,139,,,
10703,-2.385071,139,,,
10842,-0.986662,139,,,
10981,-0.118288,139,,,
11120,-0.566588,139,,,
11259,-1.504513,139,,,
11398,-1.316243,139,,,
11537,-2.679191,139,,,
11676,-1.019147,139,,,
11815,-0.808853,139,,,
11954,-1.405847,139,,,
12093,-1.043823,139,,,
12232,-1.557452,139,0.0021242499351501465,3.6718828976154327,0.29541404247283937
12371,-0.221226,139,,,
12510,-0.395275,139,,,
12649,-0.549401,139,,,
12788,-0.438702,139,,,
12927,0.950209,139,,,
13066,-0.263146,139,,,
13205,0.392648,139,,,
13344,-0.467864,139,,,
13483,-2.587175,139,,,
13622,-0.115863,139,,,
13761,-0.234977,139,,,
13900,-1.053018,139,,,
14039,0.167874,139,,,
14178,-1.080772,139,,,
14317,-1.540879,139,0.0013729333877563477,3.713020384311676,0.33182987570762634
14456,0.182105,139,,,
14595,0.800574,139,,,
14734,-2.26318,139,,,
14873,-0.716535,139,,,
15012,-0.249905,139,,,
15151,-0.573973,139,,,
15290,0.205544,139,,,
15429,-0.548298,139,,,
15568,-0.547725,139,,,
15707,0.321165,139,,,
15846,-0.53626,139,,,
15985,0.971116,139,,,
16124,-0.611845,139,,,
16263,0.375874,139,0.0037979483604431152,3.762610134482384,0.3342455118894577
16402,-0.357911,139,,,
16541,-0.029054,139,,,
16680,1.19934,139,,,
16819,0.221785,139,,,
16958,0.172956,139,,,
17097,0.140905,139,,,
17236,2.248263,139,,,
17375,0.65413,139,,,
17514,-0.00464,139,,,
17653,0.157044,139,,,
17792,1.185603,139,,,
17931,0.240927,139,,,
18070,0.303047,139,,,
18209,-0.939883,139,,,
18348,0.460284,139,0.0099448561668396,3.8107406228780745,0.2969681601971388
18487,1.101449,139,,,
18626,0.029747,139,,,
18765,1.455021,139,,,
18904,0.183527,139,,,
19043,-0.124067,139,,,
19182,1.847705,139,,,
19321,0.581669,139,,,
19460,1.958838,139,,,
19599,0.961089,139,,,
19738,0.58955,139,,,
19877,-0.123954,139,,,
20016,-0.301239,139,,,
20155,1.063873,139,,,
20294,1.083831,139,,,
20433,1.126711,139,0.0035548806190490723,3.8518562257289886,0.3375598568469286
20572,1.289453,139,,,
20711,-0.041043,139,,,
20850,0.737261,139,,,
20989,0.959112,139,,,
21128,1.047687,139,,,
21267,0.900588,139,,,
21406,1.629097,139,,,
21545,0.257759,139,,,
