timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,15.552533,139,,,
278,15.755481,139,,,
417,16.289129,139,,,
556,15.80055,139,,,
695,16.234775,139,,,
834,15.52242,139,,,
973,15.362185,139,,,
1112,15.850039,139,,,
1251,15.413011,139,,,
1390,16.193855,139,,,
1529,15.901574,139,,,
1668,16.318324,139,,,
1807,15.829373,139,,,
1946,15.411349,139,,,
2085,15.564459,139,,,
2224,15.546603,139,,,
2363,16.255035,139,,,
2502,15.865799,139,,,
2641,15.785049,139,,,
2780,15.905368,139,,,
2919,15.712045,139,,,
3058,15.624756,139,,,
3197,16.754565,139,,,
3336,14.86906,139,,,
3475,16.102679,139,,,
3614,16.315777,139,,,
3753,15.340049,139,,,
3892,16.48457,139,,,
4031,15.830229,139,-0.018384814262390137,3.4900880068540574,0.8430551137775183
4170,16.022738,139,,,
4309,15.443919,139,,,
4448,16.856743,139,,,
4587,16.263049,139,,,
4726,15.559673,139,,,
4865,16.554082,139,,,
5004,16.598216,139,,,
5143,15.320794,139,,,
5282,15.813502,139,,,
5421,16.093831,139,,,
5560,15.340918,139,,,
5699,16.629344,139,,,
5838,16.590381,139,,,
5977,15.99686,139,,,
6116,15.664374,139,-0.05232894420623779,3.498861625790596,1.0894976504147054
6255,16.337524,139,,,
6394,16.055319,139,,,
6533,16.869223,139,,,
6672,15.690553,139,,,
6811,16.258915,139,,,
6950,16.126147,139,,,
7089,15.779248,139,,,
7228,16.156807,139,,,
7367,16.046686,139,,,
7506,15.617328,139,,,
7645,15.748971,139,,,
7784,15.446565,139,,,
7923,16.858593,139,,,
8062,15.793876,139,-0.03309500217437744,3.508925253152847,1.3819860599935054
8201,15.673202,139,,,
8340,17.13216,139,,,
8479,16.248121,139,,,
8618,16.764677,139,,,
8757,16.521824,139,,,
8896,16.177606,139,,,
9035,16.124687,139,,,
9174,16.844123,139,,,
9313,16.353254,139,,,
9452,15.912289,139,,,
9591,15.426046,139,,,
9730,16.532903,139,,,
9869,16.137673,139,,,
10008,16.765247,139,,,
10147,17.110883,139,-0.0013895034790039062,3.5223398476839067,1.6319426864385604
10286,16.508138,139,,,
10425,16.259428,139,,,
10564,16.318593,139,,,
10703,15.68958,139,,,
10842,15.785108,139,,,
10981,15.384578,139,,,
11120,15.986041,139,,,
11259,15.608814,139,,,
11398,16.798567,139,,,
11537,16.800588,139,,,
11676,16.58959,139,,,
11815,16.152142,139,,,
11954,16.369489,139,,,
12093,16.776848,139,,,
12232,16.78439,139,0.02599465847015381,3.5235241025686266,1.9055388689041137
12371,16.229144,139,,,
12510,16.316723,139,,,
12649,15.752152,139,,,
12788,16.300951,139,,,
12927,16.049677,139,,,
13066,16.248122,139,,,
13205,17.015939,139,,,
13344,16.872743,139,,,
13483,16.058081,139,,,
13622,16.025723,139,,,
13761,16.793068,139,,,
13900,15.648755,139,,,
14039,16.593603,139,,,
14178,16.575766,139,,,
14317,16.510143,139,0.09031456708908081,3.510667550563812,1.9055578380823135
14456,16.392045,139,,,
14595,16.6075,139,,,
14734,16.280988,139,,,
14873,17.092286,139,,,
15012,15.986221,139,,,
15151,16.425351,139,,,
15290,16.894083,139,,,
15429,17.114392,139,,,
15568,16.207429,139,,,
15707,16.755618,139,,,
15846,16.754061,139,,,
15985,16.920606,139,,,
16124,16.904913,139,,,
16263,15.880577,139,0.28052282333374023,3.494761493802071,1.641952183097601
16402,16.317254,139,,,
16541,16.717958,139,,,
16680,16.696241,139,,,
16819,16.228199,139,,,
16958,15.583018,139,,,
17097,16.419294,139,,,
17236,16.619283,139,,,
17375,16.834257,139,,,
17514,15.425303,139,,,
17653,16.681761,139,,,
17792,16.658739,139,,,
17931,16.81096,139,,,
18070,16.949183,139,,,
18209,16.233733,139,,,
18348,15.526445,139,0.5738074779510498,3.4865871518850327,0.9637320168316365
18487,16.823339,139,,,
18626,16.733273,139,,,
18765,16.077245,139,,,
18904,15.725332,139,,,
19043,16.235096,139,,,
19182,16.344356,139,,,
19321,17.29779,139,,,
19460,16.099343,139,,,
19599,16.231445,139,,,
19738,15.741478,139,,,
19877,16.562415,139,,,
20016,16.027396,139,,,
20155,16.336082,139,,,
20294,16.215743,139,,,
20433,16.482604,139,0.8425900936126709,3.483592575788498,0.42429397255182266
20572,16.429744,139,,,
20711,16.428218,139,,,
20850,16.746273,139,,,
20989,17.735362,139,,,
21128,16.366804,139,,,
21267,16.985499,139,,,
21406,16.571881,139,,,
21545,15.883564,139,,,
21684,16.472405,139,,,
21823,16.138701,139,,,
21962,16.798581,139,,,
22101,17.058804,139,,,
22240,16.821737,139,,,
22379,16.7477,139,,,
22518,16.118676,139,0.9448157548904419,3.4718202859163285,0.20755098378285766
22657,16.449076,139,,,
22796,16.554734,139,,,
22935,16.817259,139,,,
23074,17.293841,139,,,
23213,16.607909,139,,,
23352,17.492122,139,,,
23491,16.533202,139,,,
23630,17.054794,139,,,
23769,17.15269,139,,,
23908,17.460394,139,,,
24047,16.682607,139,,,
24186,17.114186,139,,,
24325,17.326135,139,,,
24464,16.636528,139,0.970563530921936,3.476469245553017,0.12506775809451937
24603,17.519266,139,,,
24742,17.767339,139,,,
24881,17.024499,139,,,
25020,17.65216,139,,,
25159,17.675637,139,,,
25298,17.958491,139,,,
25437,16.833145,139,,,
25576,16.474278,139,,,
25715,16.736529,139,,,
25854,16.04922,139,,,
25993,17.460143,139,,,
26132,16.875594,139,,,
26271,17.587645,139,,,
26410,17.702017,139,,,
26549,17.472808,139,0.9826824069023132,3.474354127049446,0.10664218524470925
26688,17.46443,139,,,
26827,17.238287,139,,,
26966,17.425503,139,,,
27105,17.232799,139,,,
27244,17.650135,139,,,
27383,18.072102,139,,,
27522,16.844154,139,,,
27661,16.177812,139,,,
27800,17.980069,139,,,
27939,17.411629,139,,,
28078,17.784362,139,,,
28217,17.424889,139,,,
28356,17.370887,139,,,
28495,17.060955,139,,,
28634,18.670686,139,0.9886646270751953,3.480480155348778,0.07473701038397848
28773,17.49809,139,,,
28912,18.013707,139,,,
29051,17.496755,139,,,
29190,17.889752,139,,,
29329,17.825568,139,,,
29468,17.677969,139,,,
29607,17.156161,139,,,
29746,17.652862,139,,,
29885,17.18698,139,,,
30024,17.568797,139,,,
30163,17.621831,139,,,
30302,17.021489,139,,,
30441,18.446348,139,,,
30580,17.951409,139,,,
30719,17.817143,139,0.9902510046958923,3.492088681459427,0.06577242561616004
30858,17.649491,139,,,
30997,18.030179,139,,,
31136,18.104969,139,,,
31275,18.178352,139,,,
31414,18.107671,139,,,
31553,17.50378,139,,,
31692,17.840918,139,,,
31831,18.416362,139,,,
31970,18.089724,139,,,
32109,18.551028,139,,,
32248,17.294507,139,,,
32387,18.213443,139,,,
32526,18.54497,139,,,
32665,17.789764,139,0.9912765026092529,3.5078651696443557,0.060238377377390864
32804,18.740494,139,,,
32943,17.858807,139,,,
33082,17.83236,139,,,
33221,17.751466,139,,,
33360,18.159622,139,,,
33499,17.602851,139,,,
33638,18.20198,139,,,
33777,17.649983,139,,,
33916,18.522391,139,,,
34055,18.794174,139,,,
34194,18.26547,139,,,
34333,18.179063,139,,,
34472,17.617174,139,,,
34611,18.559154,139,,,
34750,18.168063,139,0.9926114678382874,3.5257412999868394,0.07201194851659239
34889,18.549222,139,,,
35028,18.769009,139,,,
35167,18.98511,139,,,
35306,18.060571,139,,,
35445,19.035302,139,,,
35584,18.974365,139,,,
35723,19.041168,139,,,
35862,17.718157,139,,,
36001,18.901016,139,,,
36140,18.127454,139,,,
36279,17.983797,139,,,
36418,18.676611,139,,,
36557,17.647578,139,,,
36696,18.544639,139,,,
36835,18.345921,139,0.993135929107666,3.5216584116220475,0.056571511831134555
36974,18.908446,139,,,
37113,18.016891,139,,,
37252,18.377263,139,,,
37391,18.982543,139,,,
37530,18.901525,139,,,
37669,18.360883,139,,,
37808,18.988445,139,,,
37947,17.417122,139,,,
38086,18.835597,139,,,
38225,18.497174,139,,,
38364,19.213723,139,,,
38503,18.623405,139,,,
38642,18.490281,139,,,
38781,18.942558,139,0.9930036664009094,3.5238549411296844,0.056993802543729544
38920,18.263081,139,,,
39059,19.173287,139,,,
39198,18.854196,139,,,
39337,18.266909,139,,,
39476,18.921742,139,,,
39615,18.908528,139,,,
39754,18.753106,139,,,
39893,19.437413,139,,,
40032,18.952897,139,,,
40171,18.680732,139,,,
40310,19.120431,139,,,
40449,18.583226,139,,,
