timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,15.552533,139,,,
278,15.755481,139,,,
417,16.289129,139,,,
556,15.80055,139,,,
695,16.234775,139,,,
834,15.52242,139,,,
973,15.362185,139,,,
1112,15.850039,139,,,
1251,15.413011,139,,,
1390,16.193855,139,,,
1529,15.901574,139,,,
1668,16.318324,139,,,
1807,15.829373,139,,,
1946,15.411349,139,,,
2085,15.564459,139,,,
2224,15.546603,139,,,
2363,16.255035,139,,,
2502,15.865799,139,,,
2641,15.785049,139,,,
2780,15.905368,139,,,
2919,15.712045,139,,,
3058,15.624756,139,,,
3197,16.754565,139,,,
3336,14.86906,139,,,
3475,16.102679,139,,,
3614,16.315777,139,,,
3753,15.340049,139,,,
3892,16.48457,139,,,
4031,15.830229,139,-0.018384814262390137,3.4900880068540574,0.8430551137775183
