timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,31.537289,455,,,
910,31.720595,455,,,
1365,13.790852,455,,,
1820,26.375244,455,,,
2275,29.134754,455,,,
2730,25.648506,455,,,
3185,26.007066,455,,,
3640,29.062053,455,,,
4095,26.927117,455,0.0037007927894592285,6.368142700195312,4.465099039673805
4550,29.644263,455,,,
5005,33.944973,455,,,
5460,21.706075,455,,,
5915,25.48566,455,0.17413371801376343,6.356730562448502,3.270890000462532
6370,36.369019,455,,,
6825,27.053992,455,,,
7280,33.81271,455,,,
7735,32.982497,455,,,
8190,25.382763,455,0.44621390104293823,6.36867538690567,3.134216383099556
8645,24.956861,455,,,
9100,33.433942,455,,,
9555,32.753232,455,,,
10010,36.577589,455,0.6337356567382812,6.380983245372772,2.7651368141174317
10465,30.376466,455,,,
10920,33.219551,455,,,
11375,25.358684,455,,,
11830,38.122584,455,,,
12285,32.553061,455,0.7759465575218201,6.386968886852264,2.4124524667859077
12740,31.841933,455,,,
13195,28.264267,455,,,
13650,23.253269,455,,,
14105,38.523532,455,0.8209569454193115,6.389882349967957,2.241336965560913
14560,36.516255,455,,,
15015,37.393157,455,,,
15470,30.458378,455,,,
15925,27.193828,455,,,
16380,32.870901,455,0.8334838151931763,6.398054361343384,2.1472713753581045
16835,35.239544,455,,,
17290,26.324029,455,,,
17745,28.207679,455,,,
18200,36.041891,455,0.8403201699256897,6.38564772605896,1.886233778297901
18655,32.867125,455,,,
19110,38.999426,455,,,
19565,25.046286,455,,,
20020,30.129233,455,,,
20475,30.662632,455,0.8210199475288391,6.370880979299545,2.3668076798319815
20930,34.322304,455,,,
21385,27.864356,455,,,
21840,27.924678,455,,,
22295,30.761886,455,0.8430770635604858,6.375802421569825,2.0099881544709204
22750,16.313221,455,,,
23205,24.757502,455,,,
23660,37.49992,455,,,
24115,29.149827,455,,,
24570,20.628449,455,0.8409850597381592,6.386087429523468,2.257387402653694
25025,40.522761,455,,,
25480,34.761781,455,,,
25935,15.862159,455,,,
26390,35.10474,455,0.855408787727356,6.390684056282043,2.128232370316982
26845,37.26035,455,,,
27300,31.968617,455,,,
27755,29.680128,455,,,
28210,37.469174,455,,,
28665,25.386718,455,0.8379268646240234,6.398035854101181,2.4198738411068916
29120,26.782361,455,,,
29575,30.86882,455,,,
30030,41.686754,455,,,
30485,28.599912,455,0.8757203221321106,6.4142016768455505,1.9273720249533652
30940,32.760209,455,,,
31395,30.264065,455,,,
31850,35.170454,455,,,
32305,28.993702,455,,,
32760,33.906227,455,0.8665685057640076,6.409262454509735,2.109428831934929
33215,27.181894,455,,,
33670,19.18228,455,,,
34125,36.035355,455,,,
34580,36.606194,455,0.8818958401679993,6.403823977708816,1.7489680334925652
35035,30.392866,455,,,
35490,38.663655,455,,,
35945,36.909356,455,,,
36400,35.19454,455,,,
36855,28.384802,455,0.8730000257492065,6.3981788694858555,1.816851456463337
37310,28.741231,455,,,
37765,36.104354,455,,,
38220,41.151534,455,,,
38675,36.821552,455,0.8680941462516785,6.387804162502289,1.7582887604832649
39130,35.077639,455,,,
39585,42.258881,455,,,
40040,32.90912,455,,,
40495,32.828883,455,,,
40950,41.047372,455,0.8867256045341492,6.387291353940964,1.6263269931077957
41405,33.748051,455,,,
41860,29.637786,455,,,
42315,33.838928,455,,,
42770,45.625663,455,0.8889170289039612,6.394665867090225,1.601832115650177
