timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,26.606443,455,,,
910,24.579892,455,,,
1365,29.343324,455,,,
1820,32.279477,455,,,
2275,32.730601,455,,,
2730,30.36987,455,,,
3185,27.001583,455,,,
3640,34.300099,455,,,
4095,30.223411,455,-0.002770662307739258,6.384564453363419,6.113705414533615
4550,34.859005,455,,,
5005,23.950949,455,,,
5460,20.094832,455,,,
5915,15.216911,455,0.16176140308380127,6.379177886247635,3.5399338483810423
6370,33.584232,455,,,
6825,22.203349,455,,,
7280,23.141535,455,,,
7735,24.313151,455,,,
8190,33.109661,455,0.3149263262748718,6.385045123100281,4.187241080403328
8645,24.707103,455,,,
9100,21.248857,455,,,
9555,33.293154,455,,,
10010,36.686998,455,0.517167329788208,6.396408945322037,3.2593088299036026
10465,26.113519,455,,,
10920,10.155426,455,,,
11375,33.57274,455,,,
11830,15.893437,455,,,
12285,32.426025,455,0.620658278465271,6.404540205001831,3.5282750606536863
12740,30.803041,455,,,
13195,35.673371,455,,,
13650,22.452252,455,,,
14105,36.956325,455,0.7162705659866333,6.417793142795563,2.616288298368454
14560,24.732842,455,,,
15015,32.721125,455,,,
15470,16.776363,455,,,
15925,37.258412,455,,,
16380,41.554756,455,0.7675850987434387,6.417868202924728,3.0887054413557054
16835,23.795062,455,,,
17290,29.303322,455,,,
17745,32.358417,455,,,
18200,19.818815,455,0.8206133842468262,6.413046050071716,2.5189047709107397
18655,32.053827,455,,,
19110,18.345548,455,,,
19565,39.947907,455,,,
20020,26.935241,455,,,
20475,18.41894,455,0.8347820043563843,6.399618327617645,2.658685025572777
20930,30.502987,455,,,
21385,22.297879,455,,,
21840,27.319978,455,,,
22295,25.681363,455,0.8385568261146545,6.393633741140365,2.4443219035863875
22750,36.186186,455,,,
23205,34.879039,455,,,
23660,22.365709,455,,,
24115,28.310712,455,,,
24570,29.874229,455,0.8747735023498535,6.401330441236496,2.316737224161625
25025,28.31194,455,,,
25480,26.649805,455,,,
25935,26.118823,455,,,
26390,36.067167,455,0.8654484152793884,6.413774961233139,2.4753292366862296
26845,37.774317,455,,,
27300,26.302641,455,,,
27755,23.46128,455,,,
28210,36.867235,455,,,
28665,31.243129,455,0.875255286693573,6.428443491458893,2.1906246080994607
29120,43.082319,455,,,
29575,34.984022,455,,,
30030,25.854451,455,,,
30485,32.476032,455,0.8852443695068359,6.445225805044174,2.1603311359882356
30940,31.931515,455,,,
31395,19.270697,455,,,
31850,27.050048,455,,,
32305,30.40241,455,,,
32760,28.692359,455,0.8950294852256775,6.458712804317474,2.223021702468395
33215,33.981304,455,,,
33670,36.410497,455,,,
34125,40.654774,455,,,
34580,36.677213,455,0.9055446982383728,6.471727788448334,1.9058681473135948
35035,43.880114,455,,,
35490,25.827151,455,,,
35945,32.606535,455,,,
36400,31.106044,455,,,
36855,29.93684,455,0.895208477973938,6.476861882209778,2.388289114832878
37310,33.505318,455,,,
37765,36.724669,455,,,
38220,30.897837,455,,,
38675,25.475239,455,0.9033631682395935,6.475252115726471,1.8896665140986442
39130,22.724711,455,,,
39585,35.36149,455,,,
40040,18.777759,455,,,
40495,33.351463,455,,,
40950,29.729194,455,0.9032971262931824,6.47715802192688,2.205024319887161
41405,25.131831,455,,,
41860,25.435452,455,,,
42315,22.531948,455,,,
42770,21.615974,455,0.912993848323822,6.486840206384659,1.9760553315281868
43225,19.889252,455,,,
43680,25.766441,455,,,
44135,24.745845,455,,,
44590,31.640609,455,,,
45045,27.097605,455,0.9256846904754639,6.49664472937584,1.7812588796019555
45500,24.890455,455,,,
45955,26.743414,455,,,
46410,34.059219,455,,,
46865,16.329016,455,0.9148261547088623,6.503690737485885,1.9139282286167145
47320,19.817941,455,,,
47775,34.641196,455,,,
48230,30.977672,455,,,
48685,19.574541,455,,,
49140,29.72535,455,0.9000741839408875,6.507205784320831,2.124727913737297
49595,8.444091,455,,,
50050,40.198015,455,,,
50505,25.160234,455,,,
50960,35.939117,455,0.9194544553756714,6.509184271097183,1.7417314916849136
51415,31.094545,455,,,
51870,29.870058,455,,,
52325,29.781608,455,,,
52780,36.847982,455,,,
53235,40.823862,455,0.8918769955635071,6.52350350022316,2.480990006029606
53690,31.251736,455,,,
54145,23.720538,455,,,
54600,27.012974,455,,,
55055,25.663614,455,0.9132651686668396,6.531399977207184,1.9818746030330658
55510,41.12173,455,,,
55965,37.104539,455,,,
56420,38.162183,455,,,
56875,24.479067,455,,,
57330,21.444791,455,0.9125780463218689,6.526203238964081,2.0184187039732935
57785,32.759527,455,,,
58240,46.029928,455,,,
58695,37.693011,455,,,
59150,37.880542,455,0.8968840837478638,6.524671125411987,2.174859069287777
59605,28.517946,455,,,
60060,37.213723,455,,,
60515,37.755207,455,,,
