timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-84.728733,455,,,
910,-78.93946,455,,,
1365,-78.837005,455,,,
1820,-65.45341,455,,,
2275,-91.400817,455,,,
2730,-72.811616,455,,,
3185,-71.489894,455,,,
3640,-75.225879,455,,,
4095,-68.763111,455,0.017387866973876953,6.409197163581848,5.7772843658924105
4550,-80.264553,455,,,
5005,-74.414652,455,,,
5460,-69.908023,455,,,
5915,-65.62576,455,0.2651214003562927,6.41790047287941,5.206687247753143
6370,-84.400262,455,,,
6825,-66.824523,455,,,
7280,-78.979021,455,,,
7735,-71.670977,455,,,
8190,-70.656516,455,0.5107612609863281,6.403141611814499,4.799832829833031
8645,-73.697322,455,,,
9100,-72.280028,455,,,
9555,-81.970792,455,,,
10010,-75.903345,455,0.698362410068512,6.41532512307167,4.53367455303669
10465,-77.707549,455,,,
10920,-69.452322,455,,,
11375,-84.407284,455,,,
11830,-80.889753,455,,,
12285,-86.478497,455,0.710830807685852,6.46385355591774,4.919813945889473
12740,-66.443944,455,,,
13195,-69.506063,455,,,
13650,-80.785238,455,,,
14105,-88.460686,455,0.7555558681488037,6.49941064119339,4.815121033787728
14560,-68.050852,455,,,
15015,-68.810389,455,,,
15470,-89.121911,455,,,
15925,-62.812377,455,,,
16380,-73.726266,455,0.7632906436920166,6.51227520108223,4.953044334053994
16835,-89.618213,455,,,
17290,-82.910836,455,,,
17745,-77.213687,455,,,
18200,-68.740461,455,0.8375842571258545,6.5213688015937805,3.9459486484527586
18655,-77.441924,455,,,
19110,-70.992052,455,,,
19565,-59.021142,455,,,
20020,-68.794537,455,,,
20475,-80.799124,455,0.840956449508667,6.537949830293655,3.919831594824791
20930,-70.707693,455,,,
21385,-71.425606,455,,,
21840,-72.568044,455,,,
22295,-80.744797,455,0.8798156976699829,6.566675013303756,3.0868563771247866
22750,-71.751879,455,,,
23205,-84.929792,455,,,
23660,-60.066683,455,,,
24115,-82.157185,455,,,
24570,-73.992938,455,0.8832239508628845,6.582333320379258,3.2409257709980013
25025,-61.079602,455,,,
25480,-71.369879,455,,,
25935,-82.964903,455,,,
26390,-76.025998,455,0.8851097822189331,6.598620969057083,3.7282531768083573
26845,-65.456553,455,,,
27300,-67.418871,455,,,
27755,-80.302401,455,,,
28210,-76.25681,455,,,
28665,-68.720204,455,0.9163963198661804,6.6184067845344545,2.7159261614084245
29120,-65.868822,455,,,
29575,-77.657411,455,,,
30030,-88.442522,455,,,
30485,-69.332565,455,0.9241139888763428,6.6309081494808195,2.765553379058838
30940,-83.874411,455,,,
31395,-80.039871,455,,,
31850,-83.245136,455,,,
32305,-60.114319,455,,,
32760,-57.913672,455,0.9227017164230347,6.658294695615768,3.000997456908226
33215,-85.591432,455,,,
33670,-85.050879,455,,,
34125,-79.421765,455,,,
34580,-79.002175,455,0.9256895184516907,6.674122220277786,2.85062435567379
35035,-71.643158,455,,,
35490,-65.803502,455,,,
35945,-72.547439,455,,,
36400,-68.647269,455,,,
36855,-75.207532,455,0.9356120824813843,6.681275242567063,2.400350870192051
37310,-88.754791,455,,,
37765,-81.102324,455,,,
38220,-80.394945,455,,,
38675,-82.866641,455,0.9372183680534363,6.694400119781494,2.457876981794834
39130,-85.165754,455,,,
39585,-77.348476,455,,,
40040,-75.909765,455,,,
40495,-75.74403,455,,,
40950,-62.394616,455,0.9250943660736084,6.71282012462616,2.8092893213033676
41405,-65.853849,455,,,
41860,-79.316656,455,,,
42315,-69.99939,455,,,
42770,-69.370043,455,0.9326432943344116,6.731305122375488,2.6163561552762986
43225,-67.08306,455,,,
43680,-88.432527,455,,,
44135,-79.148059,455,,,
44590,-82.204705,455,,,
45045,-81.87963,455,0.9406505823135376,6.743802857398987,2.3890385001897814
45500,-65.666272,455,,,
45955,-79.129682,455,,,
46410,-84.286603,455,,,
46865,-58.775301,455,0.9408653378486633,6.748008435964584,2.40454028993845
47320,-95.507552,455,,,
47775,-54.99132,455,,,
48230,-75.051738,455,,,
48685,-67.292068,455,,,
49140,-71.073387,455,0.9321933388710022,6.761239457130432,2.4779570758342744
49595,-63.558448,455,,,
50050,-73.931106,455,,,
50505,-84.60215,455,,,
50960,-70.329693,455,0.9395572543144226,6.771786850690842,2.4690743878483774
51415,-72.280782,455,,,
51870,-96.567546,455,,,
52325,-75.426183,455,,,
52780,-69.259444,455,,,
53235,-73.328779,455,0.9512025117874146,6.7818049669265745,2.0744173258543013
53690,-68.083344,455,,,
54145,-73.056831,455,,,
54600,-77.773241,455,,,
55055,-84.817762,455,0.9433035254478455,6.7951685130596164,2.5104655280709265
55510,-69.207304,455,,,
55965,-77.724875,455,,,
56420,-71.32379,455,,,
56875,-82.82299,455,,,
57330,-63.676704,455,0.9528297185897827,6.819107967615127,1.9123827621340752
57785,-65.9894,455,,,
58240,-82.033211,455,,,
58695,-82.692859,455,,,
59150,-75.946776,455,0.9558901190757751,6.8515880644321445,2.0581457376480103
59605,-82.254108,455,,,
60060,-82.609699,455,,,
60515,-65.512641,455,,,
60970,-82.987478,455,,,
61425,-71.113893,455,0.940483808517456,6.8694170951843265,2.4791298776865007
61880,-61.436957,455,,,
62335,-81.268859,455,,,
62790,-76.261861,455,,,
63245,-71.976682,455,0.9531683325767517,6.876972222328186,2.1450788423419
63700,-77.040598,455,,,
64155,-71.943229,455,,,
64610,-86.612578,455,,,
65065,-63.294642,455,,,
65520,-71.961796,455,0.9608750343322754,6.880645018815994,1.8446476384997368
65975,-77.543697,455,,,
66430,-68.424038,455,,,
66885,-62.83839,455,,,
67340,-55.910036,455,0.9560726284980774,6.886104083061218,2.4197693079710008
67795,-59.12711,455,,,
68250,-75.807937,455,,,
68705,-75.463297,455,,,
69160,-78.172024,455,,,
69615,-68.235312,455,0.9643373489379883,6.897976499795914,1.8316471680998803
70070,-82.959591,455,,,
70525,-74.536527,455,,,
70980,-77.548281,455,,,
71435,-71.856841,455,0.961499810218811,6.904619836807251,2.0558346047997476
71890,-71.757841,455,,,
72345,-76.564361,455,,,
72800,-81.336117,455,,,
73255,-75.002709,455,,,
73710,-63.398423,455,0.9576403498649597,6.911510443687439,1.8613621965050697
74165,-69.687112,455,,,
74620,-57.100408,455,,,
75075,-63.503264,455,,,
75530,-69.780628,455,0.9557645916938782,6.924205350875854,1.9750430896878242
75985,-63.272675,455,,,
76440,-83.214675,455,,,
76895,-70.685296,455,,,
77350,-70.246004,455,,,
77805,-63.672522,455,0.9634420871734619,6.928986757993698,1.5202967420220375
78260,-86.990301,455,,,
78715,-75.470306,455,,,
79170,-81.705288,455,,,
79625,-79.193186,455,0.9605241417884827,6.937314081192016,1.8222410172224044
80080,-65.27011,455,,,
80535,-70.054785,455,,,
80990,-78.026642,455,,,
81445,-71.51025,455,,,
81900,-70.201,455,0.9643959999084473,6.955510830879211,1.5800199598073958
82355,-72.568384,455,,,
82810,-78.318935,455,,,
83265,-72.325473,455,,,
83720,-69.047389,455,0.9640340805053711,6.9930866181850435,1.6424768701195718
84175,-66.748276,455,,,
84630,-61.220477,455,,,
85085,-66.205204,455,,,
85540,-64.433919,455,,,
85995,-64.917672,455,0.9674375653266907,7.036219644546509,1.4372876435518265
86450,-73.397876,455,,,
86905,-57.708313,455,,,
87360,-76.521101,455,,,
87815,-68.12457,455,0.9627799391746521,7.073634350299836,1.6799186602234841
88270,-68.941271,455,,,
88725,-73.742377,455,,,
89180,-57.080466,455,,,
89635,-65.547275,455,,,
90090,-47.924081,455,0.9655786752700806,7.0928688704967495,1.4856522694230079
90545,-66.812061,455,,,
91000,-70.54212,455,,,
91455,-69.624291,455,,,
91910,-60.125062,455,0.9559673070907593,7.092911297082901,1.9889760628342628
92365,-69.11274,455,,,
92820,-65.640226,455,,,
93275,-69.391457,455,,,
93730,-61.998097,455,,,
94185,-76.304446,455,0.961966872215271,7.08576385974884,1.651797817647457
94640,-61.097171,455,,,
95095,-62.899555,455,,,
95550,-87.748236,455,,,
96005,-63.612678,455,0.9603326320648193,7.093758195638657,1.6543320149183274
96460,-75.622306,455,,,
96915,-65.345361,455,,,
97370,-69.54342,455,,,
97825,-73.273747,455,,,
98280,-73.555255,455,0.963188648223877,7.120140725374222,1.620230533182621
98735,-70.956911,455,,,
99190,-58.505401,455,,,
99645,-81.485453,455,,,
100100,-53.91042,455,0.9646495580673218,7.138331663608551,1.4579383790493012
100555,-73.231399,455,,,
101010,-74.437403,455,,,
101465,-64.010481,455,,,
101920,-66.448227,455,,,
102375,-66.303349,455,0.9613299369812012,7.157809937000275,1.8025781765580178
102830,-80.918754,455,,,
103285,-71.417454,455,,,
103740,-72.686109,455,,,
104195,-70.209773,455,0.9496077299118042,7.166326636075974,2.2342653274536133
104650,-63.244407,455,,,
105105,-58.143718,455,,,
105560,-62.908267,455,,,
106015,-57.519256,455,,,
106470,-76.536561,455,0.9687005877494812,7.170012807846069,1.4923728466033936
106925,-61.635023,455,,,
107380,-69.980764,455,,,
107835,-62.472141,455,,,
108290,-70.767055,455,0.9696167707443237,7.193749165534973,1.5365093722939491
108745,-58.287889,455,,,
109200,-64.298972,455,,,
109655,-65.618535,455,,,
110110,-52.306887,455,,,
110565,-84.488035,455,0.9642409086227417,7.2183671534061435,1.4319726020097732
111020,-64.578539,455,,,
111475,-65.987063,455,,,
111930,-56.285287,455,,,
112385,-77.096505,455,0.9607389569282532,7.230277329683304,1.8412932872772216
112840,-58.881874,455,,,
113295,-78.755567,455,,,
113750,-66.149231,455,,,
114205,-63.731534,455,,,
114660,-66.46855,455,0.9671415090560913,7.2542933285236355,1.4083969920873642
115115,-79.011224,455,,,
115570,-65.755066,455,,,
