timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-38.026239,455,,,
910,-38.662221,455,,,
1365,-44.123191,455,,,
1820,-33.666049,455,,,
2275,-37.119517,455,,,
2730,-43.684116,455,,,
3185,-30.322939,455,,,
3640,-58.20211,455,,,
4095,-32.056917,455,0.011560499668121338,6.405313813686371,5.385983490943909
4550,-33.50141,455,,,
5005,-35.008556,455,,,
5460,-36.506016,455,,,
5915,-27.307061,455,0.1143614649772644,6.42591313123703,5.549402064085006
6370,-35.2689,455,,,
6825,-31.594736,455,,,
7280,-38.3486,455,,,
7735,-33.163292,455,,,
8190,-40.851216,455,0.3127066493034363,6.443293285369873,3.9851656705141068
8645,-42.889228,455,,,
9100,-38.182714,455,,,
9555,-31.183701,455,,,
10010,-29.370657,455,0.5156084299087524,6.473591977357865,3.7994103342294694
10465,-35.012354,455,,,
10920,-31.516733,455,,,
11375,-38.925346,455,,,
11830,-33.272042,455,,,
12285,-38.028829,455,0.5983618497848511,6.487286520004273,3.76494799554348
12740,-22.829616,455,,,
13195,-38.775911,455,,,
13650,-45.70135,455,,,
14105,-33.035709,455,0.6771868467330933,6.491266542673111,3.3144946157932282
14560,-39.271767,455,,,
15015,-48.637564,455,,,
15470,-36.560287,455,,,
15925,-27.637491,455,,,
16380,-31.862776,455,0.715349555015564,6.503655135631561,3.4664447009563446
16835,-28.580149,455,,,
17290,-40.795664,455,,,
17745,-31.655052,455,,,
18200,-29.746866,455,0.7728309035301208,6.514786428213119,2.862823635339737
18655,-31.965675,455,,,
19110,-35.368064,455,,,
19565,-34.047462,455,,,
20020,-42.326303,455,,,
20475,-16.460584,455,0.7966680526733398,6.528106075525284,2.5900969088077543
20930,-38.558857,455,,,
21385,-35.761329,455,,,
21840,-29.049147,455,,,
22295,-43.975701,455,0.8244026303291321,6.533912318944931,2.486297297477722
22750,-40.037813,455,,,
23205,-38.362649,455,,,
23660,-32.03318,455,,,
24115,-32.490749,455,,,
24570,-31.990393,455,0.812394380569458,6.537250250577927,2.5916780546307563
25025,-23.42651,455,,,
25480,-40.135814,455,,,
25935,-35.969955,455,,,
26390,-28.695089,455,0.8327219486236572,6.557335734367371,2.51132120937109
26845,-26.156123,455,,,
27300,-33.037347,455,,,
27755,-29.765202,455,,,
28210,-27.723058,455,,,
28665,-34.576963,455,0.8346215486526489,6.575863152742386,2.4391448557376862
29120,-23.375217,455,,,
29575,-40.999174,455,,,
30030,-32.504786,455,,,
30485,-22.010555,455,0.851282000541687,6.586511391401291,2.5162392035126686
30940,-34.484512,455,,,
31395,-32.612241,455,,,
31850,-24.206032,455,,,
32305,-37.725908,455,,,
32760,-33.548639,455,0.8342894315719604,6.5994078576564785,2.576724462211132
33215,-47.557497,455,,,
33670,-33.409149,455,,,
34125,-26.971039,455,,,
34580,-36.905252,455,0.8375587463378906,6.6040966510772705,2.5460576117038727
35035,-34.055191,455,,,
35490,-37.985981,455,,,
35945,-36.391449,455,,,
36400,-36.622229,455,,,
36855,-26.807145,455,0.8407034277915955,6.594951730966568,2.3876009210944176
37310,-30.208242,455,,,
37765,-31.190616,455,,,
38220,-26.350329,455,,,
38675,-31.15182,455,0.857315182685852,6.596828037500382,2.299019378423691
39130,-31.511298,455,,,
39585,-28.392379,455,,,
40040,-35.133875,455,,,
40495,-21.702871,455,,,
40950,-32.633031,455,0.8333909511566162,6.619368612766266,2.5564228892326355
41405,-30.844932,455,,,
41860,-36.925063,455,,,
42315,-30.157409,455,,,
42770,-23.615903,455,0.8404132723808289,6.639198738336563,2.318919838964939
43225,-27.583315,455,,,
43680,-34.756271,455,,,
44135,-27.99503,455,,,
44590,-30.424258,455,,,
45045,-30.826808,455,0.8473908305168152,6.660881090164184,2.1814620435237884
45500,-29.947152,455,,,
45955,-38.332303,455,,,
46410,-33.226917,455,,,
46865,-22.283449,455,0.8513771295547485,6.675430315732956,2.3492769315838813
47320,-27.664073,455,,,
47775,-35.110021,455,,,
48230,-28.081854,455,,,
48685,-28.557883,455,,,
49140,-29.308818,455,0.8415144681930542,6.681016159057617,2.190815471112728
49595,-43.930307,455,,,
50050,-37.573521,455,,,
50505,-40.381985,455,,,
50960,-31.697783,455,0.8392499685287476,6.681253856420517,2.441112074255943
51415,-45.887072,455,,,
51870,-37.575192,455,,,
52325,-27.942669,455,,,
52780,-27.61521,455,,,
53235,-42.443643,455,0.8501915335655212,6.693981826305389,2.029926282167435
53690,-39.233329,455,,,
54145,-41.099036,455,,,
54600,-27.441424,455,,,
55055,-23.986231,455,0.8630683422088623,6.703309786319733,2.1271920204162598
55510,-36.727835,455,,,
55965,-39.109131,455,,,
56420,-30.704866,455,,,
56875,-37.311652,455,,,
57330,-47.262265,455,0.8353763222694397,6.721155142784118,2.0701029002666473
57785,-27.001773,455,,,
58240,-24.029266,455,,,
58695,-27.473682,455,,,
59150,-31.935796,455,0.8620885610580444,6.743971782922745,1.976726871728897
59605,-30.830846,455,,,
60060,-35.364936,455,,,
60515,-28.376566,455,,,
60970,-32.420824,455,,,
61425,-32.357933,455,0.8612328767776489,6.762064796686173,1.9177645862102508
61880,-25.504904,455,,,
62335,-29.275357,455,,,
62790,-35.485903,455,,,
63245,-35.581571,455,0.8782420754432678,6.772838073968887,1.7372559204697609
63700,-35.696655,455,,,
64155,-38.524986,455,,,
64610,-36.434377,455,,,
65065,-33.381458,455,,,
65520,-32.106963,455,0.8536481857299805,6.763726162910461,2.1980817139148714
65975,-34.340198,455,,,
66430,-25.87915,455,,,
66885,-31.867643,455,,,
67340,-25.854737,455,0.8730967044830322,6.768957549333573,1.9660871788859366
67795,-31.439224,455,,,
68250,-35.986808,455,,,
68705,-33.84194,455,,,
69160,-30.592084,455,,,
69615,-29.631451,455,0.874488115310669,6.7736831367015835,2.207422122359276
70070,-23.209816,455,,,
70525,-38.175856,455,,,
70980,-29.469944,455,,,
71435,-39.953231,455,0.878391444683075,6.784433507919312,2.1392510533332825
71890,-33.486307,455,,,
72345,-39.074443,455,,,
72800,-34.441384,455,,,
73255,-23.566272,455,,,
73710,-36.380071,455,0.8881331086158752,6.797485935688019,1.8945594370365142
74165,-34.940296,455,,,
74620,-33.438048,455,,,
75075,-31.191413,455,,,
75530,-35.12665,455,0.8844230771064758,6.810120183229446,2.1413402780890465
75985,-41.57062,455,,,
76440,-37.466518,455,,,
76895,-30.909948,455,,,
77350,-30.882669,455,,,
77805,-22.726249,455,0.8865723609924316,6.8240100860595705,1.6480672478675842
78260,-28.834522,455,,,
78715,-25.643128,455,,,
79170,-20.895691,455,,,
79625,-33.508224,455,0.8709370493888855,6.827802073955536,1.9552441820502282
80080,-32.087414,455,,,
80535,-33.320682,455,,,
80990,-27.031231,455,,,
81445,-45.286054,455,,,
81900,-36.019175,455,0.8949815630912781,6.840957552194595,1.7703314125537872
82355,-38.31984,455,,,
82810,-28.594116,455,,,
83265,-26.286663,455,,,
83720,-26.039847,455,0.8909472823143005,6.846757090091705,2.213786466419697
84175,-30.796644,455,,,
84630,-21.929831,455,,,
85085,-26.852505,455,,,
85540,-21.20036,455,,,
85995,-25.760094,455,0.905706524848938,6.862234139442444,1.951098418235779
86450,-29.520619,455,,,
86905,-38.401786,455,,,
87360,-26.542494,455,,,
87815,-32.148658,455,0.8996368050575256,6.88072282075882,2.5242753997445107
88270,-44.285368,455,,,
88725,-34.274796,455,,,
89180,-36.904454,455,,,
89635,-31.470605,455,,,
90090,-21.982495,455,0.8975988030433655,6.888368010520935,1.6775830045342446
90545,-26.311132,455,,,
91000,-21.919672,455,,,
91455,-32.612998,455,,,
91910,-20.984931,455,0.8729207515716553,6.891419208049774,2.017130048573017
92365,-20.779651,455,,,
92820,-33.678658,455,,,
93275,-27.57118,455,,,
93730,-28.736575,455,,,
94185,-19.36843,455,0.8859094381332397,6.906543099880219,1.8920466154813766
94640,-21.181984,455,,,
95095,-26.596356,455,,,
95550,-32.65979,455,,,
96005,-23.17994,455,0.8846689462661743,6.915329724550247,2.0494389563798903
96460,-31.555943,455,,,
96915,-23.341166,455,,,
97370,-29.959898,455,,,
97825,-30.768691,455,,,
98280,-24.189128,455,0.9034287333488464,6.916258752346039,1.729778927564621
98735,-38.036262,455,,,
99190,-26.119786,455,,,
99645,-30.386572,455,,,
100100,-32.512845,455,0.9004929661750793,6.929390347003936,1.736846487224102
100555,-29.456807,455,,,
101010,-26.161178,455,,,
101465,-28.713209,455,,,
101920,-40.482232,455,,,
102375,-20.732775,455,0.905368447303772,6.940638935565948,1.4632532700896264
102830,-28.603181,455,,,
103285,-31.316408,455,,,
103740,-39.338906,455,,,
104195,-27.933351,455,0.8795104622840881,6.960328161716461,2.0652940809726714
104650,-30.976235,455,,,
105105,-25.282645,455,,,
105560,-23.460697,455,,,
106015,-26.714183,455,,,
106470,-26.350628,455,0.8975167274475098,6.98700845837593,1.5486435875296594
106925,-26.484913,455,,,
107380,-13.364069,455,,,
107835,-28.176544,455,,,
108290,-25.182108,455,0.8600158095359802,7.008532220125199,1.9591917872428894
108745,-27.123759,455,,,
109200,-29.282754,455,,,
109655,-32.450833,455,,,
110110,-36.259539,455,,,
110565,-23.693967,455,0.8850679397583008,7.029368901252747,1.731318075954914
111020,-27.034237,455,,,
111475,-26.713756,455,,,
111930,-23.42465,455,,,
112385,-37.895006,455,0.8946924209594727,7.056002128124237,1.7184082731604575
112840,-23.162777,455,,,
113295,-26.347659,455,,,
113750,-36.622694,455,,,
114205,-34.084825,455,,,
114660,-24.889355,455,0.9027060270309448,7.057824975252151,1.627917443215847
115115,-33.631572,455,,,
115570,-16.316828,455,,,
116025,-30.600802,455,,,
116480,-29.660013,455,0.8919516205787659,7.058713895082474,2.0603683575987817
116935,-29.147348,455,,,
117390,-11.644826,455,,,
117845,-26.371087,455,,,
118300,-25.863878,455,,,
118755,-30.510565,455,0.9035701751708984,7.076645374298096,1.6325242191553115
119210,-30.444206,455,,,
119665,-26.937478,455,,,
120120,-27.689482,455,,,
120575,-10.873144,455,0.8995251655578613,7.104373544454575,1.8071933165192604
121030,-21.620547,455,,,
121485,-10.862086,455,,,
121940,-20.215363,455,,,
122395,-33.832805,455,,,
122850,-25.375765,455,0.8959841132164001,7.13222850561142,1.6048412322998047
123305,-20.896712,455,,,
123760,-23.682032,455,,,
124215,-29.162745,455,,,
124670,-29.030887,455,0.8751107454299927,7.150710487365723,2.0305798560380937
125125,-29.317348,455,,,
125580,-34.532314,455,,,
126035,-22.079652,455,,,
126490,-27.704729,455,,,
126945,-23.701147,455,0.8989052772521973,7.163014370203018,2.001564234495163
127400,-17.72314,455,,,
127855,-16.098288,455,,,
128310,-23.485733,455,,,
128765,-33.798162,455,0.8988572359085083,7.176227021217346,1.7513025507330895
129220,-36.612843,455,,,
129675,-19.522491,455,,,
130130,-31.943803,455,,,
130585,-20.942787,455,,,
131040,-20.650015,455,0.9023263454437256,7.18997842669487,1.8449434340000153
131495,-32.546124,455,,,
131950,-28.551752,455,,,
132405,-24.823538,455,,,
132860,-25.386768,455,0.9016073942184448,7.196094185113907,1.822961963713169
133315,-19.514128,455,,,
133770,-33.318888,455,,,
