timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-33.490381,455,,,
910,-31.762648,455,,,
1365,-46.161023,455,,,
1820,-32.767281,455,,,
2275,-41.012192,455,,,
2730,-38.071542,455,,,
3185,-42.086836,455,,,
3640,-36.269313,455,,,
4095,-36.266558,455,-0.010807275772094727,6.38420085310936,2.8883347630500795
4550,-44.853328,455,,,
5005,-59.95671,455,,,
5460,-39.257518,455,,,
5915,-47.861262,455,0.36547428369522095,6.389229625463486,2.8189692378044127
6370,-46.183561,455,,,
6825,-31.550304,455,,,
7280,-36.223931,455,,,
7735,-42.08352,455,,,
8190,-39.528312,455,0.5932315587997437,6.424202919006348,2.51962471306324
8645,-51.321519,455,,,
9100,-45.88793,455,,,
9555,-52.159816,455,,,
10010,-41.788771,455,0.6179529428482056,6.459268057346344,2.5558388233184814
10465,-58.706541,455,,,
10920,-44.720722,455,,,
11375,-42.94819,455,,,
11830,-40.767285,455,,,
12285,-42.767461,455,0.7106306552886963,6.458948940038681,2.3695568263530733
12740,-50.278836,455,,,
13195,-51.884075,455,,,
13650,-35.190707,455,,,
14105,-50.354202,455,0.7656638026237488,6.47077260017395,1.8220545783638955
14560,-41.734274,455,,,
15015,-37.542201,455,,,
15470,-43.390509,455,,,
15925,-53.757692,455,,,
16380,-38.399012,455,0.7440537214279175,6.497670960426331,2.1751317918300628
16835,-34.795508,455,,,
17290,-40.277687,455,,,
17745,-42.398551,455,,,
18200,-40.818547,455,0.7937331795692444,6.526411253213882,1.857437251508236
18655,-45.685409,455,,,
19110,-39.871412,455,,,
19565,-38.595837,455,,,
20020,-47.513201,455,,,
20475,-46.192458,455,0.8020527362823486,6.532635450363159,1.6915884345769883
20930,-46.450138,455,,,
21385,-44.999178,455,,,
21840,-51.858565,455,,,
22295,-40.058156,455,0.8075162172317505,6.551391476392746,1.553421314060688
22750,-39.842239,455,,,
23205,-48.082407,455,,,
23660,-30.949593,455,,,
24115,-38.237646,455,,,
24570,-45.449087,455,0.7936524748802185,6.574891304969787,1.4375796362757682
25025,-41.547374,455,,,
25480,-45.590919,455,,,
25935,-46.928344,455,,,
26390,-43.091742,455,0.798546314239502,6.586837935447693,1.6839933186769485
26845,-44.14457,455,,,
27300,-46.079645,455,,,
27755,-42.926887,455,,,
28210,-41.598764,455,,,
28665,-36.663323,455,0.8236731290817261,6.5904011726379395,1.514764016866684
29120,-39.459675,455,,,
29575,-45.497653,455,,,
30030,-38.363291,455,,,
30485,-53.331165,455,0.8490907549858093,6.600161254405975,1.2748448006808757
30940,-42.643129,455,,,
31395,-42.426753,455,,,
31850,-43.778436,455,,,
32305,-32.419374,455,,,
32760,-36.797874,455,0.8091732263565063,6.616548985242844,1.7162984997034072
33215,-45.844737,455,,,
33670,-39.457555,455,,,
34125,-22.288493,455,,,
34580,-40.842598,455,0.845911979675293,6.630901950597763,1.557648243010044
35035,-36.844407,455,,,
35490,-45.78315,455,,,
35945,-35.689077,455,,,
36400,-26.8616,455,,,
36855,-37.061679,455,0.8131917715072632,6.649555230140686,1.7321366757154464
37310,-31.137133,455,,,
37765,-41.880544,455,,,
38220,-43.280884,455,,,
38675,-34.837151,455,0.8495389819145203,6.665438741445541,1.4577224984765054
39130,-30.020887,455,,,
39585,-34.430848,455,,,
40040,-48.700467,455,,,
40495,-43.956186,455,,,
40950,-38.732818,455,0.8457919955253601,6.699865931272507,1.638772578537464
41405,-29.518489,455,,,
41860,-45.925117,455,,,
42315,-32.942069,455,,,
42770,-42.750614,455,0.8668713569641113,6.719831323623657,1.438168503344059
43225,-29.85782,455,,,
43680,-45.392738,455,,,
44135,-40.754612,455,,,
44590,-27.410799,455,,,
45045,-42.321568,455,0.8583494424819946,6.736877459287643,1.3786111310124398
45500,-33.712972,455,,,
45955,-47.412947,455,,,
46410,-39.584539,455,,,
46865,-37.697367,455,0.8466796875,6.75299454331398,1.7423929154872895
47320,-38.673002,455,,,
47775,-32.081961,455,,,
48230,-40.557108,455,,,
48685,-41.257945,455,,,
49140,-34.892864,455,0.8297891616821289,6.768123382329941,1.3759810000658035
49595,-39.154335,455,,,
50050,-26.960824,455,,,
50505,-60.77334,455,,,
