timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,26.033197,455,,,
910,25.168038,455,,,
1365,24.039165,455,,,
1820,25.371779,455,,,
2275,25.1051,455,,,
2730,27.647774,455,,,
3185,26.112016,455,,,
3640,25.367608,455,,,
4095,27.176005,455,0.00030881166458129883,6.39982504248619,0.8770268432796001
4550,25.716394,455,,,
5005,26.851256,455,,,
5460,26.580601,455,,,
5915,25.505529,455,0.18950212001800537,6.412997007369995,0.7526978828012943
6370,26.35692,455,,,
6825,25.712441,455,,,
7280,25.261175,455,,,
7735,24.607693,455,,,
8190,24.734309,455,0.3940943479537964,6.444404715299607,0.683289423212409
8645,27.122072,455,,,
9100,24.570158,455,,,
9555,25.521952,455,,,
10010,26.638373,455,0.6079559326171875,6.469887167215347,0.5260655302554369
10465,27.457822,455,,,
10920,26.192726,455,,,
11375,25.565117,455,,,
11830,28.799802,455,,,
12285,25.49218,455,0.7228372693061829,6.464940631389618,0.49071576334536077
12740,26.481468,455,,,
13195,25.686702,455,,,
13650,26.411127,455,,,
14105,27.887408,455,0.8008352518081665,6.46590086221695,0.42852572314441206
14560,25.047048,455,,,
15015,28.460851,455,,,
15470,25.70564,455,,,
15925,25.678879,455,,,
16380,26.371662,455,0.8562302589416504,6.485809063911438,0.40996692664921286
16835,26.495746,455,,,
17290,25.721917,455,,,
17745,25.869618,455,,,
18200,27.761573,455,0.8772952556610107,6.498055619001389,0.35713093522936107
18655,27.247259,455,,,
19110,25.439446,455,,,
19565,26.278744,455,,,
20020,25.421336,455,,,
20475,28.229747,455,0.8928810954093933,6.497874188423157,0.38396928422153
20930,26.434186,455,,,
21385,25.185225,455,,,
21840,26.016968,455,,,
22295,28.167611,455,0.9155111312866211,6.495589530467987,0.3059284295886755
22750,26.049681,455,,,
23205,25.769638,455,,,
23660,24.500845,455,,,
24115,23.894573,455,,,
24570,26.070251,455,0.9345307350158691,6.498510837554932,0.3313073029741645
25025,25.487847,455,,,
25480,26.745421,455,,,
25935,25.855209,455,,,
26390,25.531048,455,0.9420185089111328,6.497469419240952,0.3399061499163508
26845,29.896006,455,,,
27300,27.878406,455,,,
27755,28.939294,455,,,
28210,26.907682,455,,,
28665,27.56365,455,0.940027117729187,6.497639763355255,0.34213600736111405
29120,26.366185,455,,,
29575,29.428431,455,,,
30030,27.486962,455,,,
30485,25.643222,455,0.9394803047180176,6.497030037641525,0.3083649303764105
30940,25.152802,455,,,
31395,25.765724,455,,,
31850,25.522391,455,,,
32305,27.579648,455,,,
32760,29.031234,455,0.9340343475341797,6.496425050497055,0.24834821857511996
33215,28.344911,455,,,
33670,26.064342,455,,,
34125,28.582025,455,,,
34580,26.525314,455,0.9520396590232849,6.483045572042466,0.26492729913443325
35035,26.744422,455,,,
35490,27.394086,455,,,
35945,25.94201,455,,,
36400,27.214315,455,,,
36855,27.719925,455,0.9517853260040283,6.471869695186615,0.30346376169472933
37310,27.895291,455,,,
37765,28.185721,455,,,
38220,27.767388,455,,,
38675,26.363306,455,0.9524433016777039,6.473105531930924,0.2968895172700286
39130,28.237497,455,,,
39585,30.109675,455,,,
40040,29.1011,455,,,
40495,26.992386,455,,,
40950,27.472315,455,0.9491801857948303,6.472628581523895,0.314125463180244
41405,27.83322,455,,,
41860,29.033086,455,,,
42315,27.367725,455,,,
42770,28.032001,455,0.9438281059265137,6.473916381597519,0.26122092064470054
43225,27.989483,455,,,
43680,28.635487,455,,,
44135,28.957331,455,,,
44590,27.841122,455,,,
45045,29.701271,455,0.9562440514564514,6.480379116535187,0.22363211289048196
45500,30.099956,455,,,
45955,29.527077,455,,,
46410,28.404151,455,,,
46865,29.198914,455,0.9605996608734131,6.482621818780899,0.5006538644433022
47320,29.199494,455,,,
47775,31.031056,455,,,
48230,28.051404,455,,,
48685,29.954719,455,,,
49140,29.508701,455,0.9605401754379272,6.487538665533066,0.4497184012085199
49595,28.808164,455,,,
50050,29.921485,455,,,
50505,28.771421,455,,,
50960,29.905718,455,0.9551621675491333,6.494165539741516,0.4584242423996329
51415,30.442707,455,,,
51870,27.496492,455,,,
52325,26.840978,455,,,
52780,31.21946,455,,,
53235,29.429509,455,0.9572884440422058,6.490015316009521,0.44717941880226136
53690,32.365196,455,,,
54145,31.710496,455,,,
54600,30.195006,455,,,
55055,29.129852,455,0.9553619027137756,6.483953440189362,0.4422595029696822
55510,30.900718,455,,,
55965,31.299317,455,,,
56420,30.364282,455,,,
56875,28.955521,455,,,
57330,28.997033,455,0.9693460464477539,6.480519729852676,0.3026384059339762
57785,29.928719,455,,,
58240,30.292575,455,,,
58695,30.338075,455,,,
59150,28.340764,455,0.9629542231559753,6.475299263000489,0.17755587976425885
59605,30.10451,455,,,
60060,28.780708,455,,,
60515,31.685254,455,,,
60970,29.13436,455,,,
61425,31.438687,455,0.967598557472229,6.468514448404312,0.2120035545900464
61880,31.158221,455,,,
62335,29.399613,455,,,
62790,28.575792,455,,,
63245,30.762434,455,0.9671090245246887,6.4748420238494875,0.2103478154167533
63700,30.348729,455,,,
64155,30.296994,455,,,
64610,31.578692,455,,,
65065,30.175341,455,,,
65520,28.985335,455,0.9684597253799438,6.494231951236725,0.19281740095466376
65975,30.257585,455,,,
66430,32.469652,455,,,
66885,29.237953,455,,,
67340,30.268594,455,0.96974778175354,6.516681385040283,0.17216167291626333
67795,31.098511,455,,,
68250,28.155419,455,,,
68705,30.922379,455,,,
69160,31.807357,455,,,
69615,31.931567,455,0.9737077355384827,6.5177959442138675,0.19243278093636035
70070,29.50789,455,,,
70525,29.187131,455,,,
70980,31.95257,455,,,
71435,30.334857,455,0.9718915820121765,6.514024317264557,0.19344905503094195
71890,31.012731,455,,,
72345,31.108645,455,,,
72800,30.324992,455,,,
73255,31.165937,455,,,
73710,30.948866,455,0.9717831611633301,6.504453718662262,0.16547351330518723
74165,29.093053,455,,,
74620,31.182055,455,,,
75075,29.724213,455,,,
75530,33.559784,455,0.9768713712692261,6.497806918621063,0.17316802572458984
75985,31.408515,455,,,
76440,28.501821,455,,,
76895,31.752524,455,,,
77350,29.717154,455,,,
77805,30.637191,455,0.9755883812904358,6.486907356977463,0.20182518251240253
78260,31.848939,455,,,
78715,30.543184,455,,,
79170,30.309864,455,,,
79625,27.543503,455,0.9758118391036987,6.46996556520462,0.14799040956422688
80080,32.227035,455,,,
80535,29.469127,455,,,
80990,28.640463,455,,,
81445,29.586526,455,,,
81900,29.545416,455,0.9767911434173584,6.483587908744812,0.16199988266453147
82355,31.030621,455,,,
82810,32.218956,455,,,
83265,34.415924,455,,,
83720,30.395879,455,0.9779672026634216,6.504462862014771,0.2474211435765028
84175,31.554222,455,,,
84630,31.172926,455,,,
85085,30.114511,455,,,
85540,30.856596,455,,,
85995,31.901003,455,0.9741467833518982,6.514071744680405,0.292805496416986
86450,30.088123,455,,,
86905,29.956051,455,,,
87360,30.364145,455,,,
87815,28.277844,455,0.9771559238433838,6.516953498125076,0.26914111860096457
88270,28.883963,455,,,
88725,33.084399,455,,,
89180,30.093777,455,,,
89635,32.855246,455,,,
90090,30.520931,455,0.9771904349327087,6.526477646827698,0.27634506905451417
90545,32.684137,455,,,
91000,32.621121,455,,,
91455,32.175512,455,,,
91910,32.144696,455,0.972865641117096,6.533427840471267,0.27188522638753054
92365,32.561265,455,,,
92820,30.592724,455,,,
93275,31.006856,455,,,
93730,32.941616,455,,,
94185,31.891053,455,0.9778696298599243,6.52555006146431,0.2666471741162241
94640,33.27806,455,,,
95095,33.975521,455,,,
95550,32.65761,455,,,
96005,31.204593,455,0.9755994081497192,6.524089843034744,0.2594107032753527
96460,34.773779,455,,,
96915,32.531435,455,,,
97370,34.911669,455,,,
97825,29.566384,455,,,
98280,34.24993,455,0.9761959910392761,6.531386041641236,0.27721187882125375
98735,32.340126,455,,,
99190,32.4376,455,,,
99645,33.165283,455,,,
100100,32.241637,455,0.9756033420562744,6.5440837919712065,0.2610157928429544
100555,33.122316,455,,,
101010,32.472744,455,,,
101465,34.434012,455,,,
101920,34.820206,455,,,
102375,36.302638,455,0.9786500334739685,6.5436148881912235,0.2689289038069546
102830,33.680267,455,,,
103285,33.479921,455,,,
103740,32.107025,455,,,
104195,34.037785,455,0.9753903150558472,6.529604256153107,0.26153287263587116
104650,34.362235,455,,,
105105,32.476806,455,,,
105560,33.800179,455,,,
106015,35.091343,455,,,
106470,31.658933,455,0.9795147180557251,6.543793416023254,0.27442648708820344
106925,33.702755,455,,,
107380,36.194574,455,,,
107835,30.607664,455,,,
108290,34.351341,455,0.9783274531364441,6.566774082183838,0.266408004052937
108745,34.503059,455,,,
109200,34.489295,455,,,
109655,34.230805,455,,,
110110,33.793731,455,,,
110565,32.473494,455,0.980675458908081,6.580213189125061,0.2760531989857554
111020,36.059394,455,,,
111475,35.512381,455,,,
111930,34.548831,455,,,
112385,36.103115,455,0.981584906578064,6.5806161761283875,0.2471023083664477
112840,31.980104,455,,,
113295,36.919041,455,,,
113750,36.492405,455,,,
114205,34.310606,455,,,
114660,36.419716,455,0.9775130748748779,6.579800498485565,0.27897697519510983
115115,33.459708,455,,,
115570,35.231732,455,,,
116025,33.253768,455,,,
116480,34.026647,455,0.9797453284263611,6.590796434879303,0.26608845703303813
116935,35.397763,455,,,
117390,33.920459,455,,,
117845,35.068862,455,,,
118300,35.427394,455,,,
118755,35.237107,455,0.9836495518684387,6.599709987640381,0.2817071104422212
119210,37.041353,455,,,
119665,35.954789,455,,,
120120,37.525833,455,,,
120575,36.331752,455,0.9837266802787781,6.603756678104401,0.20930798202753068
121030,34.628113,455,,,
121485,34.460388,455,,,
121940,35.270533,455,,,
122395,36.138928,455,,,
122850,35.452905,455,0.9813485741615295,6.6131894290447235,0.1945550622418523
123305,33.677989,455,,,
123760,35.04164,455,,,
124215,34.070612,455,,,
124670,35.879653,455,0.9818571209907532,6.620390862226486,0.1824001155793667
125125,36.752333,455,,,
125580,36.631088,455,,,
126035,37.439892,455,,,
126490,36.586473,455,,,
126945,35.808757,455,0.9831599593162537,6.622650671005249,0.18267911579459906
127400,35.122231,455,,,
127855,36.124047,455,,,
128310,36.119367,455,,,
128765,37.502961,455,0.9843335151672363,6.619604372978211,0.15199582362547517
129220,37.531158,455,,,
129675,32.642939,455,,,
130130,35.348185,455,,,
130585,38.044954,455,,,
131040,35.635292,455,0.9852266907691956,6.62112746834755,0.1944438824430108
131495,39.532868,455,,,
131950,35.540864,455,,,
132405,35.760971,455,,,
132860,36.100162,455,0.9851130247116089,6.630933505296707,0.16438682302832602
133315,35.984681,455,,,
133770,35.965027,455,,,
134225,38.78192,455,,,
134680,34.791991,455,,,
135135,37.301998,455,0.9847479462623596,6.632116484642029,0.16014040280133485
135590,37.219379,455,,,
136045,36.765368,455,,,
136500,39.731329,455,,,
136955,37.222219,455,0.9876188039779663,6.634035915136337,0.15906209433451296
137410,36.709752,455,,,
137865,39.159672,455,,,
138320,38.21664,455,,,
138775,39.004426,455,,,
139230,36.608725,455,0.9870679974555969,6.6499731063842775,0.18565103299915792
139685,36.74254,455,,,
140140,34.026282,455,,,
140595,38.255378,455,,,
141050,38.601,455,0.9852645397186279,6.665785497426986,0.18973604692146182
141505,37.288268,455,,,
141960,38.172062,455,,,
142415,35.9508,455,,,
142870,34.000465,455,,,
143325,38.591461,455,0.9870318174362183,6.654424607753754,0.1404834859073162
143780,36.671401,455,,,
144235,39.477361,455,,,
144690,38.499683,455,,,
145145,39.252191,455,0.9885081648826599,6.651885479688644,0.13672718508169054
145600,38.594725,455,,,
146055,40.681409,455,,,
146510,39.124983,455,,,
146965,39.067114,455,,,
147420,40.186766,455,0.9877732396125793,6.656440794467926,0.13861732771620155
147875,37.308989,455,,,
148330,38.54756,455,,,
148785,39.042942,455,,,
149240,40.101307,455,0.9871318340301514,6.6474914908409115,0.22300050649791955
149695,42.6338,455,,,
150150,39.025227,455,,,
150605,38.327057,455,,,
151060,42.538055,455,,,
151515,38.907896,455,0.9858264327049255,6.644656068086624,0.3023735465481877
151970,37.576373,455,,,
152425,38.851899,455,,,
152880,39.243172,455,,,
153335,39.652402,455,0.9871388673782349,6.640938782691956,0.18822364080697299
153790,40.276251,455,,,
154245,39.529675,455,,,
154700,39.012541,455,,,
155155,40.215379,455,,,
155610,37.911563,455,0.9867331981658936,6.657503932714462,0.17929521445184946
156065,42.177364,455,,,
156520,40.863459,455,,,
156975,39.517823,455,,,
157430,41.73574,455,0.9896973967552185,6.676793128252029,0.1616308090277016
157885,41.721957,455,,,
158340,40.125247,455,,,
158795,42.247298,455,,,
159250,41.789605,455,,,
159705,39.242645,455,0.9873238205909729,6.67635480761528,0.24696290977299212
160160,41.123377,455,,,
160615,40.064509,455,,,
161070,40.035692,455,,,
161525,41.845561,455,0.9896239042282104,6.6652029812335964,0.19703156808391215
161980,41.537143,455,,,
162435,40.647677,455,,,
162890,38.916076,455,,,
163345,42.360532,455,,,
163800,38.777706,455,0.9894295334815979,6.661276978254318,0.18748240359127522
164255,38.248122,455,,,
164710,41.550619,455,,,
165165,40.061127,455,,,
165620,42.470747,455,0.9893327951431274,6.676052647829056,0.3202001669444144
166075,40.323228,455,,,
166530,41.310192,455,,,
166985,39.843328,455,,,
167440,42.802303,455,,,
167895,40.519927,455,0.9901918768882751,6.698457330465317,0.14326631017029284
168350,43.521227,455,,,
168805,41.687515,455,,,
169260,41.267377,455,,,
169715,40.525846,455,0.9917525053024292,6.732798612117767,0.14847017005085944
170170,40.769284,455,,,
170625,42.700116,455,,,
171080,41.753265,455,,,
171535,43.579888,455,,,
171990,41.146966,455,0.9912112951278687,6.741013288497925,0.17971977908164263
172445,41.016366,455,,,
172900,41.585128,455,,,
173355,39.141312,455,,,
173810,40.144437,455,0.9925136566162109,6.740244358778,0.1884737499989569
174265,42.521581,455,,,
174720,40.372102,455,,,
175175,42.341896,455,,,
175630,39.536302,455,,,
176085,42.10059,455,0.9910886287689209,6.748913908004761,0.19611841505393385
176540,38.56639,455,,,
176995,41.021368,455,,,
