timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,22.534284,455,,,
910,24.445881,455,,,
1365,24.00798,455,,,
1820,23.962525,455,,,
2275,23.914822,455,,,
2730,22.824922,455,,,
3185,22.980743,455,,,
3640,24.94535,455,,,
4095,23.215556,455,0.010113656520843506,6.390445333719254,0.5639818880707026
4550,26.352742,455,,,
5005,24.067795,455,,,
5460,23.259677,455,,,
5915,24.15947,455,0.17802226543426514,6.404902821779251,0.6268133834004402
6370,24.643856,455,,,
6825,23.687977,455,,,
7280,25.976753,455,,,
7735,25.132852,455,,,
8190,23.453117,455,0.4603145718574524,6.413109546899795,0.45373316407203673
8645,25.423088,455,,,
9100,26.422249,455,,,
9555,25.144766,455,,,
10010,26.424282,455,0.6740676164627075,6.402853268384933,0.4393456280231476
10465,22.734602,455,,,
10920,23.707371,455,,,
11375,25.060117,455,,,
11830,23.267948,455,,,
12285,24.669186,455,0.7879565954208374,6.3962237477302555,0.3405205816030502
12740,23.823239,455,,,
13195,25.232118,455,,,
13650,24.910982,455,,,
14105,23.428909,455,0.8748205304145813,6.401815718412399,0.3535503836348653
14560,25.164292,455,,,
15015,22.332253,455,,,
15470,26.277118,455,,,
15925,24.242914,455,,,
16380,24.488079,455,0.8897839188575745,6.408124166727066,0.25331677217036486
16835,25.904632,455,,,
17290,24.596474,455,,,
17745,25.622582,455,,,
18200,26.668698,455,0.9174708127975464,6.411121904850006,0.253606522269547
18655,27.517496,455,,,
19110,25.912498,455,,,
19565,27.058199,455,,,
20020,23.664461,455,,,
20475,25.548965,455,0.932044506072998,6.415051692724228,0.3134256821125746
20930,27.411582,455,,,
21385,25.053696,455,,,
21840,24.987655,455,,,
22295,25.811104,455,0.9375779628753662,6.4152641773223875,0.3251204079017043
22750,24.819588,455,,,
23205,26.646269,455,,,
23660,25.442138,455,,,
24115,25.603483,455,,,
24570,22.530228,455,0.9419766068458557,6.410423278808594,0.2671025628224015
25025,25.584918,455,,,
25480,28.743964,455,,,
25935,27.036134,455,,,
26390,25.846291,455,0.9398514628410339,6.406765180826187,0.3145424472168088
26845,26.88537,455,,,
27300,28.06073,455,,,
27755,25.721887,455,,,
28210,26.633789,455,,,
28665,24.772079,455,0.947373628616333,6.417632645368576,0.18137520793825387
29120,24.37066,455,,,
29575,26.931955,455,,,
30030,26.360912,455,,,
30485,25.252295,455,0.9523653388023376,6.432926487922669,0.24520691353827714
30940,25.949922,455,,,
31395,26.492181,455,,,
31850,25.113819,455,,,
32305,23.724217,455,,,
32760,26.291053,455,0.9516245722770691,6.431124663352966,0.1793148359283805
33215,27.041851,455,,,
33670,24.558473,455,,,
34125,25.545818,455,,,
34580,25.795706,455,0.9550697803497314,6.427279072999954,0.20001809652894736
35035,25.028845,455,,,
35490,25.707009,455,,,
35945,27.199706,455,,,
36400,24.685354,455,,,
36855,25.281521,455,0.958725094795227,6.428463804721832,0.14957332015037536
37310,28.370273,455,,,
37765,26.765103,455,,,
38220,25.594686,455,,,
38675,27.247211,455,0.9579547047615051,6.419940799474716,0.19211719408631325
39130,23.953694,455,,,
39585,23.062067,455,,,
40040,24.785316,455,,,
40495,26.246607,455,,,
40950,24.860576,455,0.9606360197067261,6.422496753931045,0.15776717448607086
41405,24.55717,455,,,
41860,25.732988,455,,,
42315,24.452475,455,,,
42770,27.266142,455,0.9658134579658508,6.437941062450409,0.18050543377175926
43225,30.449527,455,,,
43680,26.627515,455,,,
44135,27.512354,455,,,
44590,26.976246,455,,,
45045,25.065929,455,0.9679075479507446,6.440303367376328,0.19924349775537847
45500,27.499713,455,,,
45955,26.843579,455,,,
46410,26.037923,455,,,
46865,26.608134,455,0.967193603515625,6.432380759716034,0.20607359763234853
47320,27.892452,455,,,
47775,25.080205,455,,,
48230,25.992736,455,,,
48685,25.43521,455,,,
49140,25.39751,455,0.9661628007888794,6.451460695266723,0.16448895893990995
49595,25.982178,455,,,
50050,25.874136,455,,,
50505,26.935289,455,,,
50960,26.519767,455,0.9720058441162109,6.470783823728562,0.16775538828223943
51415,24.853354,455,,,
51870,26.509495,455,,,
52325,28.134277,455,,,
52780,27.701648,455,,,
53235,25.164764,455,0.9670833349227905,6.473743295669555,0.16440940545871854
53690,30.254459,455,,,
54145,28.729514,455,,,
54600,26.538412,455,,,
55055,28.906247,455,0.9712799787521362,6.472540855407715,0.1768849345855415
55510,30.212042,455,,,
55965,29.33825,455,,,
56420,30.739631,455,,,
56875,27.16131,455,,,
57330,28.562268,455,0.9659441113471985,6.474239808320999,0.16188827930018307
57785,26.067233,455,,,
58240,26.856027,455,,,
58695,28.240723,455,,,
59150,27.651471,455,0.9680586457252502,6.489255487918854,0.18704191204160453
59605,30.337477,455,,,
60060,30.981935,455,,,
60515,27.112304,455,,,
60970,25.543214,455,,,
61425,27.818195,455,0.9715999960899353,6.490284848213196,0.1294606091454625
61880,28.121481,455,,,
62335,29.895635,455,,,
62790,24.712284,455,,,
63245,28.562391,455,0.9713423252105713,6.497658735513687,0.15784276258200408
63700,28.625236,455,,,
64155,28.591342,455,,,
64610,29.803051,455,,,
65065,27.311557,455,,,
65520,25.932456,455,0.9725600481033325,6.486112725734711,0.12217880776152015
65975,27.117829,455,,,
66430,26.113361,455,,,
66885,28.861839,455,,,
67340,29.518968,455,0.974914014339447,6.4611709177494046,0.19514791937544942
67795,28.90165,455,,,
68250,27.949681,455,,,
68705,30.091569,455,,,
69160,28.92172,455,,,
69615,26.699696,455,0.9760589599609375,6.459663385152817,0.14096248261630534
70070,27.796447,455,,,
70525,25.824686,455,,,
70980,27.144516,455,,,
71435,27.79855,455,0.9768751859664917,6.4567076683044435,0.17620998043566943
71890,26.108153,455,,,
72345,26.184153,455,,,
72800,26.308088,455,,,
73255,28.268614,455,,,
73710,25.87653,455,0.9768344759941101,6.45227142572403,0.12015619371086358
74165,27.719614,455,,,
74620,27.158879,455,,,
75075,25.854542,455,,,
75530,27.02811,455,0.9780938625335693,6.465818071365357,0.13164739366620778
75985,26.557881,455,,,
76440,28.769612,455,,,
76895,27.507158,455,,,
77350,29.277318,455,,,
77805,28.580983,455,0.9784302711486816,6.473423248529434,0.13187964307144284
78260,27.550198,455,,,
78715,28.349045,455,,,
79170,28.344798,455,,,
79625,29.199102,455,0.9797556400299072,6.496341705322266,0.10992746641859412
80080,29.942379,455,,,
80535,29.560086,455,,,
80990,28.337849,455,,,
81445,27.96553,455,,,
81900,29.535814,455,0.9767623543739319,6.511845183372498,0.09702015053480864
82355,28.628388,455,,,
82810,27.596873,455,,,
83265,30.568784,455,,,
83720,28.460678,455,0.9787620902061462,6.525718247890472,0.14113031141459942
84175,29.492469,455,,,
84630,28.319952,455,,,
85085,29.512171,455,,,
85540,30.356447,455,,,
85995,29.925686,455,0.9770330786705017,6.545292562246322,0.12298196330666541
86450,28.372919,455,,,
86905,28.906703,455,,,
87360,28.856874,455,,,
87815,29.87782,455,0.9819510579109192,6.55822525024414,0.10989178782328964
88270,29.142965,455,,,
88725,30.162578,455,,,
89180,30.852732,455,,,
89635,28.374756,455,,,
90090,30.938406,455,0.9822927713394165,6.564767855405807,0.10633643772453069
90545,30.569054,455,,,
91000,28.746281,455,,,
91455,29.462417,455,,,
