timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,19.870942,455,,,
910,19.927161,455,,,
1365,19.521446,455,,,
1820,19.917421,455,,,
2275,21.249088,455,,,
2730,21.184314,455,,,
3185,20.44052,455,,,
3640,20.012925,455,,,
4095,20.811062,455,-0.010445117950439453,6.377765733003616,0.1266792854294181
4550,20.22842,455,,,
5005,20.506674,455,,,
5460,20.213883,455,,,
5915,20.396173,455,0.12988895177841187,6.380684340000153,0.17104419181123376
6370,20.340219,455,,,
6825,20.76789,455,,,
7280,19.595236,455,,,
7735,20.436123,455,,,
8190,19.408055,455,0.27851158380508423,6.401735025644302,0.159939765650779
8645,20.13372,455,,,
9100,20.114165,455,,,
9555,20.312274,455,,,
10010,21.216989,455,0.4222172498703003,6.423735189437866,0.1754416350275278
10465,21.838177,455,,,
10920,21.029185,455,,,
11375,21.470351,455,,,
11830,21.091734,455,,,
12285,21.125263,455,0.6130459904670715,6.418545603752136,0.13750837529078125
12740,21.452667,455,,,
13195,20.941618,455,,,
13650,21.225867,455,,,
14105,21.569693,455,0.7383725643157959,6.393581533432007,0.12445602482184767
14560,19.841378,455,,,
15015,21.452607,455,,,
15470,21.666066,455,,,
15925,21.553151,455,,,
16380,21.837892,455,0.8444672226905823,6.366721576452255,0.08926563067361712
16835,21.243605,455,,,
17290,21.80821,455,,,
17745,21.11755,455,,,
18200,20.345451,455,0.9124712944030762,6.35346177816391,0.0734469659626484
18655,21.672103,455,,,
19110,21.389721,455,,,
19565,21.450655,455,,,
20020,21.480109,455,,,
20475,21.23693,455,0.9266195297241211,6.363256800174713,0.0692298783455044
20930,21.961478,455,,,
21385,21.861849,455,,,
21840,22.442722,455,,,
22295,21.376372,455,0.9517979025840759,6.359248328208923,0.05861153020523489
22750,20.578912,455,,,
23205,21.499601,455,,,
23660,21.711488,455,,,
24115,22.163017,455,,,
24570,21.514103,455,0.9569674730300903,6.349556106328964,0.05486568082123995
25025,22.78896,455,,,
25480,22.362468,455,,,
25935,21.162128,455,,,
26390,21.029213,455,0.9633685946464539,6.340626621246338,0.05639851251617074
26845,21.229358,455,,,
27300,21.087399,455,,,
27755,21.975886,455,,,
28210,21.337525,455,,,
28665,22.788172,455,0.9648120999336243,6.356400281190872,0.055539521388709545
29120,20.862971,455,,,
29575,22.417077,455,,,
30030,21.122071,455,,,
30485,21.666197,455,0.9721876978874207,6.36832247376442,0.05300056170672178
30940,21.563788,455,,,
31395,21.702991,455,,,
31850,22.632456,455,,,
32305,21.863926,455,,,
32760,21.709024,455,0.971036970615387,6.3744155943393705,0.0653555381577462
33215,22.011012,455,,,
33670,20.872779,455,,,
34125,20.380348,455,,,
34580,21.748991,455,0.975032389163971,6.397390866279602,0.05121167544275522
35035,21.291159,455,,,
35490,22.500909,455,,,
35945,22.41351,455,,,
36400,22.070045,455,,,
36855,21.453865,455,0.9710756540298462,6.419043332338333,0.05730247152969241
37310,21.980923,455,,,
37765,22.980211,455,,,
38220,22.108108,455,,,
38675,21.566844,455,0.9777672290802002,6.422661226987839,0.05131198070012033
39130,22.051778,455,,,
39585,22.488435,455,,,
40040,22.137429,455,,,
40495,21.849285,455,,,
40950,21.625174,455,0.9745116829872131,6.4182730376720425,0.051582370046526195
41405,23.189963,455,,,
41860,22.492859,455,,,
42315,22.428184,455,,,
42770,22.653026,455,0.9742798805236816,6.419149500131607,0.06395825413055718
43225,23.20128,455,,,
43680,22.822599,455,,,
44135,22.261466,455,,,
44590,21.892597,455,,,
45045,22.74774,455,0.9737508296966553,6.425064015388489,0.06158669991418719
45500,22.682235,455,,,
45955,22.092061,455,,,
46410,23.572459,455,,,
46865,22.510746,455,0.9753032922744751,6.418856203556061,0.05698764082044363
47320,23.208048,455,,,
47775,22.441356,455,,,
48230,22.972204,455,,,
48685,22.403825,455,,,
49140,23.603239,455,0.9741343855857849,6.398084682226181,0.05678923144005239
49595,23.173708,455,,,
50050,23.410384,455,,,
50505,22.520097,455,,,
50960,23.491485,455,0.9780039191246033,6.3940076410770414,0.056891901418566704
51415,22.181972,455,,,
51870,24.269205,455,,,
52325,22.614285,455,,,
52780,22.916715,455,,,
53235,22.930453,455,0.9754685163497925,6.4272304475307465,0.056986782560124995
53690,22.820178,455,,,
54145,23.011619,455,,,
54600,23.433285,455,,,
55055,23.281767,455,0.980155885219574,6.445262748003006,0.054584561567753556
55510,22.460293,455,,,
55965,22.796702,455,,,
56420,23.488345,455,,,
56875,23.901755,455,,,
57330,23.380033,455,0.9768694639205933,6.462274378538131,0.05485175484791398
57785,22.383066,455,,,
58240,21.898994,455,,,
58695,22.629161,455,,,
59150,22.955579,455,0.9818253517150879,6.493809556961059,0.05214341334067285
59605,23.945044,455,,,
60060,23.343489,455,,,
60515,22.692997,455,,,
60970,22.687044,455,,,
61425,23.132325,455,0.9792894124984741,6.520988416671753,0.05343694500625133
61880,23.872434,455,,,
62335,23.394398,455,,,
62790,22.146853,455,,,
63245,23.387289,455,0.982030987739563,6.534487980604172,0.05866344859823584
63700,22.853417,455,,,
64155,23.748074,455,,,
64610,23.133612,455,,,
65065,22.754078,455,,,
65520,23.271093,455,0.9795277714729309,6.554470813274383,0.04628032920882106
65975,22.441766,455,,,
66430,23.676145,455,,,
66885,22.827515,455,,,
67340,24.0764,455,0.9809380173683167,6.565398615598679,0.058706553746014835
67795,23.708022,455,,,
68250,23.199538,455,,,
68705,23.152876,455,,,
69160,24.142703,455,,,
69615,24.447514,455,0.9798892140388489,6.5540518283844,0.052838157722726466
70070,22.757735,455,,,
70525,23.600824,455,,,
70980,23.351149,455,,,
71435,23.711494,455,0.9812357425689697,6.555777448415756,0.05211773863993585
71890,23.962304,455,,,
72345,25.113996,455,,,
72800,24.134434,455,,,
73255,24.057423,455,,,
73710,23.853137,455,0.9771580696105957,6.561515212059021,0.04901827555149794
74165,23.857991,455,,,
74620,23.018268,455,,,
75075,23.788758,455,,,
75530,23.183626,455,0.9837225079536438,6.5606741309165955,0.0455020840279758
75985,24.032938,455,,,
76440,23.185643,455,,,
76895,23.772516,455,,,
77350,23.455684,455,,,
77805,23.439252,455,0.9815666079521179,6.567292302846909,0.05425976677797735
78260,24.544784,455,,,
78715,24.735586,455,,,
79170,23.409148,455,,,
79625,23.979474,455,0.979426383972168,6.5730580449104306,0.05941675305366516
80080,24.678411,455,,,
80535,23.208976,455,,,
80990,24.049888,455,,,
81445,24.451842,455,,,
81900,24.975127,455,0.9822590947151184,6.577445822954178,0.05226984084583819
82355,23.871476,455,,,
82810,24.95506,455,,,
83265,24.31719,455,,,
83720,24.9791,455,0.984586775302887,6.593016332387924,0.04474811931140721
84175,23.211922,455,,,
84630,24.116832,455,,,
85085,24.00971,455,,,
85540,24.776245,455,,,
85995,23.72068,455,0.9821948409080505,6.624695074558258,0.05820261617191136
86450,23.595696,455,,,
86905,24.420105,455,,,
87360,24.196756,455,,,
87815,24.161249,455,0.9848172068595886,6.646100670099258,0.04453160325065255
88270,23.902739,455,,,
88725,25.018569,455,,,
89180,24.33649,455,,,
89635,25.601469,455,,,
90090,24.830301,455,0.9838235974311829,6.6758673131465915,0.05340341757982969
90545,24.244406,455,,,
91000,26.240069,455,,,
91455,24.356842,455,,,
91910,25.449602,455,0.9836133718490601,6.684866845607758,0.04779957956634462
92365,25.566433,455,,,
92820,25.579944,455,,,
93275,25.277426,455,,,
93730,24.880101,455,,,
94185,24.680304,455,0.9807122349739075,6.6871540486812595,0.04654616522602737
94640,24.366265,455,,,
95095,26.123657,455,,,
95550,25.832608,455,,,
96005,24.57795,455,0.9843209385871887,6.687358576059341,0.06285010543651878
96460,24.991032,455,,,
96915,24.377724,455,,,
97370,24.477049,455,,,
97825,26.542463,455,,,
98280,25.717861,455,0.9828805327415466,6.691185480356216,0.049881935212761165
98735,25.694381,455,,,
99190,24.99151,455,,,
99645,24.795633,455,,,
100100,25.336826,455,0.9868896007537842,6.679469299316406,0.038494398328475656
100555,24.597302,455,,,
101010,25.296376,455,,,
101465,24.734091,455,,,
101920,26.175411,455,,,
102375,24.882789,455,0.9832882285118103,6.667668849229813,0.04675645334646106
102830,25.532569,455,,,
103285,24.537174,455,,,
103740,25.563017,455,,,
104195,25.323985,455,0.9849190711975098,6.673000603914261,0.04884048011153937
104650,25.238397,455,,,
105105,25.038749,455,,,
105560,26.509289,455,,,
106015,25.081118,455,,,
106470,25.88142,455,0.983203649520874,6.686362940073013,0.04561568801291287
106925,25.660057,455,,,
107380,25.809907,455,,,
107835,26.062966,455,,,
108290,24.928204,455,0.9868829846382141,6.693483221530914,0.03946389784105122
108745,25.645151,455,,,
109200,25.462746,455,,,
109655,25.120027,455,,,
110110,25.919597,455,,,
110565,25.2749,455,0.986151933670044,6.683599829673767,0.04171874860767275
111020,25.500092,455,,,
111475,26.341909,455,,,
111930,26.094744,455,,,
112385,26.33567,455,0.9867610335350037,6.6692913472652435,0.04634357830509543
112840,24.906788,455,,,
113295,26.259256,455,,,
113750,25.722212,455,,,
114205,25.587376,455,,,
114660,26.476594,455,0.9846498370170593,6.66197018623352,0.06003168984316289
115115,24.274658,455,,,
115570,24.605001,455,,,
116025,26.467485,455,,,
116480,25.590435,455,0.98567134141922,6.670226514339447,0.05381934829056263
116935,25.746927,455,,,
117390,26.269677,455,,,
117845,25.875767,455,,,
118300,26.644896,455,,,
118755,26.055949,455,0.9855064153671265,6.686352616548538,0.04155180966481566
119210,26.938807,455,,,
119665,26.389204,455,,,
120120,25.931507,455,,,
120575,26.016573,455,0.9879606366157532,6.7168821632862095,0.03949587589595467
121030,26.317038,455,,,
121485,26.277679,455,,,
121940,26.754858,455,,,
122395,26.628154,455,,,
122850,25.766094,455,0.9867616295814514,6.755589562654495,0.03893539553973824
123305,25.827608,455,,,
123760,26.436579,455,,,
124215,26.790966,455,,,
124670,25.639076,455,0.9875739216804504,6.794942545890808,0.047702590376138686
125125,26.034119,455,,,
125580,25.932514,455,,,
126035,26.349688,455,,,
126490,25.865684,455,,,
126945,25.130844,455,0.9875546097755432,6.818772280216217,0.0383267221506685
127400,25.513778,455,,,
127855,26.654782,455,,,
128310,26.277914,455,,,
128765,26.653623,455,0.9875378012657166,6.814922350645065,0.04500492187216878
129220,26.177188,455,,,
129675,25.986079,455,,,
130130,26.253315,455,,,
130585,26.782096,455,,,
131040,26.074091,455,0.9868130087852478,6.823405253887176,0.03867481474298984
131495,25.825968,455,,,
131950,25.595785,455,,,
132405,26.992191,455,,,
132860,26.003568,455,0.9889094233512878,6.824240654706955,0.04080377509817481
133315,26.131461,455,,,
133770,26.112297,455,,,
134225,25.90629,455,,,
134680,25.569619,455,,,
135135,25.323901,455,0.9853029251098633,6.833317112922669,0.04278953303582966
135590,26.386676,455,,,
136045,26.072165,455,,,
136500,26.722979,455,,,
136955,27.096381,455,0.9864276051521301,6.85804335474968,0.044370933715254066
137410,26.348539,455,,,
137865,25.90818,455,,,
138320,26.925343,455,,,
138775,25.295178,455,,,
139230,25.719105,455,0.9863670468330383,6.8655448973178865,0.04139075498096645
139685,26.995387,455,,,
140140,26.214313,455,,,
140595,26.835699,455,,,
141050,26.51233,455,0.9886735677719116,6.8684340715408325,0.03903724558185786
141505,26.312273,455,,,
141960,26.778631,455,,,
142415,26.339295,455,,,
142870,26.412517,455,,,
143325,26.200261,455,0.986883819103241,6.887060469388961,0.0422440801281482
143780,27.436307,455,,,
144235,26.699843,455,,,
144690,25.661791,455,,,
145145,26.580765,455,0.9884276390075684,6.888266128301621,0.04702665042132139
145600,26.831843,455,,,
146055,27.006447,455,,,
146510,25.941663,455,,,
146965,26.186057,455,,,
147420,25.9541,455,0.9855400919914246,6.895242536067963,0.049616452190093696
147875,26.784677,455,,,
148330,26.131879,455,,,
148785,27.402233,455,,,
149240,26.196412,455,0.9890308976173401,6.92244668006897,0.03786455602385104
149695,26.157363,455,,,
150150,27.469294,455,,,
150605,26.517086,455,,,
151060,27.406422,455,,,
151515,25.773743,455,0.9873437285423279,6.948715764284134,0.04052487430162728
151970,26.396281,455,,,
152425,26.543857,455,,,
152880,27.323554,455,,,
153335,27.626853,455,0.9880208373069763,6.971263605356216,0.042841828102245925
153790,27.731947,455,,,
154245,26.802074,455,,,
154700,28.523859,455,,,
155155,26.837491,455,,,
155610,27.008714,455,0.9852510690689087,7.009040552377701,0.05394409277942032
156065,26.679905,455,,,
156520,27.274887,455,,,
156975,26.67508,455,,,
157430,27.245407,455,0.9884616136550903,7.037292778491974,0.04412641739472747
157885,28.020451,455,,,
158340,27.69748,455,,,
158795,26.904407,455,,,
159250,27.711349,455,,,
159705,27.702606,455,0.9858320951461792,7.045536357164383,0.0634913720190525
160160,27.96232,455,,,
160615,28.260311,455,,,
161070,27.827294,455,,,
161525,26.771489,455,0.9879342317581177,7.041393256187439,0.041351048089563844
161980,27.419584,455,,,
162435,27.191297,455,,,
162890,28.644772,455,,,
163345,27.764069,455,,,
163800,27.852862,455,0.9877177476882935,7.042394000291824,0.060197898838669064
164255,27.568695,455,,,
164710,27.008591,455,,,
165165,28.544178,455,,,
165620,27.897139,455,0.9876887202262878,7.032585859298706,0.05249299453571439
166075,27.422444,455,,,
166530,27.934457,455,,,
166985,26.991497,455,,,
