timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,22.665006,455,,,
910,24.004095,455,,,
1365,22.730356,455,,,
1820,22.682597,455,,,
2275,22.661433,455,,,
2730,23.809938,455,,,
3185,23.299365,455,,,
3640,22.908945,455,,,
4095,22.700762,455,-0.0205153226852417,6.363802337646485,0.3458190206438303
4550,23.357979,455,,,
5005,22.512463,455,,,
5460,24.372071,455,,,
5915,23.737996,455,0.22428661584854126,6.348060017824173,0.3893012300133705
6370,22.828425,455,,,
6825,24.504107,455,,,
7280,23.165941,455,,,
7735,22.925871,455,,,
8190,22.160739,455,0.4928364157676697,6.35074737071991,0.3124996254220605
8645,23.140043,455,,,
9100,23.774007,455,,,
9555,23.37775,455,,,
10010,23.79834,455,0.6242274045944214,6.341971647739411,0.3273462403565645
10465,22.261212,455,,,
10920,23.330305,455,,,
11375,22.364042,455,,,
11830,23.285276,455,,,
12285,23.850625,455,0.732414960861206,6.361842781305313,0.2702759262174368
12740,22.985423,455,,,
13195,22.88487,455,,,
13650,23.762985,455,,,
14105,22.01803,455,0.7919967770576477,6.37923418879509,0.26880855672061443
14560,23.13129,455,,,
15015,23.025726,455,,,
15470,23.907215,455,,,
15925,24.221605,455,,,
16380,23.399135,455,0.853672444820404,6.377724349498749,0.2469492195174098
16835,23.650899,455,,,
17290,24.147861,455,,,
17745,24.962555,455,,,
18200,24.449412,455,0.8854166269302368,6.381738942861557,0.23100389149039985
18655,23.210368,455,,,
19110,23.835768,455,,,
19565,24.354129,455,,,
20020,22.291644,455,,,
20475,23.395317,455,0.9176662564277649,6.3950051963329315,0.2017630958929658
20930,23.871463,455,,,
21385,23.267159,455,,,
21840,23.378591,455,,,
22295,23.408141,455,0.9230660796165466,6.403953599929809,0.20143430698662995
22750,24.781972,455,,,
23205,23.171605,455,,,
23660,22.694511,455,,,
24115,23.292301,455,,,
24570,23.302913,455,0.9230622053146362,6.404797899723053,0.1868183020502329
25025,23.571146,455,,,
25480,23.514142,455,,,
25935,24.231561,455,,,
26390,24.152722,455,0.9263195395469666,6.413535183668136,0.17812206577509643
26845,24.729646,455,,,
27300,24.678704,455,,,
27755,24.994302,455,,,
28210,23.580481,455,,,
28665,22.718524,455,0.9485782980918884,6.418221515417099,0.14123467979952692
29120,23.38369,455,,,
29575,24.541504,455,,,
30030,23.852903,455,,,
30485,24.902329,455,0.9449533820152283,6.415865522623062,0.14492968758568167
30940,24.466557,455,,,
31395,24.327088,455,,,
31850,23.623387,455,,,
32305,22.707205,455,,,
32760,22.935527,455,0.9586076140403748,6.404117625951767,0.11740308934822678
33215,25.248663,455,,,
33670,24.070731,455,,,
34125,24.466546,455,,,
34580,25.85763,455,0.9547556042671204,6.388322633504868,0.2666573508642614
35035,23.606045,455,,,
35490,25.167827,455,,,
35945,24.58737,455,,,
36400,24.019963,455,,,
36855,24.069141,455,0.9618843793869019,6.38707771897316,0.2286530802026391
37310,24.169676,455,,,
37765,24.883093,455,,,
38220,25.480976,455,,,
38675,23.896315,455,0.9644185304641724,6.384585279226303,0.23155827233567833
39130,23.523123,455,,,
39585,23.23668,455,,,
40040,24.890704,455,,,
40495,24.451029,455,,,
40950,25.931412,455,0.9635682106018066,6.377796632051468,0.20807761093601584
41405,25.679716,455,,,
41860,24.658454,455,,,
42315,25.728895,455,,,
42770,24.340753,455,0.9603001475334167,6.366849046945572,0.2196743108332157
43225,26.154077,455,,,
43680,24.502219,455,,,
44135,24.979131,455,,,
44590,26.343341,455,,,
45045,25.601141,455,0.9622740745544434,6.353845530748368,0.1970963436178863
45500,25.227071,455,,,
45955,24.779266,455,,,
46410,25.369253,455,,,
46865,24.836467,455,0.9612058997154236,6.345566993951797,0.20543367750942707
47320,25.603631,455,,,
47775,24.38061,455,,,
48230,25.296704,455,,,
48685,24.653446,455,,,
49140,24.357063,455,0.9626775979995728,6.355035638809204,0.1904124615713954
49595,25.999394,455,,,
50050,25.756085,455,,,
50505,25.610807,455,,,
50960,24.866609,455,0.9624046087265015,6.359501469135284,0.20311159621924163
51415,22.781395,455,,,
51870,24.477159,455,,,
52325,25.314748,455,,,
52780,25.320236,455,,,
53235,25.302607,455,0.9628953337669373,6.3548555195331575,0.1852956566028297
53690,24.872089,455,,,
54145,24.733036,455,,,
54600,24.295598,455,,,
55055,25.155596,455,0.9621837735176086,6.362146997451783,0.20123256295919417
55510,26.500713,455,,,
55965,24.812351,455,,,
56420,26.698354,455,,,
56875,24.126827,455,,,
57330,26.34859,455,0.964309573173523,6.3703408420085905,0.1789612641558051
57785,25.168097,455,,,
58240,26.486636,455,,,
58695,26.00363,455,,,
59150,25.94961,455,0.9623684883117676,6.370065933465957,0.19237875854596495
59605,24.307826,455,,,
60060,25.825702,455,,,
60515,24.265002,455,,,
60970,26.523325,455,,,
61425,23.940979,455,0.9654151201248169,6.360964733362198,0.1742893590591848
61880,26.115499,455,,,
62335,25.850437,455,,,
62790,25.819269,455,,,
63245,26.105433,455,0.9647421836853027,6.344492787122727,0.18867691056802868
63700,25.639106,455,,,
64155,25.074555,455,,,
64610,26.217873,455,,,
65065,25.333185,455,,,
65520,25.328902,455,0.9662924408912659,6.336037755012512,0.16921280296519398
65975,25.047848,455,,,
66430,25.777753,455,,,
66885,25.132729,455,,,
67340,25.89179,455,0.9663481116294861,6.325920695066452,0.18536329651251435
67795,25.730597,455,,,
