timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-50.1202,455,,,
910,-50.365379,455,,,
1365,-48.325424,455,,,
1820,-48.176557,455,,,
2275,-51.081678,455,,,
2730,-51.791019,455,,,
3185,-47.955354,455,,,
3640,-50.528517,455,,,
4095,-47.973544,455,0.034109294414520264,6.411609280109405,0.7826023496687412
4550,-46.777911,455,,,
5005,-51.153782,455,,,
5460,-50.097918,455,,,
5915,-49.46701,455,0.22117143869400024,6.444066959619522,0.7598876513540744
6370,-48.971649,455,,,
6825,-46.672336,455,,,
7280,-50.092314,455,,,
7735,-49.711592,455,,,
8190,-48.183171,455,0.31323593854904175,6.464161658287049,0.7941911369562149
8645,-46.210515,455,,,
9100,-49.494217,455,,,
9555,-46.387282,455,,,
10010,-48.289589,455,0.5273599028587341,6.495500838756561,0.6827008910477161
10465,-48.727663,455,,,
10920,-48.032365,455,,,
11375,-48.520359,455,,,
11830,-45.965398,455,,,
12285,-50.261551,455,0.6579610109329224,6.538209468126297,0.6484785437583923
12740,-47.688756,455,,,
13195,-48.616703,455,,,
13650,-48.789239,455,,,
14105,-48.129695,455,0.7724824547767639,6.590308338403702,0.5809253793209791
14560,-46.4072,455,,,
15015,-46.604257,455,,,
15470,-48.286792,455,,,
15925,-48.584948,455,,,
16380,-46.511568,455,0.8195480108261108,6.638106650114059,0.5216067165136338
16835,-46.893395,455,,,
17290,-48.193356,455,,,
17745,-49.69458,455,,,
18200,-49.314153,455,0.8910002112388611,6.696331638097763,0.43414691276848316
18655,-46.490311,455,,,
19110,-47.28648,455,,,
19565,-43.989169,455,,,
20020,-45.713452,455,,,
20475,-47.124256,455,0.8993004560470581,6.779704505205155,0.45742047801613805
20930,-45.519485,455,,,
21385,-46.69791,455,,,
21840,-47.0827,455,,,
22295,-47.121506,455,0.9339414834976196,6.84008064866066,0.3748729217797518
22750,-47.705275,455,,,
23205,-46.846064,455,,,
23660,-46.938018,455,,,
24115,-46.052581,455,,,
24570,-46.480567,455,0.9471556544303894,6.874235385656357,0.3514517115429044
25025,-47.43677,455,,,
25480,-44.462713,455,,,
25935,-45.500917,455,,,
26390,-44.450626,455,0.9579234719276428,6.913001155853271,0.29832362327724693
26845,-44.377101,455,,,
27300,-45.263637,455,,,
27755,-45.426411,455,,,
28210,-44.2706,455,,,
28665,-46.857889,455,0.9599238634109497,6.9362838685512545,0.2973521986976266
29120,-42.104599,455,,,
29575,-45.153724,455,,,
30030,-44.956234,455,,,
30485,-44.174247,455,0.9698042273521423,6.949103540182113,0.2565462840721011
30940,-47.831887,455,,,
31395,-45.399179,455,,,
31850,-44.604229,455,,,
32305,-43.61729,455,,,
32760,-45.863479,455,0.9671875238418579,6.976920211315155,0.272585191950202
33215,-43.901036,455,,,
33670,-43.326452,455,,,
34125,-43.882572,455,,,
34580,-45.560659,455,0.9767481088638306,7.0068711876869205,0.25821698140352967
35035,-44.305459,455,,,
35490,-44.221796,455,,,
35945,-43.166213,455,,,
36400,-42.850274,455,,,
36855,-42.343542,455,0.9740321040153503,7.038515037298202,0.2397959314286709
37310,-45.260729,455,,,
37765,-44.831288,455,,,
38220,-45.100691,455,,,
38675,-43.317359,455,0.9807083010673523,7.073677456378936,0.20815487392246723
39130,-43.402569,455,,,
39585,-45.38975,455,,,
40040,-46.446307,455,,,
40495,-45.427917,455,,,
40950,-46.201413,455,0.9770558476448059,7.101529049873352,0.28258668463677167
41405,-44.500309,455,,,
41860,-45.869634,455,,,
42315,-43.347435,455,,,
42770,-41.904778,455,0.9794918298721313,7.1302601277828215,0.2111041072756052
43225,-43.829894,455,,,
43680,-48.176631,455,,,
44135,-43.327104,455,,,
44590,-42.034852,455,,,
45045,-43.158806,455,0.9779244065284729,7.18077718615532,0.2076230850070715
45500,-43.566417,455,,,
45955,-44.991338,455,,,
46410,-42.907211,455,,,
46865,-43.589814,455,0.9813432693481445,7.222565698623657,0.18689783047884703
47320,-43.964495,455,,,
47775,-44.864057,455,,,
48230,-44.981517,455,,,
48685,-45.128961,455,,,
49140,-43.745758,455,0.9779237508773804,7.267660695314407,0.19344562143087388
49595,-41.680344,455,,,
50050,-42.826352,455,,,
50505,-43.832233,455,,,
50960,-43.147928,455,0.982089638710022,7.317603790760041,0.23510865923017263
51415,-42.730689,455,,,
51870,-43.831208,455,,,
52325,-43.915144,455,,,
52780,-44.442602,455,,,
53235,-42.717349,455,0.9796136021614075,7.358264636993408,0.19314790219068528
53690,-42.104158,455,,,
54145,-43.215573,455,,,
54600,-40.910254,455,,,
55055,-42.654445,455,0.986002504825592,7.383857482671738,0.16077539222314954
55510,-40.920855,455,,,
55965,-43.151077,455,,,
56420,-40.491665,455,,,
56875,-42.962783,455,,,
57330,-42.757293,455,0.9838599562644958,7.408585453033448,0.16591906705871223
57785,-38.705597,455,,,
