timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-51.237422,455,,,
910,-51.43372,455,,,
1365,-50.841468,455,,,
1820,-50.729624,455,,,
2275,-49.886567,455,,,
2730,-51.236387,455,,,
3185,-48.87156,455,,,
3640,-51.372433,455,,,
4095,-48.623189,455,-0.014801979064941406,6.447514653205872,0.3031179515644908
4550,-48.432134,455,,,
5005,-50.702585,455,,,
5460,-50.040916,455,,,
5915,-50.327371,455,0.041418612003326416,6.53391774892807,0.34068714557215574
6370,-47.953634,455,,,
6825,-48.496018,455,,,
7280,-48.616961,455,,,
7735,-48.482883,455,,,
8190,-49.438919,455,0.12475061416625977,6.599724686145782,0.35908081363886596
8645,-47.72075,455,,,
9100,-48.934934,455,,,
9555,-47.695957,455,,,
10010,-46.668769,455,0.06760591268539429,6.670786535739898,0.49345469903200867
10465,-47.672917,455,,,
10920,-47.015812,455,,,
11375,-46.370518,455,,,
11830,-46.794838,455,,,
12285,-48.652688,455,0.049485087394714355,6.745858067274094,0.5108541630208492
12740,-47.118655,455,,,
13195,-47.284719,455,,,
13650,-47.28208,455,,,
14105,-45.930581,455,0.0911286473274231,6.8244505524635315,0.6699770763516426
14560,-47.91424,455,,,
15015,-46.277047,455,,,
15470,-46.501045,455,,,
15925,-46.824398,455,,,
16380,-44.85088,455,0.19245433807373047,6.869250679016114,0.5163174977526068
16835,-46.055799,455,,,
17290,-46.837184,455,,,
17745,-47.125735,455,,,
18200,-47.931829,455,0.4916303753852844,6.905748242139817,0.443602086417377
18655,-46.354249,455,,,
19110,-46.26367,455,,,
19565,-44.682995,455,,,
20020,-45.316152,455,,,
20475,-46.42619,455,0.7891586422920227,6.955455470085144,0.24107454270124434
20930,-43.56717,455,,,
21385,-45.011321,455,,,
21840,-44.855286,455,,,
22295,-46.341933,455,0.8940989375114441,7.013564378023148,0.20255525410175323
22750,-46.294138,455,,,
23205,-44.393577,455,,,
23660,-45.731795,455,,,
24115,-43.492931,455,,,
24570,-45.200731,455,0.9153319001197815,7.069285207986832,0.15028325347229837
25025,-45.248031,455,,,
25480,-43.283935,455,,,
25935,-46.199977,455,,,
26390,-44.382693,455,0.9522460103034973,7.151067298650742,0.15466874996200203
26845,-43.620347,455,,,
27300,-43.740103,455,,,
27755,-43.94197,455,,,
28210,-43.273334,455,,,
28665,-41.440314,455,0.9671431183815002,7.23428099155426,0.11418392462655902
29120,-41.512608,455,,,
29575,-42.491139,455,,,
30030,-44.372214,455,,,
30485,-41.952612,455,0.9695625901222229,7.313297766447067,0.12235271884128451
30940,-44.348685,455,,,
31395,-43.064708,455,,,
31850,-42.046245,455,,,
32305,-41.824122,455,,,
32760,-42.538671,455,0.9688095450401306,7.404214155673981,0.11862691724672914
33215,-42.092997,455,,,
33670,-42.474468,455,,,
34125,-43.10956,455,,,
34580,-42.898826,455,0.9723353385925293,7.498699945211411,0.13162086168304085
35035,-41.50925,455,,,
35490,-40.143927,455,,,
35945,-41.360882,455,,,
36400,-41.029352,455,,,
36855,-40.246222,455,0.971814751625061,7.568068856000901,0.10803984338417649
37310,-41.333651,455,,,
37765,-40.970352,455,,,
38220,-41.094642,455,,,
38675,-41.063106,455,0.9759025573730469,7.6523213386535645,0.10454437853768468
39130,-40.369972,455,,,
39585,-40.954066,455,,,
40040,-40.756769,455,,,
40495,-40.858723,455,,,
40950,-41.294138,455,0.9754725098609924,7.736445558071137,0.10032762167975307
41405,-38.467564,455,,,
41860,-40.787018,455,,,
42315,-38.717723,455,,,
42770,-38.87076,455,0.9762343168258667,7.811542755365371,0.10708347540348769
43225,-39.36664,455,,,
43680,-42.21046,455,,,
44135,-39.825174,455,,,
44590,-38.590189,455,,,
45045,-37.700534,455,0.9785005450248718,7.896490782499313,0.09128003474324942
45500,-39.36502,455,,,
45955,-39.001721,455,,,
46410,-37.932428,455,,,
46865,-38.480116,455,0.9775679707527161,7.9802924454212185,0.09761035768315196
47320,-39.666722,455,,,
47775,-39.973924,455,,,
48230,-38.485224,455,,,
48685,-40.153864,455,,,
49140,-38.959858,455,0.9755144119262695,8.054618740081787,0.086414281046018
49595,-37.710359,455,,,
50050,-37.53769,455,,,
50505,-37.867774,455,,,
50960,-37.39759,455,0.9800434112548828,8.129676055908202,0.0824918762780726
51415,-38.097601,455,,,
51870,-35.486906,455,,,
52325,-37.987742,455,,,
52780,-38.09761,455,,,
53235,-36.856521,455,0.9768728017807007,8.244937300682068,0.08813271801918746
53690,-37.115054,455,,,
54145,-38.046778,455,,,
54600,-36.481417,455,,,
55055,-36.232023,455,0.9788283109664917,8.333059668540955,0.08075667093507946
55510,-36.931648,455,,,
55965,-36.577055,455,,,
56420,-33.96534,455,,,
56875,-35.738946,455,,,
57330,-36.715173,455,0.9762439727783203,8.412661039829255,0.08246296159923076
57785,-33.745833,455,,,
58240,-35.845581,455,,,
58695,-36.516256,455,,,
59150,-34.280095,455,0.9800824522972107,8.512459456920624,0.07330417498014867
59605,-33.373925,455,,,
60060,-35.544013,455,,,
60515,-35.076725,455,,,
60970,-35.489718,455,,,
61425,-35.719784,455,0.9752132892608643,8.612233412265777,0.0812409774865955
61880,-33.292824,455,,,
62335,-34.025384,455,,,
62790,-36.602909,455,,,
63245,-34.329462,455,0.9786515831947327,8.709561145305633,0.07656567329540849
63700,-34.317583,455,,,
64155,-32.213569,455,,,
64610,-34.365791,455,,,
65065,-33.755343,455,,,
65520,-33.872539,455,0.9789952635765076,8.800682318210601,0.06796059389598667
65975,-33.585181,455,,,
66430,-33.719565,455,,,
66885,-33.1163,455,,,
67340,-32.625332,455,0.9812686443328857,8.88565697669983,0.06357119060121477
67795,-33.125024,455,,,
68250,-33.660883,455,,,
68705,-32.788595,455,,,
69160,-32.641669,455,,,
69615,-31.631496,455,0.9777119755744934,8.967110288143157,0.0623772784601897
70070,-33.141668,455,,,
70525,-34.231749,455,,,
70980,-33.009774,455,,,
71435,-33.825245,455,0.9791722893714905,9.058716475963593,0.06760264867916703
71890,-33.742844,455,,,
72345,-30.831087,455,,,
72800,-32.842955,455,,,
73255,-30.831737,455,,,
73710,-31.25372,455,0.98105388879776,9.147343063354493,0.05403237715363503
74165,-31.487534,455,,,
74620,-31.862475,455,,,
75075,-30.417869,455,,,
75530,-32.526162,455,0.9841978549957275,9.22949331998825,0.05312294336035848
75985,-30.273282,455,,,
76440,-32.515933,455,,,
76895,-30.535561,455,,,
77350,-31.51065,455,,,
77805,-30.787726,455,0.982183039188385,9.305746638774872,0.05017813262529671
78260,-29.673768,455,,,
78715,-30.742939,455,,,
79170,-30.942001,455,,,
