timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-44.795838,455,,,
910,-45.749051,455,,,
1365,-44.155399,455,,,
1820,-45.056578,455,,,
2275,-45.254405,455,,,
2730,-45.250089,455,,,
3185,-43.665807,455,,,
3640,-46.403837,455,,,
4095,-41.814549,455,0.04046708345413208,6.42491781115532,0.6912554804235697
4550,-43.892318,455,,,
5005,-46.112512,455,,,
5460,-45.387156,455,,,
5915,-45.544841,455,0.1625291109085083,6.464821320772171,0.8927479580044746
6370,-43.42021,455,,,
6825,-45.403017,455,,,
7280,-42.82988,455,,,
7735,-46.120116,455,,,
8190,-40.455017,455,0.3344467878341675,6.505316871404648,0.6633218634873629
8645,-42.799425,455,,,
9100,-43.893591,455,,,
9555,-43.057433,455,,,
10010,-43.181048,455,0.6397149562835693,6.558288663625717,0.5625926040112972
10465,-45.501674,455,,,
10920,-42.319486,455,,,
11375,-43.739826,455,,,
11830,-41.102323,455,,,
12285,-45.965025,455,0.8175804615020752,6.579950112104416,0.4165459869429469
12740,-41.330528,455,,,
13195,-42.965816,455,,,
13650,-42.90897,455,,,
14105,-43.613413,455,0.880977213382721,6.614896142482758,0.43609728999435904
14560,-41.579618,455,,,
15015,-42.782266,455,,,
15470,-43.153714,455,,,
15925,-44.297607,455,,,
16380,-41.390848,455,0.9118095636367798,6.658764046430588,0.37622260954231024
16835,-43.021982,455,,,
17290,-45.351475,455,,,
17745,-45.044247,455,,,
18200,-44.688379,455,0.9422211647033691,6.703735435009003,0.38354389891028406
18655,-40.736533,455,,,
19110,-43.261643,455,,,
19565,-40.516371,455,,,
20020,-42.701013,455,,,
20475,-39.894945,455,0.9589495658874512,6.758655315637588,0.29890154767781496
20930,-42.045454,455,,,
21385,-41.835079,455,,,
21840,-44.305317,455,,,
22295,-42.878967,455,0.96744304895401,6.818386018276215,0.3169249212369323
22750,-42.282731,455,,,
23205,-38.856213,455,,,
23660,-43.209797,455,,,
24115,-40.355262,455,,,
24570,-43.345694,455,0.9787992238998413,6.875979864597321,0.21319016199558974
25025,-43.654204,455,,,
25480,-39.647754,455,,,
25935,-42.097254,455,,,
26390,-40.387711,455,0.981275200843811,6.929729557037353,0.25398276597261427
26845,-38.823592,455,,,
