timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,25.399253,455,,,
910,25.967992,455,,,
1365,26.434846,455,,,
1820,28.53113,455,,,
2275,26.846016,455,,,
2730,24.336251,455,,,
3185,27.23095,455,,,
3640,26.261364,455,,,
4095,27.106957,455,0.0026142001152038574,6.413106226921082,2.2345390781760215
4550,28.681488,455,,,
5005,28.093387,455,,,
5460,28.811515,455,,,
5915,26.696426,455,0.45805656909942627,6.422056430578232,1.6314959943294525
6370,29.780596,455,,,
6825,26.458914,455,,,
7280,26.683831,455,,,
7735,29.835686,455,,,
8190,26.602026,455,0.7268062829971313,6.404540938138962,1.2068005338311196
8645,29.071616,455,,,
9100,28.147789,455,,,
9555,27.552381,455,,,
10010,28.10056,455,0.8562321662902832,6.404442781209946,0.928990901261568
10465,26.414746,455,,,
10920,26.708206,455,,,
11375,28.441756,455,,,
11830,26.595367,455,,,
12285,28.234343,455,0.9190834164619446,6.414231717586517,0.7108069844543934
12740,29.649189,455,,,
13195,27.584448,455,,,
13650,27.619881,455,,,
14105,28.67717,455,0.946164608001709,6.4250512480735775,0.6174757655709981
14560,26.349047,455,,,
15015,26.922083,455,,,
15470,27.797101,455,,,
15925,28.744594,455,,,
16380,29.812196,455,0.9597645401954651,6.422982555627823,0.576860211789608
16835,28.179915,455,,,
17290,27.570159,455,,,
17745,29.267892,455,,,
18200,29.645516,455,0.963167667388916,6.429792320728302,0.5158796355128288
18655,27.877157,455,,,
19110,29.634189,455,,,
19565,29.657848,455,,,
20020,27.719993,455,,,
20475,29.080016,455,0.9690603613853455,6.433225560188293,0.5678087677806616
20930,28.465904,455,,,
21385,30.912479,455,,,
21840,29.083577,455,,,
22295,27.96697,455,0.9727119207382202,6.4538367092609406,0.4328552283346653
22750,30.654265,455,,,
23205,31.39692,455,,,
23660,30.924235,455,,,
24115,33.31431,455,,,
24570,30.125207,455,0.9770261645317078,6.473128640651703,0.47100144773721697
25025,31.582468,455,,,
25480,32.582182,455,,,
25935,33.355621,455,,,
26390,32.252764,455,0.9747324585914612,6.469088095426559,0.4982651136815548
26845,30.734837,455,,,
27300,32.563502,455,,,
27755,32.486264,455,,,
28210,31.15233,455,,,
28665,32.268691,455,0.9803969264030457,6.462233000993729,0.37468369491398335
29120,31.445691,455,,,
29575,32.534427,455,,,
30030,32.326097,455,,,
30485,32.107604,455,0.9799580574035645,6.448682564496994,0.36818739473819734
30940,32.434758,455,,,
31395,33.610382,455,,,
31850,31.748096,455,,,
32305,31.559672,455,,,
32760,32.052913,455,0.9831620454788208,6.422909593582153,0.3340418851003051
33215,35.066785,455,,,
33670,33.289031,455,,,
34125,33.655233,455,,,
34580,31.57285,455,0.9793984889984131,6.3933774590492245,0.3231027856469154
35035,34.887927,455,,,
35490,34.843713,455,,,
35945,34.370081,455,,,
36400,33.964378,455,,,
36855,33.464708,455,0.9817935824394226,6.373787426948548,0.32366689424961803
37310,34.712306,455,,,
37765,36.431906,455,,,
38220,35.033697,455,,,
38675,35.689458,455,0.984402596950531,6.370727592706681,0.2954860696569085
39130,34.29846,455,,,
39585,35.932955,455,,,
40040,37.055315,455,,,
40495,34.031952,455,,,
40950,36.187215,455,0.984739363193512,6.374315762519837,0.30021427776664494
41405,37.464938,455,,,
41860,36.251816,455,,,
42315,39.3918,455,,,
42770,40.065702,455,0.9841971397399902,6.386666649580002,0.2559124926105142
43225,37.64422,455,,,
43680,37.522973,455,,,
44135,38.622448,455,,,
44590,39.451206,455,,,
45045,38.659788,455,0.9858216047286987,6.3955518245697025,0.28249945510178803
45500,40.355102,455,,,
45955,38.846155,455,,,
46410,38.686983,455,,,
46865,39.247723,455,0.9851967096328735,6.392824500799179,0.2854908138513565
47320,42.838731,455,,,
47775,39.526026,455,,,
48230,41.081669,455,,,
48685,40.303719,455,,,
49140,40.163721,455,0.9874038100242615,6.390258175134659,0.2568588091060519
49595,40.308481,455,,,
50050,40.304375,455,,,
50505,40.126683,455,,,
50960,40.025093,455,0.9874308109283447,6.391003137826919,0.3292551962658763
51415,38.777056,455,,,
51870,40.593799,455,,,
52325,41.836613,455,,,
52780,41.6101,455,,,
53235,42.814802,455,0.9890002012252808,6.399731969833374,0.23065087534487247
53690,41.204791,455,,,
54145,40.575154,455,,,
54600,41.888407,455,,,
55055,42.362533,455,0.9883881211280823,6.410144853591919,0.2417667865753174
55510,44.522136,455,,,
55965,43.555464,455,,,
56420,43.971359,455,,,
56875,42.431169,455,,,
57330,43.103385,455,0.9896705150604248,6.4033955335617065,0.2423706203699112
57785,42.014999,455,,,
58240,42.963587,455,,,
58695,43.84614,455,,,
59150,42.084998,455,0.9911041259765625,6.395688837766647,0.21309160646051167
59605,45.653621,455,,,
60060,45.159137,455,,,
60515,45.222577,455,,,
60970,44.927905,455,,,
61425,45.239875,455,0.9908650517463684,6.399508666992188,0.15639772983267902
61880,46.527841,455,,,
62335,45.634258,455,,,
62790,48.706021,455,,,
63245,47.499503,455,0.9918258190155029,6.412096983194351,0.206760660558939
63700,46.741693,455,,,
64155,46.55052,455,,,
64610,47.209805,455,,,
65065,47.85437,455,,,
65520,47.531006,455,0.9928460121154785,6.418653404712677,0.176619416102767
65975,49.481241,455,,,
66430,48.113313,455,,,
66885,50.393513,455,,,
67340,48.072141,455,0.9930034875869751,6.419267117977142,0.19831429924815894
67795,48.932512,455,,,
68250,51.194579,455,,,
68705,49.899024,455,,,
69160,52.116525,455,,,
69615,51.747184,455,0.9935381412506104,6.41825715303421,0.19602060317993164
70070,52.456917,455,,,
70525,52.375776,455,,,
70980,52.159114,455,,,
71435,52.894583,455,0.992156445980072,6.417538791894913,0.21156306881457568
71890,51.12768,455,,,
72345,53.081066,455,,,
72800,54.465154,455,,,
73255,53.443033,455,,,
73710,55.195966,455,0.9923542737960815,6.414940667152405,0.15412702076137066
74165,53.682008,455,,,
74620,55.197771,455,,,
75075,55.249279,455,,,
75530,54.667279,455,0.9937703609466553,6.416792064905167,0.14873444279655815
75985,55.318282,455,,,
76440,56.44679,455,,,
76895,55.816441,455,,,
77350,56.812771,455,,,
77805,55.462377,455,0.9951432943344116,6.426367324590683,0.13508183415979147
78260,58.699687,455,,,
78715,56.955138,455,,,
79170,57.601976,455,,,
79625,57.237089,455,0.994163453578949,6.453185451030731,0.1982947275042534
80080,58.272759,455,,,
80535,57.382293,455,,,
80990,59.665128,455,,,
81445,61.472926,455,,,
81900,58.899827,455,0.9946762323379517,6.481769943237305,0.208541164919734
82355,62.871978,455,,,
82810,59.997517,455,,,
83265,62.469327,455,,,
83720,60.821822,455,0.9926053285598755,6.495966982841492,0.2016893481835723
84175,61.602642,455,,,
84630,61.966966,455,,,
85085,60.56478,455,,,
85540,64.093057,455,,,
85995,64.429447,455,0.9947792291641235,6.4908869683742525,0.2223565662279725
86450,63.169988,455,,,
86905,64.72171,455,,,
87360,62.477296,455,,,
