timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,21.130908,455,,,
910,19.719924,455,,,
1365,18.403287,455,,,
1820,18.388255,455,,,
2275,21.045348,455,,,
2730,20.039678,455,,,
3185,23.457098,455,,,
3640,18.041469,455,,,
4095,18.48484,455,0.03577303886413574,6.4162642121315,12.306070458889007
4550,19.928256,455,,,
5005,19.522085,455,,,
5460,22.676684,455,,,
5915,20.658189,455,0.3851080536842346,6.438537991046905,10.122187614440918
6370,21.15107,455,,,
6825,21.926513,455,,,
7280,20.903634,455,,,
7735,21.234105,455,,,
8190,20.320261,455,0.6765469908714294,6.452389764785766,5.924931851029396
8645,22.831409,455,,,
9100,19.900084,455,,,
9555,20.576651,455,,,
10010,21.969939,455,0.8270134925842285,6.45715115070343,4.211804267764092
10465,24.014283,455,,,
10920,21.777596,455,,,
11375,25.329935,455,,,
11830,23.321871,455,,,
12285,20.090862,455,0.9035803079605103,6.445027035474777,2.7352584645152094
12740,24.115695,455,,,
13195,24.057752,455,,,
13650,20.715821,455,,,
14105,22.660641,455,0.9423035383224487,6.438549035787583,2.1183535367250443
14560,22.020363,455,,,
15015,25.449132,455,,,
15470,19.791245,455,,,
15925,21.837302,455,,,
16380,23.21979,455,0.9614619016647339,6.451218938827514,1.8914781928062439
16835,24.233831,455,,,
17290,24.900292,455,,,
17745,19.183588,455,,,
18200,27.128629,455,0.9663510322570801,6.450640344619751,1.59302915930748
18655,25.751115,455,,,
19110,21.193166,455,,,
19565,23.250053,455,,,
20020,16.986685,455,,,
20475,22.695858,455,0.9766191840171814,6.440181392431259,1.2996304966509342
20930,23.025121,455,,,
21385,23.331851,455,,,
21840,22.991839,455,,,
22295,28.224943,455,0.9776213765144348,6.441505551338196,1.0841600477695466
22750,24.109177,455,,,
23205,25.560734,455,,,
23660,26.725298,455,,,
24115,23.12304,455,,,
24570,26.424793,455,0.9848637580871582,6.444462651014328,0.7819856457412243
25025,32.167314,455,,,
25480,26.911493,455,,,
