timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,17.062471,455,,,
910,16.336701,455,,,
1365,18.10201,455,,,
1820,16.001771,455,,,
2275,16.240778,455,,,
2730,17.918305,455,,,
3185,14.688315,455,,,
3640,15.299382,455,,,
4095,15.077955,455,0.022657394409179688,6.40271880030632,1.7795532807707786
4550,16.336706,455,,,
5005,16.860302,455,,,
5460,14.178361,455,,,
5915,16.326118,455,0.4198901653289795,6.414175194501877,1.407937677949667
6370,13.718201,455,,,
6825,15.391393,455,,,
7280,15.004592,455,,,
7735,15.481697,455,,,
8190,17.515104,455,0.7345294952392578,6.434916430711747,0.8832564622163772
8645,18.425659,455,,,
9100,17.700274,455,,,
9555,17.909514,455,,,
10010,18.513534,455,0.8689391613006592,6.453953051567078,0.6431931287050248
10465,18.363088,455,,,
10920,17.289916,455,,,
11375,16.750361,455,,,
11830,18.350103,455,,,
12285,15.458768,455,0.9215114712715149,6.4403011739254,0.4377234702929854
12740,16.746074,455,,,
13195,18.829041,455,,,
13650,18.038018,455,,,
14105,17.792326,455,0.9551520943641663,6.430094891786576,0.36239782311022284
14560,20.092765,455,,,
15015,18.173775,455,,,
15470,16.625104,455,,,
15925,16.798467,455,,,
16380,18.395899,455,0.9675081372261047,6.432330876588821,0.28928638640791177
16835,18.043576,455,,,
17290,18.918917,455,,,
17745,19.339093,455,,,
18200,16.974569,455,0.9725735783576965,6.445994055271148,0.23502573128789664
18655,18.164891,455,,,
19110,17.095993,455,,,
19565,20.444004,455,,,
20020,17.905841,455,,,
20475,19.530503,455,0.975892961025238,6.45923945903778,0.3364853702485561
20930,19.32475,455,,,
21385,17.994947,455,,,
21840,19.593124,455,,,
22295,20.99898,455,0.9798916578292847,6.461053550243378,0.31851864494383336
22750,22.152093,455,,,
23205,20.284934,455,,,
23660,18.778864,455,,,
24115,20.073032,455,,,
24570,20.347771,455,0.9782593250274658,6.481299978494644,0.23114492297172545
25025,21.740012,455,,,
25480,22.585412,455,,,
25935,22.427061,455,,,
26390,22.277098,455,0.9809406399726868,6.490942370891571,0.20899613350629806
26845,21.264697,455,,,
27300,21.260508,455,,,
27755,21.093189,455,,,
28210,22.803739,455,,,
28665,21.446028,455,0.9800236225128174,6.472751581668854,0.17981751263141632
29120,22.661219,455,,,
29575,22.059925,455,,,
30030,22.092413,455,,,
30485,23.646759,455,0.9855032563209534,6.473459070920944,0.19191853422671556
30940,21.908222,455,,,
31395,24.192356,455,,,
31850,23.389291,455,,,
32305,23.879724,455,,,
32760,25.883712,455,0.9842966198921204,6.480248373746872,0.16961953593418003
33215,26.148579,455,,,
33670,24.50828,455,,,
34125,23.816763,455,,,
34580,25.233455,455,0.9846246838569641,6.466031891107559,0.14144251840189098
35035,27.000272,455,,,
35490,25.928661,455,,,
35945,25.210526,455,,,
36400,25.76511,455,,,
36855,24.530873,455,0.986265242099762,6.442681711912155,0.12262111641466618
37310,28.387607,455,,,
37765,25.382952,455,,,
38220,27.483177,455,,,
38675,25.191832,455,0.9873881936073303,6.430926841497421,0.2675305115059018
39130,27.598677,455,,,
39585,28.286001,455,,,
40040,27.989389,455,,,
40495,27.92073,455,,,
40950,25.899911,455,0.9851389527320862,6.434229701757431,0.24486044961959125
41405,29.607253,455,,,
41860,29.218525,455,,,
42315,27.076786,455,,,
42770,29.254496,455,0.9873200058937073,6.452062654495239,0.21546777561306954
