timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,9.692801,139,,,
278,10.084769,139,,,
417,20.620167,139,,,
556,2.267529,139,,,
695,21.396927,139,,,
834,7.523561,139,,,
973,5.186199,139,,,
1112,12.969412,139,,,
1251,23.484235,139,,,
1390,12.038338,139,,,
1529,20.495967,139,,,
1668,11.375557,139,,,
1807,17.048341,139,,,
1946,13.002689,139,,,
2085,15.43811,139,,,
2224,20.798065,139,,,
2363,10.849926,139,,,
2502,16.652235,139,,,
2641,16.807073,139,,,
2780,6.97712,139,,,
2919,6.094062,139,,,
3058,25.557628,139,,,
3197,6.035663,139,,,
3336,10.812024,139,,,
3475,16.612578,139,,,
3614,22.232912,139,,,
3753,13.146934,139,,,
3892,0.624998,139,,,
4031,10.806124,139,-0.003973603248596191,3.4962855100631716,14.290717077255248
