timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,26.158589,455,,,
910,26.55136,455,,,
1365,23.986382,455,,,
1820,26.072178,455,,,
2275,28.019746,455,,,
2730,27.266915,455,,,
3185,25.98878,455,,,
3640,26.721156,455,,,
4095,26.767315,455,-0.00753021240234375,6.399799466133118,2.5183417230844496
4550,25.5334,455,,,
5005,28.455327,455,,,
5460,26.122233,455,,,
5915,25.157025,455,0.4742252826690674,6.431541585922242,1.7687447100877762
6370,25.46306,455,,,
6825,25.350745,455,,,
7280,26.525148,455,,,
7735,26.905471,455,,,
8190,26.464923,455,0.7649809122085571,6.461254131793976,1.4588426873087883
8645,25.188506,455,,,
9100,26.982519,455,,,
9555,26.433262,455,,,
10010,25.818128,455,0.8523659706115723,6.460449814796448,1.1432686187326908
10465,26.770356,455,,,
10920,24.948327,455,,,
11375,27.512185,455,,,
11830,26.403642,455,,,
12285,26.412728,455,0.9224827289581299,6.458621442317963,0.9198204070329666
12740,26.361728,455,,,
13195,25.046748,455,,,
13650,26.78437,455,,,
14105,26.035814,455,0.942016065120697,6.454451036453247,0.7189904350787402
14560,26.755021,455,,,
15015,26.061647,455,,,
15470,26.638515,455,,,
15925,25.113276,455,,,
16380,26.851718,455,0.9624523520469666,6.445099574327469,0.5589561305940152
16835,24.665041,455,,,
17290,26.044839,455,,,
17745,27.175949,455,,,
18200,31.210484,455,0.9665201306343079,6.43500924706459,0.43994796797633173
18655,26.836224,455,,,
19110,26.727681,455,,,
19565,27.272247,455,,,
20020,25.282386,455,,,
20475,25.762314,455,0.971668004989624,6.425176590681076,0.46442511975765227
20930,27.973658,455,,,
21385,30.037107,455,,,
21840,29.026009,455,,,
22295,27.973441,455,0.9755873680114746,6.415795141458512,0.36102420277893543
22750,26.828734,455,,,
23205,28.438218,455,,,
23660,29.75264,455,,,
24115,29.847476,455,,,
24570,27.938335,455,0.9796128869056702,6.417277592420578,0.3450253661721945
25025,30.40813,455,,,
25480,28.631864,455,,,
25935,29.162036,455,,,
26390,31.14461,455,0.9814053773880005,6.427798795700073,0.32613145988434555
26845,31.330143,455,,,
27300,30.45998,455,,,
27755,33.226849,455,,,
28210,30.960513,455,,,
28665,29.735361,455,0.9833880066871643,6.4313865303993225,0.3073517819866538
29120,32.631182,455,,,
29575,33.668138,455,,,
30030,33.113753,455,,,
30485,33.015565,455,0.9851287603378296,6.447613406181335,0.28077779766172173
30940,31.950042,455,,,
31395,32.027927,455,,,
31850,34.552961,455,,,
32305,32.907853,455,,,
32760,32.469896,455,0.9843604564666748,6.4608029961586,0.3753901533782482
33215,32.32111,455,,,
33670,33.234281,455,,,
34125,31.983201,455,,,
34580,31.764182,455,0.9847734570503235,6.458834332227707,0.22254414539784192
35035,34.73999,455,,,
35490,33.128218,455,,,
35945,36.486774,455,,,
36400,35.292287,455,,,
36855,35.081736,455,0.9856274127960205,6.437709623575211,0.24546243213117122
37310,36.492748,455,,,
37765,34.846534,455,,,
38220,36.123222,455,,,
38675,34.577967,455,0.9880101680755615,6.422816950082779,0.1929732333868742
39130,36.905548,455,,,
39585,36.650154,455,,,
40040,36.184102,455,,,
40495,35.409813,455,,,
