timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,20.762019,455,,,
910,21.056478,455,,,
1365,20.759449,455,,,
1820,21.298168,455,,,
2275,18.239693,455,,,
2730,19.631101,455,,,
3185,22.587754,455,,,
3640,21.890379,455,,,
4095,20.951306,455,0.020516574382781982,6.399673801660538,1.8398347735404967
4550,21.210545,455,,,
5005,23.050791,455,,,
5460,19.638761,455,,,
5915,21.254453,455,0.49153053760528564,6.402910983562469,1.5995431639254094
6370,20.604179,455,,,
6825,20.189666,455,,,
7280,19.558327,455,,,
7735,21.284568,455,,,
8190,20.146747,455,0.7635205388069153,6.386868166923523,0.9545355543494225
8645,22.169993,455,,,
9100,24.257689,455,,,
9555,22.037667,455,,,
10010,21.565659,455,0.8866171836853027,6.3760440111160275,0.8060921546071768
10465,22.150255,455,,,
10920,22.11419,455,,,
11375,22.06853,455,,,
11830,22.207699,455,,,
12285,22.73625,455,0.9370303750038147,6.401178026199341,0.5813033312559128
12740,21.846638,455,,,
13195,24.486584,455,,,
13650,23.617843,455,,,
14105,22.435909,455,0.955653190612793,6.416276264190674,0.5876681108027697
14560,22.445382,455,,,
15015,21.22893,455,,,
15470,21.522584,455,,,
15925,23.35671,455,,,
16380,21.950644,455,0.9647254943847656,6.409519958496094,0.4433112472295761
16835,21.608584,455,,,
17290,20.875849,455,,,
17745,23.652535,455,,,
18200,23.304158,455,0.971130907535553,6.395059734582901,0.441783445328474
18655,24.499053,455,,,
19110,22.024195,455,,,
19565,24.190992,455,,,
20020,23.623887,455,,,
20475,25.893654,455,0.9752887487411499,6.40507739186287,0.40078255608677865
20930,24.26164,455,,,
21385,24.887488,455,,,
21840,24.568276,455,,,
22295,23.153637,455,0.9781039953231812,6.419264149665833,0.41096095368266106
22750,24.147922,455,,,
23205,24.54612,455,,,
23660,25.077956,455,,,
24115,24.083824,455,,,
24570,27.267687,455,0.9790390133857727,6.420579224824905,0.36047497726976874
25025,26.548082,455,,,
25480,25.921778,455,,,
25935,25.032497,455,,,
26390,26.194973,455,0.9780115485191345,6.413841581344604,0.4282574597746134
26845,28.743831,455,,,
27300,25.733505,455,,,
27755,27.248608,455,,,
28210,26.075196,455,,,
28665,27.996878,455,0.9789633750915527,6.411163300275803,0.43524351716041565
29120,26.467815,455,,,
29575,28.535311,455,,,
30030,26.072532,455,,,
30485,27.773226,455,0.9794250726699829,6.413325548171997,0.4427589993923903
30940,28.604939,455,,,
31395,29.382825,455,,,
31850,27.760529,455,,,
32305,24.928388,455,,,
32760,28.955583,455,0.9780407547950745,6.408186662197113,0.35740017648786304
33215,28.80733,455,,,
33670,28.55482,455,,,
34125,30.084809,455,,,
34580,28.044203,455,0.9803532361984253,6.407889032363892,0.399104811437428
35035,29.08451,455,,,
35490,31.393426,455,,,
35945,33.719912,455,,,
36400,32.085457,455,,,
36855,28.283897,455,0.9813908338546753,6.428366851806641,0.27038457412272693
37310,30.06591,455,,,
37765,31.027409,455,,,
38220,31.813452,455,,,
38675,28.880175,455,0.9841163754463196,6.429764890670777,0.30052011404186485
39130,33.079487,455,,,
39585,32.376682,455,,,
40040,31.920913,455,,,
40495,32.195206,455,,,
40950,32.409389,455,0.9848628044128418,6.419292718172073,0.25425077732652424
41405,31.894271,455,,,
41860,33.079207,455,,,
42315,33.787665,455,,,
42770,31.606479,455,0.985910952091217,6.425801783800125,0.23565011285245419
43225,32.270123,455,,,
43680,31.856735,455,,,
44135,34.254068,455,,,
44590,30.851565,455,,,
45045,33.897009,455,0.9875402450561523,6.437548875808716,0.1822132132947445
45500,32.272374,455,,,
45955,33.415597,455,,,
46410,32.987458,455,,,
46865,34.212783,455,0.9888176918029785,6.443248522281647,0.23577350713312625
47320,36.462921,455,,,
47775,33.888378,455,,,
48230,34.74568,455,,,
48685,36.725593,455,,,
49140,37.104376,455,0.9886240363121033,6.440284794569015,0.2716002883389592
49595,32.746911,455,,,
50050,34.273416,455,,,
50505,34.464469,455,,,
50960,33.853813,455,0.9882944226264954,6.4398628830909725,0.2154602376744151
51415,36.357898,455,,,
51870,37.026292,455,,,
52325,37.19617,455,,,
52780,37.077236,455,,,
53235,36.322033,455,0.9905001521110535,6.451170754432678,0.29216458899900316
53690,38.39629,455,,,
54145,35.763387,455,,,
54600,35.932599,455,,,
55055,35.913685,455,0.9890412092208862,6.454009878635406,0.2050013519823551
55510,39.472837,455,,,
55965,37.307973,455,,,
56420,38.299679,455,,,
56875,35.957043,455,,,
57330,36.39453,455,0.9895009994506836,6.453261548280716,0.17632332537323236
57785,41.803045,455,,,
58240,39.830663,455,,,
58695,39.686109,455,,,
59150,40.851739,455,0.9914343953132629,6.460295110940933,0.167698014061898
59605,40.185925,455,,,
60060,40.44991,455,,,
60515,41.085483,455,,,
60970,37.281536,455,,,
61425,40.082101,455,0.9906415343284607,6.4642072260379795,0.17258708216249943
61880,42.915199,455,,,
62335,40.927555,455,,,
62790,40.547692,455,,,
63245,38.683332,455,0.9918193221092224,6.454132324457168,0.153273787535727
63700,41.008925,455,,,
64155,42.745318,455,,,
64610,43.715383,455,,,
65065,42.27888,455,,,
65520,43.791021,455,0.9911023378372192,6.445154082775116,0.2200877409428358
65975,45.483763,455,,,
66430,43.111066,455,,,
66885,43.530764,455,,,
67340,45.21519,455,0.9922635555267334,6.4440868437290195,0.1578920808620751
67795,43.162264,455,,,
68250,45.153215,455,,,
68705,47.102685,455,,,
69160,46.413178,455,,,
69615,43.70722,455,0.9927167296409607,6.440381276607513,0.17528288066387177
70070,44.11742,455,,,
70525,44.799302,455,,,
70980,45.657904,455,,,
71435,49.438249,455,0.9933533668518066,6.440289956331253,0.20131342066451907
71890,44.700933,455,,,
72345,45.853294,455,,,
72800,47.358109,455,,,
73255,48.199747,455,,,
73710,48.062155,455,0.991672933101654,6.434666794538498,0.1728258986957371
74165,47.258152,455,,,
74620,49.40422,455,,,
75075,51.074247,455,,,
75530,48.511779,455,0.9928747415542603,6.424216490983963,0.15163328154012562
75985,51.186122,455,,,
76440,49.657482,455,,,
76895,48.519443,455,,,
77350,51.569252,455,,,
77805,49.774889,455,0.9933872818946838,6.422750598192215,0.14681980051100255
78260,52.866257,455,,,
78715,50.577103,455,,,
79170,50.414024,455,,,
79625,54.634144,455,0.9941641688346863,6.43723429441452,0.1354221846908331
80080,54.64455,455,,,
80535,53.125485,455,,,
80990,54.012705,455,,,
81445,54.543563,455,,,
81900,53.561594,455,0.9932363629341125,6.45120359659195,0.3634712042286992
82355,52.709094,455,,,
82810,54.794914,455,,,
83265,54.19733,455,,,
83720,57.265188,455,0.9934152960777283,6.455594843626022,0.2861420279368758
84175,55.900756,455,,,
84630,58.79947,455,,,
85085,55.339406,455,,,
85540,56.021118,455,,,
85995,55.156497,455,0.9914610385894775,6.467203146219253,0.18475070018321277
86450,56.706865,455,,,
86905,54.214204,455,,,
87360,57.948558,455,,,
87815,57.342349,455,0.9925456643104553,6.481955552101136,0.16575055746361614
88270,56.558549,455,,,
88725,58.188322,455,,,
89180,59.35142,455,,,
89635,58.068003,455,,,
90090,59.074804,455,0.9944459199905396,6.499666446447373,0.16902308659628035
90545,57.295271,455,,,
91000,57.817339,455,,,
91455,58.091313,455,,,
91910,58.682326,455,0.9943591356277466,6.499757790565491,0.15140696512535215
92365,60.052922,455,,,
92820,61.635963,455,,,
93275,60.769025,455,,,
93730,62.131473,455,,,
94185,62.253203,455,0.9948332905769348,6.4865373253822325,0.13002994302660226
94640,60.247501,455,,,
95095,63.07502,455,,,
95550,62.387678,455,,,
96005,61.801119,455,0.9948765635490417,6.476390618085861,0.13668595449998974
96460,63.208256,455,,,
96915,64.244712,455,,,
97370,60.478118,455,,,
97825,63.001752,455,,,
98280,61.547043,455,0.9941062331199646,6.47436951994896,0.20926699228584766
98735,66.368137,455,,,
99190,65.209832,455,,,
99645,63.518309,455,,,
100100,63.429102,455,0.9951461553573608,6.486493957042694,0.199217236507684
100555,64.281674,455,,,
101010,63.8029,455,,,
101465,65.177484,455,,,
101920,66.875086,455,,,
102375,64.540875,455,0.9946250915527344,6.4969540417194365,0.13897557333111762
102830,63.829893,455,,,
103285,64.809534,455,,,
103740,67.472441,455,,,
104195,67.546065,455,0.994391679763794,6.496903419494629,0.3700398415327072
104650,68.56828,455,,,
105105,67.837445,455,,,
105560,70.26009,455,,,
106015,64.88977,455,,,
106470,68.452311,455,0.9929807782173157,6.498995560407638,0.2989410118199885
106925,70.942778,455,,,
107380,72.848841,455,,,
107835,66.978285,455,,,
108290,72.401074,455,0.9942249059677124,6.516089469194412,0.19807775616645812
108745,73.027373,455,,,
109200,73.232777,455,,,
109655,75.180648,455,,,
110110,75.684585,455,,,
110565,74.104637,455,0.9930415749549866,6.526541954278946,0.22119301864877344
111020,77.174689,455,,,
111475,71.313819,455,,,
111930,75.598462,455,,,
112385,74.43264,455,0.9876993298530579,6.517607718706131,0.27432306855916977
112840,75.211219,455,,,
113295,76.146833,455,,,
113750,74.661675,455,,,
114205,75.144816,455,,,
114660,74.150194,455,0.9913886785507202,6.516275650262832,0.2579329599626362
115115,76.585124,455,,,
115570,77.730852,455,,,
116025,74.733417,455,,,
116480,76.855867,455,0.9944443106651306,6.505215680599212,0.20947991404682398
116935,74.745636,455,,,
117390,75.538784,455,,,
117845,75.418813,455,,,
118300,74.592068,455,,,
118755,77.146106,455,0.9927224516868591,6.5099778234958645,0.19402546668425202
119210,79.074228,455,,,
119665,77.173035,455,,,
120120,78.382525,455,,,
120575,77.306749,455,0.9931547045707703,6.51380780339241,0.23007105085998775
121030,78.088915,455,,,
121485,78.245672,455,,,
121940,79.471939,455,,,
122395,82.674456,455,,,
122850,80.387963,455,0.9941166043281555,6.507559716701508,0.39890397833660246
123305,79.758142,455,,,
123760,83.759081,455,,,
124215,80.954382,455,,,
124670,79.225342,455,0.9946905374526978,6.499635112285614,0.24273137701675296
125125,82.964955,455,,,
125580,82.550797,455,,,
126035,85.447446,455,,,
126490,84.372137,455,,,
126945,81.119472,455,0.9944056272506714,6.504979103803635,0.271056336350739
127400,85.803955,455,,,
127855,85.961854,455,,,
128310,82.488593,455,,,
128765,85.20861,455,0.993451714515686,6.515603715181351,0.23207329753786327
129220,85.504523,455,,,
129675,86.043839,455,,,
130130,86.221028,455,,,
130585,81.597064,455,,,
131040,85.777013,455,0.9940704703330994,6.517901819944382,0.2725458201952279
131495,85.893016,455,,,
131950,86.384299,455,,,
132405,88.149874,455,,,
132860,88.688388,455,0.9939026236534119,6.530733734369278,0.24763058144599198
133315,86.699573,455,,,
133770,90.196389,455,,,
134225,89.467519,455,,,
134680,91.868297,455,,,
135135,86.598465,455,0.9939471483230591,6.530701965093613,0.19735253741964698
135590,86.636157,455,,,
136045,93.583129,455,,,
136500,89.924021,455,,,
136955,91.124801,455,0.9943609833717346,6.512871956825256,0.275429111905396
137410,91.525917,455,,,
137865,92.843366,455,,,
138320,91.906755,455,,,
138775,89.341764,455,,,
139230,90.689236,455,0.996148407459259,6.511874306201935,0.24001036435365677
139685,92.083694,455,,,
140140,90.34043,455,,,
140595,92.282671,455,,,
141050,91.689772,455,0.9964594841003418,6.520426434278488,0.25486555211246015
141505,92.824297,455,,,
141960,94.332078,455,,,
142415,93.173861,455,,,
142870,94.305004,455,,,
143325,93.790568,455,0.9956568479537964,6.53283177614212,0.1668480860069394
143780,92.89374,455,,,
144235,95.705905,455,,,
144690,95.109475,455,,,
145145,93.809405,455,0.9950631856918335,6.551959276199341,0.19526066370308398
145600,93.296409,455,,,
146055,97.653523,455,,,
146510,95.912088,455,,,
146965,95.836066,455,,,
147420,96.258525,455,0.9957959651947021,6.551238381862641,0.2607826743274927
147875,97.424425,455,,,
148330,94.87659,455,,,
148785,96.766867,455,,,
149240,95.623429,455,0.9923045039176941,6.562246835231781,0.20685127209872006
149695,96.669994,455,,,
150150,97.620772,455,,,
150605,97.464946,455,,,
151060,96.192296,455,,,
151515,97.608021,455,0.9954726696014404,6.577967423200607,0.14845713805407285
151970,97.471955,455,,,
152425,99.73408,455,,,
152880,99.013419,455,,,
153335,98.482721,455,0.9948126673698425,6.5698217213153836,0.24427340049296617
153790,97.948603,455,,,
154245,100.603714,455,,,
154700,98.182161,455,,,
155155,98.762946,455,,,
155610,98.668689,455,0.9956848621368408,6.559781289100647,0.16073058564215897
156065,102.897448,455,,,
156520,99.787838,455,,,
156975,100.048461,455,,,
157430,98.389315,455,0.9969621896743774,6.558781528472901,0.19604047341272235
157885,99.105158,455,,,
158340,102.677711,455,,,
158795,103.42858,455,,,
159250,101.640832,455,,,
159705,101.665829,455,0.9962137341499329,6.554099118709564,0.20699127977713944
160160,99.109787,455,,,
160615,98.293158,455,,,
161070,100.647242,455,,,
161525,103.407965,455,0.994577169418335,6.5596087098121645,0.25836462499573826
161980,100.228957,455,,,
162435,101.982982,455,,,
162890,100.818844,455,,,
163345,101.438857,455,,,
163800,99.270343,455,0.9940530061721802,6.555428487062454,0.26816622763872144
164255,101.255624,455,,,
164710,104.435877,455,,,
165165,104.081998,455,,,
165620,100.334649,455,0.9953045845031738,6.554348051548004,0.2004976303316653
166075,103.807029,455,,,
166530,104.93767,455,,,
166985,103.385918,455,,,
167440,105.692394,455,,,
167895,103.871938,455,0.9957674145698547,6.561646217107773,0.2002662277780473
168350,106.109508,455,,,
168805,105.621218,455,,,
169260,107.802478,455,,,
169715,109.253044,455,0.9961873292922974,6.569442939758301,0.2365553812123835
170170,105.282933,455,,,
170625,108.383536,455,,,
171080,104.867371,455,,,
171535,104.023295,455,,,
171990,105.279964,455,0.9938377737998962,6.570690727233886,0.15945308143272996
172445,106.852947,455,,,
172900,108.397797,455,,,
173355,108.500421,455,,,
173810,108.641256,455,0.9924836754798889,6.5618401050567625,0.18209484349936247
174265,107.909775,455,,,
174720,109.483884,455,,,
175175,109.25419,455,,,
175630,109.576255,455,,,
176085,109.1602,455,0.9949036836624146,6.557876926660538,0.16343876402825117
176540,107.500568,455,,,
176995,111.640176,455,,,
177450,109.609879,455,,,
177905,112.08415,455,0.9944694638252258,6.5438434183597565,0.2017519441433251
178360,111.853512,455,,,
178815,113.267442,455,,,
179270,112.757154,455,,,
179725,112.458756,455,,,
180180,114.127571,455,0.994425892829895,6.53907698392868,0.1983298378996551
180635,110.928559,455,,,
181090,112.12947,455,,,
181545,110.567628,455,,,
182000,110.081878,455,0.9964588284492493,6.554458349943161,0.1666088935919106
182455,111.754052,455,,,
182910,112.889504,455,,,
183365,114.516131,455,,,
183820,114.714818,455,,,
184275,114.865821,455,0.9934260845184326,6.5590879142284395,0.16738532278686763
184730,118.679789,455,,,
185185,116.742716,455,,,
185640,114.4806,455,,,
186095,116.449271,455,0.9964240193367004,6.555984544754028,0.18060216046869754
186550,116.120559,455,,,
187005,118.427076,455,,,
187460,118.944529,455,,,
187915,119.519244,455,,,
188370,117.376302,455,0.9960113763809204,6.5504793465137485,0.2499753786250949
188825,119.983547,455,,,
189280,118.357775,455,,,
189735,118.178217,455,,,
190190,118.572588,455,0.9968537092208862,6.5538170337677,0.24686208553612232
190645,120.195305,455,,,
191100,118.925109,455,,,
191555,118.226562,455,,,
192010,121.075327,455,,,
192465,120.965692,455,0.9968103766441345,6.565596961975098,0.2421629624441266
192920,120.396367,455,,,
