timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,15.516463,139,,,
278,23.033473,139,,,
417,22.041184,139,,,
556,17.664283,139,,,
695,5.968949,139,,,
834,2.487619,139,,,
973,16.79658,139,,,
1112,14.908549,139,,,
1251,16.217064,139,,,
1390,14.599791,139,,,
1529,17.648155,139,,,
1668,22.217625,139,,,
1807,16.857106,139,,,
1946,12.493487,139,,,
2085,7.069752,139,,,
2224,10.47929,139,,,
2363,17.335579,139,,,
2502,23.865438,139,,,
2641,6.76851,139,,,
2780,13.717266,139,,,
2919,4.003656,139,,,
3058,3.52388,139,,,
3197,12.534926,139,,,
3336,11.11028,139,,,
3475,13.163159,139,,,
3614,20.48841,139,,,
3753,19.273095,139,,,
3892,14.591167,139,,,
4031,18.880037,139,-0.0018721818923950195,3.4874381572008133,13.679893493652344
4170,12.152956,139,,,
4309,14.651335,139,,,
4448,26.612338,139,,,
4587,17.220799,139,,,
4726,5.204308,139,,,
4865,22.018235,139,,,
5004,13.434321,139,,,
5143,12.741968,139,,,
5282,6.444546,139,,,
5421,12.046348,139,,,
5560,11.195905,139,,,
5699,25.107247,139,,,
5838,17.989157,139,,,
5977,10.174377,139,,,
6116,9.19066,139,9.083747863769531e-05,3.486939200758934,15.177663969993592
6255,5.953644,139,,,
6394,21.661521,139,,,
6533,12.907434,139,,,
6672,7.731635,139,,,
6811,16.312083,139,,,
6950,5.354296,139,,,
7089,17.542692,139,,,
7228,10.55529,139,,,
7367,16.568001,139,,,
7506,17.773935,139,,,
7645,19.245569,139,,,
7784,13.794449,139,,,
7923,10.19979,139,,,
8062,18.992342,139,0.0007877945899963379,3.489208662509918,15.028002011775971
8201,9.642878,139,,,
8340,5.060104,139,,,
8479,32.063166,139,,,
8618,22.81332,139,,,
8757,21.705622,139,,,
8896,11.791257,139,,,
9035,25.181776,139,,,
9174,14.807315,139,,,
9313,19.510725,139,,,
9452,5.567019,139,,,
9591,7.738218,139,,,
9730,19.775771,139,,,
9869,16.09574,139,,,
10008,17.831993,139,,,
10147,23.421239,139,0.00042724609375,3.497999891638756,14.878394222259521
10286,18.343209,139,,,
10425,4.037469,139,,,
10564,22.108959,139,,,
10703,5.872972,139,,,
10842,23.64558,139,,,
10981,13.088499,139,,,
11120,10.860684,139,,,
11259,6.335238,139,,,
11398,20.345634,139,,,
11537,30.269613,139,,,
