timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-77.611161,455,,,
910,-74.854139,455,,,
1365,-76.934155,455,,,
1820,-77.635098,455,,,
2275,-78.054062,455,,,
2730,-76.373898,455,,,
3185,-76.210754,455,,,
3640,-78.327899,455,,,
4095,-76.648077,455,0.03199988603591919,6.386422318220139,3.8350948810577394
4550,-75.5119,455,,,
5005,-77.982363,455,,,
5460,-74.425312,455,,,
5915,-77.487136,455,0.19001412391662598,6.385086089372635,3.8204535067081453
6370,-75.666219,455,,,
6825,-76.474675,455,,,
7280,-76.595658,455,,,
7735,-77.981554,455,,,
8190,-75.186417,455,0.4133530259132385,6.393066889047622,3.039435385167599
8645,-76.980792,455,,,
9100,-75.967557,455,,,
9555,-77.906281,455,,,
10010,-75.567706,455,0.6804286241531372,6.3829127788543705,2.252095490694046
10465,-79.734725,455,,,
10920,-78.099922,455,,,
11375,-76.747474,455,,,
11830,-74.32241,455,,,
12285,-78.816121,455,0.7972778677940369,6.394420439004898,2.1148291736841203
12740,-78.290155,455,,,
13195,-77.356353,455,,,
13650,-75.479904,455,,,
14105,-77.400005,455,0.889389157295227,6.416414040327072,1.6078701123595238
14560,-79.024028,455,,,
15015,-77.022996,455,,,
15470,-77.650137,455,,,
15925,-74.815176,455,,,
16380,-75.68375,455,0.8957338929176331,6.4413886070251465,1.6382780320942403
16835,-76.618718,455,,,
17290,-76.860768,455,,,
17745,-77.414094,455,,,
18200,-74.280254,455,0.9304504990577698,6.471375757455826,1.3755806334316731
18655,-76.020635,455,,,
19110,-75.041472,455,,,
19565,-73.489555,455,,,
20020,-74.598552,455,,,
20475,-74.501426,455,0.9311277866363525,6.484386122226715,1.3321176782250403
20930,-71.566033,455,,,
21385,-74.175449,455,,,
21840,-73.896028,455,,,
22295,-74.124221,455,0.9508786201477051,6.499778062105179,1.1304912574589252
22750,-73.268152,455,,,
23205,-72.125131,455,,,
23660,-75.078708,455,,,
24115,-72.635534,455,,,
24570,-71.551155,455,0.9480099678039551,6.513924992084503,1.144766343384981
25025,-75.295263,455,,,
25480,-72.111262,455,,,
25935,-73.372659,455,,,
26390,-72.380641,455,0.9618866443634033,6.539658445119858,0.9672080330550671
26845,-71.850577,455,,,
27300,-73.00681,455,,,
27755,-73.07008,455,,,
28210,-70.249621,455,,,
28665,-74.936965,455,0.9542310833930969,6.567759919166565,0.9952736325562
29120,-70.671995,455,,,
29575,-71.793111,455,,,
30030,-73.516525,455,,,
30485,-71.268363,455,0.9570841193199158,6.58926745057106,1.122134054452181
30940,-71.871127,455,,,
31395,-71.79885,455,,,
31850,-72.270614,455,,,
32305,-72.279508,455,,,
32760,-72.357229,455,0.9543479681015015,6.605738186836243,1.0138619735836982
33215,-71.43179,455,,,
33670,-72.533693,455,,,
34125,-72.031333,455,,,
34580,-71.617621,455,0.9633508920669556,6.62592979669571,0.9289555087685585
35035,-69.475856,455,,,
35490,-70.700411,455,,,
35945,-71.96742,455,,,
36400,-71.37895,455,,,
36855,-70.052125,455,0.9620825052261353,6.651554340124131,0.8753989640623331
37310,-72.372392,455,,,
37765,-70.136661,455,,,
38220,-71.082942,455,,,
38675,-73.129612,455,0.9661826491355896,6.668691855669022,0.8765893507748842
39130,-71.307072,455,,,
