timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-49.980486,455,,,
910,-51.643371,455,,,
1365,-51.962765,455,,,
1820,-52.260807,455,,,
2275,-50.474924,455,,,
2730,-52.86087,455,,,
3185,-46.340754,455,,,
3640,-53.855017,455,,,
4095,-51.368444,455,0.034935712814331055,6.419631981849671,13.334627544879913
4550,-49.763647,455,,,
5005,-52.660724,455,,,
5460,-48.629707,455,,,
5915,-50.95568,455,0.32654207944869995,6.449806958436966,11.646578299999238
6370,-48.141544,455,,,
6825,-48.555522,455,,,
7280,-48.427547,455,,,
7735,-48.840995,455,,,
8190,-49.69208,455,0.5962491035461426,6.468565881252289,7.983815276622773
8645,-46.501077,455,,,
9100,-50.626743,455,,,
9555,-48.905091,455,,,
10010,-47.603245,455,0.7561509013175964,6.480689817667008,7.287127697467804
10465,-47.157218,455,,,
10920,-48.445993,455,,,
11375,-44.78948,455,,,
11830,-46.604721,455,,,
12285,-51.766733,455,0.8332536816596985,6.476135087013245,5.058607563376427
12740,-47.608058,455,,,
13195,-47.294508,455,,,
13650,-50.945553,455,,,
14105,-47.670361,455,0.8886456489562988,6.47528150677681,4.942468795180321
14560,-49.599787,455,,,
15015,-45.665748,455,,,
15470,-51.561699,455,,,
15925,-49.826971,455,,,
16380,-46.28542,455,0.9137247204780579,6.493719613552093,4.05980210006237
16835,-46.648543,455,,,
17290,-47.867579,455,,,
17745,-52.24957,455,,,
18200,-44.63144,455,0.9157953858375549,6.502371734380722,4.134312795102597
18655,-45.604102,455,,,
19110,-50.186114,455,,,
19565,-46.508689,455,,,
20020,-52.948433,455,,,
20475,-47.988436,455,0.935765266418457,6.505258065462113,3.2611453592777253
20930,-45.481978,455,,,
21385,-46.722554,455,,,
21840,-47.742447,455,,,
22295,-43.444219,455,0.9407616853713989,6.509920370578766,3.433405251801014
22750,-46.857173,455,,,
23205,-45.064443,455,,,
23660,-45.317685,455,,,
24115,-47.158772,455,,,
