timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-59.941124,455,,,
910,-64.688677,455,,,
1365,-64.10476,455,,,
1820,-62.137354,455,,,
2275,-65.517399,455,,,
2730,-62.248706,455,,,
3185,-61.632988,455,,,
3640,-62.254819,455,,,
4095,-60.605673,455,0.041890084743499756,6.383857375383377,13.921970891952515
4550,-61.068606,455,,,
5005,-65.00075,455,,,
5460,-64.147571,455,,,
5915,-63.048653,455,0.3249691128730774,6.383808070421219,12.0580483853817
6370,-61.694553,455,,,
6825,-64.101567,455,,,
7280,-63.549586,455,,,
7735,-62.083402,455,,,
8190,-60.678646,455,0.6006367206573486,6.38069184422493,9.107390177249908
8645,-63.951813,455,,,
9100,-63.521162,455,,,
9555,-62.9479,455,,,
10010,-61.30036,455,0.759236216545105,6.362645632028579,7.857798713445663
10465,-61.721988,455,,,
10920,-61.590587,455,,,
11375,-60.128383,455,,,
11830,-63.462755,455,,,
12285,-63.235539,455,0.8435299396514893,6.358665162324906,5.891761812567711
12740,-65.108112,455,,,
13195,-63.593564,455,,,
13650,-65.278317,455,,,
14105,-64.38332,455,0.8868362307548523,6.377565413713455,5.433691754937172
14560,-65.488526,455,,,
15015,-66.284203,455,,,
15470,-61.478084,455,,,
15925,-69.527605,455,,,
16380,-60.929565,455,0.9185398817062378,6.37175350189209,4.194288684427738
16835,-65.410794,455,,,
17290,-63.973966,455,,,
17745,-60.799411,455,,,
18200,-65.096143,455,0.9310003519058228,6.374866342544555,4.070577028393745
18655,-63.191381,455,,,
19110,-65.221563,455,,,
19565,-63.903497,455,,,
20020,-60.324663,455,,,
20475,-64.026427,455,0.955355703830719,6.3937679648399355,2.897481533885002
20930,-62.803802,455,,,
21385,-63.447236,455,,,
21840,-62.49622,455,,,
22295,-62.290222,455,0.9523641467094421,6.4019356906414036,3.3169323816895484
22750,-63.175379,455,,,
23205,-61.733791,455,,,
23660,-61.89552,455,,,
24115,-62.292007,455,,,
24570,-60.946713,455,0.963813841342926,6.4083558320999146,2.4490685284137728
25025,-64.057314,455,,,
25480,-62.616194,455,,,
25935,-59.596854,455,,,
26390,-58.141529,455,0.9580623507499695,6.416851043701172,2.767659891396761
26845,-62.36825,455,,,
27300,-68.304988,455,,,
27755,-64.918623,455,,,
28210,-62.450946,455,,,
28665,-62.808103,455,0.9671908617019653,6.435502845048904,2.110506147891283
29120,-59.387084,455,,,
29575,-62.112908,455,,,
30030,-62.552739,455,,,
30485,-62.559763,455,0.9549137353897095,6.459374421834946,2.77072966247797
30940,-62.123579,455,,,
31395,-60.060499,455,,,
31850,-61.174648,455,,,
32305,-56.546432,455,,,
32760,-54.981567,455,0.9627339839935303,6.481285285949707,2.2239205546677114
33215,-62.306482,455,,,
33670,-62.584771,455,,,
34125,-57.996478,455,,,
34580,-59.82224,455,0.9657092094421387,6.495572483539581,1.9013912186026574
35035,-59.904992,455,,,
35490,-57.900493,455,,,
35945,-58.001658,455,,,
36400,-55.244684,455,,,
36855,-55.627981,455,0.9758898615837097,6.50853231549263,1.5941645629703998
37310,-57.230924,455,,,
37765,-56.455898,455,,,
38220,-54.662889,455,,,
38675,-52.184622,455,0.9703994989395142,6.524281138181687,1.8480792373418808
39130,-52.528485,455,,,
39585,-55.833548,455,,,
40040,-56.576388,455,,,
40495,-58.640967,455,,,
40950,-58.052029,455,0.9814502596855164,6.5345969021320345,1.36090497225523
41405,-52.822646,455,,,
41860,-56.119805,455,,,
42315,-50.79036,455,,,
42770,-52.369011,455,0.9791330099105835,6.545323199033737,1.4099452398717403
43225,-53.102802,455,,,
43680,-55.771671,455,,,
44135,-49.833704,455,,,
44590,-51.576341,455,,,
45045,-53.028334,455,0.9856281280517578,6.561524540185928,0.9859839774668216
45500,-52.90748,455,,,
45955,-52.022021,455,,,
46410,-57.743458,455,,,
46865,-52.09929,455,0.9807160496711731,6.5859691321849825,1.2795381102710963
47320,-45.685071,455,,,
47775,-46.802771,455,,,
48230,-49.550966,455,,,
48685,-50.71674,455,,,
49140,-48.727496,455,0.9868937730789185,6.621731674671173,0.898284176364541
49595,-47.158259,455,,,
50050,-49.498532,455,,,
50505,-44.855016,455,,,
50960,-49.522444,455,0.9844088554382324,6.652606189250946,1.00710977204144
51415,-42.480212,455,,,
51870,-42.298322,455,,,
52325,-43.951714,455,,,
52780,-45.347348,455,,,
53235,-48.934798,455,0.9873963594436646,6.670204669237137,0.9997041255235672
53690,-40.400425,455,,,
54145,-41.514489,455,,,
54600,-41.584291,455,,,
55055,-46.29169,455,0.9875622391700745,6.702932226657867,0.8556423529982566
55510,-43.410405,455,,,
55965,-39.989058,455,,,
56420,-37.28704,455,,,
56875,-42.385249,455,,,
57330,-44.023048,455,0.9918813109397888,6.7295181334018705,0.6601809032261372
57785,-34.573119,455,,,
58240,-42.871458,455,,,
58695,-42.226659,455,,,
59150,-36.357759,455,0.9913343191146851,6.764010125398636,0.7052459344267845
59605,-35.899686,455,,,
60060,-37.959461,455,,,
60515,-34.104617,455,,,
60970,-36.520511,455,,,
61425,-37.907322,455,0.9926080107688904,6.78618688583374,0.6568672131747008
61880,-33.924228,455,,,
62335,-31.895286,455,,,
62790,-31.281052,455,,,
63245,-33.199258,455,0.9912243485450745,6.794396591186524,0.745274105295539
63700,-32.864916,455,,,
64155,-34.471409,455,,,
64610,-32.815993,455,,,
65065,-32.698243,455,,,
