timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-63.984627,455,,,
910,-65.029251,455,,,
1365,-57.680247,455,,,
1820,-60.667142,455,,,
2275,-63.728666,455,,,
2730,-65.059483,455,,,
3185,-59.28659,455,,,
3640,-62.976333,455,,,
4095,-61.367999,455,0.040206849575042725,6.410826194286346,13.070694673061372
4550,-59.595745,455,,,
5005,-62.965553,455,,,
5460,-62.584638,455,,,
5915,-64.640421,455,0.3768594264984131,6.426256930828094,10.426375740766526
6370,-60.443699,455,,,
6825,-62.02947,455,,,
7280,-60.69849,455,,,
7735,-60.366558,455,,,
8190,-63.226355,455,0.6541880369186401,6.416725140810013,7.238177490234375
8645,-59.865641,455,,,
9100,-62.093726,455,,,
9555,-61.00891,455,,,
10010,-60.977693,455,0.7810945510864258,6.421417969465256,5.564667293429375
10465,-60.522542,455,,,
10920,-58.471299,455,,,
11375,-63.21958,455,,,
11830,-59.979542,455,,,
12285,-61.903924,455,0.8653348684310913,6.440559643507004,4.761914774775505
12740,-63.430228,455,,,
13195,-57.776286,455,,,
13650,-62.020185,455,,,
14105,-61.767856,455,0.9126270413398743,6.448391151428223,4.006929814815521
14560,-57.058964,455,,,
15015,-59.842222,455,,,
15470,-63.329265,455,,,
15925,-63.735537,455,,,
16380,-56.513794,455,0.9368308782577515,6.4550896942615505,3.0111803114414215
16835,-55.594515,455,,,
17290,-57.238186,455,,,
17745,-62.627159,455,,,
18200,-59.415613,455,0.9593005776405334,6.460715526342392,2.132295312732458
18655,-56.774098,455,,,
19110,-57.390302,455,,,
19565,-52.391232,455,,,
20020,-52.791133,455,,,
20475,-55.537306,455,0.9734434485435486,6.489481824636459,1.4809226483106612
20930,-54.605611,455,,,
21385,-53.26958,455,,,
21840,-56.692702,455,,,
22295,-55.348651,455,0.9830458164215088,6.508078646659851,1.0915350779891013
22750,-53.724573,455,,,
23205,-53.90904,455,,,
23660,-54.383555,455,,,
24115,-52.430519,455,,,
24570,-54.915601,455,0.9872788190841675,6.529301792383194,0.9234658077359199
25025,-54.334233,455,,,
25480,-49.828965,455,,,
25935,-55.666836,455,,,
26390,-52.200289,455,0.9881958365440369,6.55321814417839,0.9390561982989312
26845,-54.695343,455,,,
27300,-52.921352,455,,,
27755,-53.861156,455,,,
28210,-50.737615,455,,,
28665,-48.503555,455,0.9871569275856018,6.585638618469238,0.868744533509016
29120,-47.470673,455,,,
29575,-49.039605,455,,,
30030,-52.252955,455,,,
30485,-49.851288,455,0.9906143546104431,6.608420389890671,0.6803328983485699
30940,-46.807992,455,,,
31395,-50.068627,455,,,
31850,-49.550146,455,,,
32305,-48.173733,455,,,
32760,-44.520304,455,0.9918926358222961,6.640470361709594,0.6625075984746218
33215,-47.632976,455,,,
33670,-46.058556,455,,,
34125,-48.61723,455,,,
34580,-49.431798,455,0.9921044707298279,6.674258732795716,0.5900618821382523
35035,-45.398432,455,,,
35490,-44.818359,455,,,
35945,-45.733216,455,,,
36400,-45.550508,455,,,
36855,-47.619406,455,0.9926626086235046,6.723779380321503,0.5292140305042267
37310,-44.734931,455,,,
37765,-48.548334,455,,,
38220,-43.77014,455,,,
38675,-46.425236,455,0.9939223527908325,6.774619513750077,0.5993036743253469
39130,-42.563057,455,,,
39585,-44.727887,455,,,
40040,-44.029665,455,,,
40495,-39.831618,455,,,
40950,-37.229287,455,0.9947411417961121,6.787979954481125,0.49463605135679245
41405,-39.932387,455,,,
41860,-43.534323,455,,,
42315,-40.402144,455,,,
42770,-41.01319,455,0.995158314704895,6.808316731452942,0.5170235369354487
43225,-45.437056,455,,,
43680,-43.915838,455,,,
44135,-45.155821,455,,,
44590,-40.963886,455,,,
45045,-37.094505,455,0.9953597187995911,6.8447688817977905,0.5335561830550433
45500,-41.837248,455,,,
45955,-40.510552,455,,,
46410,-38.938211,455,,,
46865,-39.789889,455,0.9953227639198303,6.881728494167328,0.4527247682213783
47320,-39.180462,455,,,
47775,-38.541082,455,,,
48230,-38.127826,455,,,
48685,-37.652868,455,,,
49140,-38.481548,455,0.9960154294967651,6.907389080524444,0.45307623259723184
49595,-41.35337,455,,,
50050,-36.904042,455,,,
50505,-35.146627,455,,,
50960,-34.474333,455,0.9964020252227783,6.933853662014007,0.39371246173977853
51415,-34.987366,455,,,
51870,-32.721968,455,,,
52325,-33.463845,455,,,
52780,-31.714285,455,,,
53235,-27.591403,455,0.9960981011390686,6.9659345805644985,0.39247387610375883
53690,-31.577813,455,,,
54145,-33.865717,455,,,
54600,-35.775617,455,,,
55055,-28.943157,455,0.9961264133453369,6.990987223386765,0.40537318103015424
55510,-30.499442,455,,,
55965,-30.804213,455,,,
56420,-28.206326,455,,,
56875,-27.265712,455,,,
57330,-31.728998,455,0.9965053796768188,7.010551565885544,0.4076720982789993
57785,-23.598214,455,,,
58240,-27.057679,455,,,
58695,-24.479317,455,,,
59150,-30.513033,455,0.9968197345733643,7.0294624209403995,0.38377067297697065
59605,-24.847092,455,,,
60060,-24.139537,455,,,
60515,-24.712393,455,,,
60970,-27.742879,455,,,
61425,-27.755761,455,0.9962586164474487,7.041940236091614,0.44344278499484063
61880,-24.894309,455,,,
62335,-24.699605,455,,,
62790,-26.057937,455,,,
63245,-20.748459,455,0.9969450235366821,7.08792205452919,0.35336785912513735
63700,-22.91703,455,,,
64155,-17.599578,455,,,
64610,-18.666663,455,,,
65065,-17.765079,455,,,
65520,-19.545083,455,0.9976516366004944,7.142912924289703,0.3207811815664172
65975,-16.85327,455,,,
66430,-19.155352,455,,,
66885,-16.545799,455,,,
67340,-19.512599,455,0.9972960948944092,7.161078923940659,0.40831676200032235
