timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-44.939202,455,,,
910,-44.794699,455,,,
1365,-46.366225,455,,,
1820,-44.561116,455,,,
2275,-43.597629,455,,,
2730,-45.927051,455,,,
3185,-44.054699,455,,,
3640,-45.397244,455,,,
4095,-43.448636,455,-0.007188320159912109,6.4156071722507475,3.097883480787277
4550,-43.821846,455,,,
5005,-43.535856,455,,,
5460,-44.947111,455,,,
5915,-46.337055,455,0.311822772026062,6.4633780241012575,2.2804223164916038
6370,-43.590889,455,,,
6825,-45.007704,455,,,
7280,-42.803728,455,,,
7735,-43.153335,455,,,
8190,-43.614687,455,0.6650662422180176,6.498487901687622,1.9129029244184494
8645,-43.818596,455,,,
9100,-43.295192,455,,,
9555,-42.655697,455,,,
10010,-43.348915,455,0.8045415878295898,6.514317560195923,1.4917346619069576
10465,-44.265852,455,,,
10920,-44.949619,455,,,
11375,-42.302859,455,,,
11830,-43.305334,455,,,
12285,-45.227365,455,0.8915858268737793,6.527131479978562,1.30420965179801
12740,-44.604316,455,,,
13195,-45.309429,455,,,
13650,-43.899579,455,,,
14105,-43.71792,455,0.9358371496200562,6.537500500679016,0.7092004992067814
14560,-43.794971,455,,,
15015,-44.326915,455,,,
15470,-43.769646,455,,,
15925,-45.695399,455,,,
16380,-42.050663,455,0.9621098637580872,6.552067553997039,0.6961529813706875
16835,-45.447876,455,,,
17290,-45.469766,455,,,
17745,-43.814173,455,,,
18200,-40.153694,455,0.9644261598587036,6.568125814199448,0.5673190675675869
18655,-43.913106,455,,,
19110,-43.650492,455,,,
19565,-41.463006,455,,,
20020,-44.061226,455,,,
20475,-44.526042,455,0.9712229371070862,6.600978255271912,0.441755810379982
20930,-40.7808,455,,,
21385,-40.600156,455,,,
21840,-41.654031,455,,,
22295,-43.049597,455,0.9783812165260315,6.6239202439785005,0.3903538782149553
22750,-44.060247,455,,,
23205,-41.859871,455,,,
23660,-42.079638,455,,,
24115,-40.174268,455,,,
24570,-42.711504,455,0.9815247058868408,6.654829609394073,0.32719292789697646
25025,-42.184763,455,,,
25480,-41.806543,455,,,
25935,-43.09854,455,,,
26390,-39.239356,455,0.9846899509429932,6.693558615446091,0.3012159975245595
26845,-38.310289,455,,,
27300,-39.242027,455,,,
27755,-37.944945,455,,,
28210,-38.881574,455,,,
28665,-39.236305,455,0.986086368560791,6.721878075599671,0.25652065947651864
29120,-35.24303,455,,,
29575,-36.566393,455,,,
30030,-38.129926,455,,,
30485,-35.832455,455,0.9863795638084412,6.761952954530716,0.2394564462825656
30940,-39.350876,455,,,
31395,-37.692434,455,,,
31850,-35.483767,455,,,
32305,-35.662396,455,,,
32760,-36.893386,455,0.9859533905982971,6.812477964162826,0.2917115744203329
33215,-37.060852,455,,,
33670,-35.944232,455,,,
34125,-36.929497,455,,,
34580,-38.335806,455,0.989345371723175,6.855062329769135,0.2333212809637189
35035,-34.072859,455,,,
35490,-35.363914,455,,,
35945,-33.590291,455,,,
36400,-33.5672,455,,,
36855,-33.049958,455,0.9865262508392334,6.880394089221954,0.2613501902669668
37310,-34.023163,455,,,
37765,-35.619771,455,,,
38220,-34.101902,455,,,
38675,-34.864488,455,0.9899328351020813,6.904362905025482,0.2229428429156542
39130,-32.736341,455,,,
39585,-34.195493,455,,,
40040,-34.24235,455,,,
40495,-34.388972,455,,,
40950,-32.283488,455,0.9894276857376099,6.943636804819107,0.25741794146597385
41405,-32.407267,455,,,
41860,-34.363166,455,,,
42315,-33.707716,455,,,
42770,-33.297682,455,0.9913095831871033,6.990100246667862,0.1833796441555023
43225,-31.812975,455,,,
43680,-34.012012,455,,,
44135,-31.035315,455,,,
44590,-28.441551,455,,,
45045,-30.570026,455,0.9904469847679138,7.051225370168686,0.18521005660295486
45500,-31.671498,455,,,
45955,-30.565467,455,,,
46410,-29.996619,455,,,
46865,-31.675986,455,0.990071177482605,7.100300621986389,0.19638097770512103
47320,-30.460529,455,,,
47775,-30.710367,455,,,
48230,-29.712857,455,,,
48685,-30.344435,455,,,
49140,-29.522737,455,0.9903146028518677,7.145550501346588,0.4964265560731292
49595,-29.279267,455,,,
50050,-27.119047,455,,,
50505,-29.089776,455,,,
50960,-27.424974,455,0.9918692708015442,7.175149244070053,0.2972547149285674
51415,-27.608295,455,,,
51870,-27.534334,455,,,
52325,-28.801646,455,,,
52780,-27.012452,455,,,
53235,-27.716919,455,0.9888312816619873,7.19941668510437,0.3074632719159126
53690,-25.554272,455,,,
54145,-25.693569,455,,,
54600,-25.984361,455,,,
55055,-23.492152,455,0.990260899066925,7.24553000330925,0.16823990875855088
55510,-25.948676,455,,,
55965,-27.880942,455,,,
56420,-25.366365,455,,,
56875,-27.938832,455,,,
57330,-27.516185,455,0.9895919561386108,7.300623214244842,0.18763890210539103
57785,-21.993548,455,,,
58240,-25.360332,455,,,
58695,-23.745179,455,,,
59150,-23.726879,455,0.9910760521888733,7.359924441576004,0.1603418138809502
59605,-21.037038,455,,,
60060,-24.450948,455,,,
60515,-22.316252,455,,,
60970,-24.478867,455,,,
61425,-23.429425,455,0.9914631247520447,7.4138532936573025,0.22099877372384072
61880,-20.79145,455,,,
62335,-23.770662,455,,,
62790,-23.285348,455,,,
63245,-22.225339,455,0.992303729057312,7.451802027225495,0.13240392860025169
63700,-22.827826,455,,,
64155,-20.428512,455,,,
64610,-20.627842,455,,,
65065,-18.830608,455,,,
65520,-21.162137,455,0.9927813410758972,7.502336990833283,0.136973556317389
65975,-19.125287,455,,,
66430,-18.563304,455,,,
66885,-18.149336,455,,,
67340,-20.53962,455,0.9932582378387451,7.542340958118439,0.13358977753669024
67795,-17.481786,455,,,
68250,-19.00836,455,,,
68705,-14.856812,455,,,
69160,-17.097138,455,,,
69615,-17.324611,455,0.9934027791023254,7.58638288974762,0.12984404861927032
70070,-15.443987,455,,,
70525,-20.530079,455,,,
70980,-16.605552,455,,,
71435,-17.700738,455,0.9937480092048645,7.636358582973481,0.13294415818527341
71890,-19.378183,455,,,
72345,-15.085593,455,,,
72800,-18.162213,455,,,
73255,-12.441714,455,,,
73710,-13.414485,455,0.9939593076705933,7.689197421073914,0.1589769979007542
74165,-13.340788,455,,,
74620,-14.763309,455,,,
75075,-13.959185,455,,,
75530,-15.793703,455,0.9940679669380188,7.731229823827744,0.13831873936578631
75985,-11.349163,455,,,
76440,-14.221879,455,,,
76895,-12.978317,455,,,
77350,-14.257021,455,,,
77805,-12.38727,455,0.9939113855361938,7.7754947423934935,0.1221268187277019
78260,-12.257705,455,,,
78715,-10.34595,455,,,
79170,-11.088481,455,,,
79625,-11.981408,455,0.9943529367446899,7.8237436532974245,0.13198818704113363
80080,-11.605808,455,,,
80535,-11.515434,455,,,
80990,-11.037569,455,,,
81445,-12.32362,455,,,
81900,-7.237807,455,0.9947404265403748,7.902045828104019,0.10144620956853032
82355,-8.313275,455,,,
82810,-8.153805,455,,,
83265,-7.201737,455,,,
83720,-6.855337,455,0.993986189365387,7.958278155326843,0.16430124826729298
84175,-8.90267,455,,,
84630,-7.104675,455,,,
85085,-9.88622,455,,,
85540,-6.180872,455,,,
85995,-6.215567,455,0.9932790994644165,8.002280294895172,0.13446869840845466
86450,-7.029139,455,,,
86905,-7.29596,455,,,
87360,-7.270509,455,,,
87815,-9.304022,455,0.991169273853302,8.069670975208282,0.10568230841308832
88270,-5.891294,455,,,
88725,-6.422459,455,,,
89180,-5.926972,455,,,
89635,-3.603289,455,,,
90090,-3.767655,455,0.9941675662994385,8.130616056919099,0.10461885128170252
90545,-3.034238,455,,,
91000,-6.029338,455,,,
91455,-3.254063,455,,,
91910,-4.417304,455,0.9940273761749268,8.171888315677643,0.2908305462449789
92365,-1.218844,455,,,
92820,-3.032871,455,,,
93275,-3.069034,455,,,
93730,-4.30237,455,,,
94185,-4.979749,455,0.9946808815002441,8.197605156898499,0.26974330181255934
94640,-4.17697,455,,,
95095,-3.434317,455,,,
95550,-2.843106,455,,,
96005,-3.021894,455,0.994432806968689,8.22848575115204,0.18184747342020274
96460,-2.600453,455,,,
96915,-1.423266,455,,,
97370,-0.060012,455,,,
97825,-2.401503,455,,,
98280,-1.390852,455,0.9945348501205444,8.282999610900879,0.10758596826344728
98735,0.457831,455,,,
99190,1.334082,455,,,
99645,0.966654,455,,,
100100,2.3827,455,0.9955470561981201,8.343737828731538,0.0952532715164125
100555,2.048975,455,,,
101010,0.838056,455,,,
101465,2.68397,455,,,
101920,3.915457,455,,,
102375,1.751491,455,0.9946683049201965,8.401963937282563,0.10886868396773934
102830,4.421093,455,,,
103285,5.436948,455,,,
103740,7.788991,455,,,
104195,7.273466,455,0.9955554604530334,8.46955771446228,0.09432105226442218
104650,6.428124,455,,,
105105,8.193093,455,,,
105560,8.210126,455,,,
106015,4.698742,455,,,
106470,6.248822,455,0.9947665333747864,8.521116697788239,0.1474727638065815
106925,5.964535,455,,,
107380,7.363875,455,,,
107835,3.595925,455,,,
108290,5.36034,455,0.9927915930747986,8.55447268486023,0.11455078907310963
108745,6.698362,455,,,
109200,8.158223,455,,,
109655,8.627393,455,,,
110110,8.296817,455,,,
110565,7.135745,455,0.9941142201423645,8.584681963920593,0.11306281639263034
