timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,-8.655297,139,,,
278,-8.965909,139,,,
417,3.548225,139,,,
556,-17.014251,139,,,
695,2.645709,139,,,
834,-11.226582,139,,,
973,-14.21745,139,,,
1112,-5.453802,139,,,
1251,4.857331,139,,,
1390,-5.995042,139,,,
1529,2.346977,139,,,
1668,-7.61348,139,,,
1807,-3.420628,139,,,
1946,-6.782389,139,,,
2085,-3.880658,139,,,
2224,2.03035,139,,,
2363,-8.785154,139,,,
2502,-1.727832,139,,,
2641,-1.561822,139,,,
2780,-12.279552,139,,,
2919,-11.474443,139,,,
3058,6.877809,139,,,
3197,-12.897139,139,,,
3336,-7.647013,139,,,
3475,-1.75663,139,,,
3614,3.714556,139,,,
3753,-5.662958,139,,,
3892,-18.32972,139,,,
4031,-8.346592,139,-0.0025805234909057617,3.4998545080423353,13.4917942404747
4170,-5.879718,139,,,
4309,-5.183197,139,,,
4448,-9.838737,139,,,
4587,5.996606,139,,,
4726,-1.837553,139,,,
4865,6.414191,139,,,
5004,-17.324763,139,,,
5143,-3.9916,139,,,
5282,-0.757745,139,,,
5421,3.069636,139,,,
5560,-1.374982,139,,,
5699,-10.835078,139,,,
5838,1.737669,139,,,
5977,1.277483,139,,,
6116,-1.857057,139,0.02092045545578003,3.514120477437973,12.51913560628891
6255,-10.124483,139,,,
6394,-7.196876,139,,,
6533,-0.455899,139,,,
6672,-7.301778,139,,,
6811,-2.83963,139,,,
6950,-8.69613,139,,,
7089,-6.659723,139,,,
7228,-4.948611,139,,,
7367,2.938851,139,,,
7506,0.763193,139,,,
7645,-6.82141,139,,,
7784,-5.43291,139,,,
7923,-11.66393,139,,,
8062,0.46736,139,0.17103922367095947,3.514486262202263,9.426574718952178
8201,6.946041,139,,,
8340,-5.19576,139,,,
8479,-3.138334,139,,,
8618,-2.168967,139,,,
8757,-7.059739,139,,,
8896,1.355487,139,,,
9035,3.122187,139,,,
9174,-11.287432,139,,,
9313,-7.448274,139,,,
9452,-5.777019,139,,,
9591,2.776582,139,,,
9730,-10.312216,139,,,
9869,-10.123763,139,,,
10008,-3.214741,139,,,
10147,-8.798694,139,0.5307228565216064,3.5102498173713683,7.333393883705139
10286,-15.498057,139,,,
10425,-5.347272,139,,,
10564,-4.535862,139,,,
10703,-10.253014,139,,,
10842,-9.997097,139,,,
10981,-0.878,139,,,
11120,-10.248041,139,,,
11259,-3.366689,139,,,
11398,-7.572848,139,,,
11537,-13.114667,139,,,
11676,2.994684,139,,,
11815,-3.777438,139,,,
11954,-9.948858,139,,,
12093,-9.883163,139,,,
12232,-10.474081,139,0.6906813979148865,3.5160663962364196,6.127357709407806
12371,-4.575429,139,,,
