timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-63.984627,455,,,
910,-65.031732,455,,,
1365,-57.68356,455,,,
1820,-60.663317,455,,,
2275,-63.673394,455,,,
2730,-65.012365,455,,,
3185,-59.225682,455,,,
3640,-62.910683,455,,,
4095,-61.325033,455,0.04016798734664917,6.4108824849128725,13.07111896276474
4550,-59.616601,455,,,
5005,-63.025731,455,,,
5460,-62.637899,455,,,
5915,-64.692797,455,0.37626999616622925,6.425623613595962,10.432228255271912
6370,-60.584329,455,,,
6825,-62.220495,455,,,
7280,-60.865312,455,,,
7735,-60.576861,455,,,
8190,-63.435427,455,0.6537154912948608,6.416830432415009,7.267114228010177
8645,-60.468973,455,,,
9100,-62.639868,455,,,
9555,-61.538731,455,,,
10010,-61.478835,455,0.7803393602371216,6.420609831809998,5.68465722501278
10465,-60.825705,455,,,
10920,-58.973577,455,,,
11375,-63.63326,455,,,
11830,-60.460823,455,,,
12285,-62.423009,455,0.8543262481689453,6.439638233184814,4.8649006456136705
12740,-64.183185,455,,,
13195,-58.438819,455,,,
13650,-62.716731,455,,,
14105,-62.593908,455,0.9077268838882446,6.445381689071655,4.240543615818024
14560,-57.415144,455,,,
15015,-60.018106,455,,,
15470,-63.465528,455,,,
15925,-63.801597,455,,,
16380,-56.561064,455,0.9373579621315002,6.453495180606842,3.0203563049435616
16835,-57.410651,455,,,
17290,-58.668502,455,,,
17745,-64.436248,455,,,
18200,-61.131278,455,0.9548529982566833,6.466493093967438,2.296105605363846
18655,-59.883566,455,,,
19110,-60.775678,455,,,
19565,-55.556171,455,,,
20020,-56.636319,455,,,
20475,-58.683451,455,0.9695565104484558,6.49308100938797,1.6214211329817771
20930,-58.219893,455,,,
21385,-56.830878,455,,,
21840,-60.244842,455,,,
22295,-58.223028,455,0.9783663153648376,6.504626601934433,1.339270507544279
22750,-57.408965,455,,,
23205,-57.274332,455,,,
23660,-57.703898,455,,,
24115,-55.652908,455,,,
24570,-58.221409,455,0.9832895398139954,6.5280065655708315,0.9445484302937984
25025,-58.108608,455,,,
25480,-53.461203,455,,,
25935,-59.28471,455,,,
26390,-56.025852,455,0.9855139255523682,6.563971841335297,0.9223321132361889
26845,-58.083646,455,,,
27300,-56.058981,455,,,
27755,-57.14577,455,,,
28210,-54.380591,455,,,
28665,-51.938665,455,0.9885783195495605,6.595455414056778,0.8020622149109841
29120,-51.163359,455,,,
29575,-53.785565,455,,,
30030,-56.056788,455,,,
30485,-53.631137,455,0.9901283979415894,6.619997948408127,0.6821211729198694
30940,-51.144017,455,,,
31395,-54.38367,455,,,
31850,-54.145048,455,,,
32305,-52.271112,455,,,
32760,-49.333031,455,0.9920001029968262,6.651886767148971,0.5907175514847041
33215,-51.638817,455,,,
33670,-50.583175,455,,,
34125,-52.75611,455,,,
34580,-52.975155,455,0.9927846193313599,6.691239380836487,0.6743053093552589
35035,-50.436031,455,,,
35490,-49.710701,455,,,
35945,-50.400986,455,,,
36400,-50.623904,455,,,
36855,-53.223653,455,0.9926711320877075,6.73283069729805,0.5515857230871916
37310,-49.578039,455,,,
37765,-53.8161,455,,,
38220,-48.834658,455,,,
38675,-51.877429,455,0.9937951564788818,6.777962094545364,0.4878568720072508
39130,-47.206149,455,,,
39585,-49.264096,455,,,
40040,-48.441957,455,,,
40495,-44.928386,455,,,
40950,-42.081106,455,0.9946988224983215,6.80696337223053,0.47952334471046926
41405,-43.637331,455,,,
41860,-47.258226,455,,,
42315,-43.73737,455,,,
42770,-44.71869,455,0.9941759705543518,6.827261614799499,0.5115557022392749
43225,-49.605982,455,,,
43680,-47.846466,455,,,
44135,-49.175839,455,,,
44590,-45.138799,455,,,
45045,-41.654451,455,0.9950847625732422,6.858896577358246,0.3817162781953812
45500,-44.475253,455,,,
45955,-44.033263,455,,,
46410,-42.078177,455,,,
46865,-43.077517,455,0.9950146675109863,6.899360710382462,0.5069353424012661
47320,-41.692732,455,,,
47775,-40.924891,455,,,
48230,-40.848628,455,,,
48685,-40.829366,455,,,
49140,-41.218686,455,0.9958315491676331,6.925112253427505,0.42985684871673585
49595,-44.037458,455,,,
50050,-39.734981,455,,,
50505,-38.040344,455,,,
50960,-37.957219,455,0.995922327041626,6.9620646119117735,0.4992886446416378
51415,-40.722875,455,,,
51870,-38.074059,455,,,
52325,-38.21138,455,,,
52780,-37.035852,455,,,
53235,-32.548211,455,0.9961024522781372,6.983499443531036,0.3758590783923864
53690,-36.232881,455,,,
54145,-38.393795,455,,,
54600,-40.140383,455,,,
55055,-33.547151,455,0.9967280030250549,7.017839616537094,0.3172046568244696
55510,-35.80864,455,,,
55965,-36.255611,455,,,
56420,-33.515067,455,,,
56875,-32.774294,455,,,
57330,-36.484904,455,0.9967097640037537,7.0420198261737825,0.31939420122653245
57785,-29.13493,455,,,
58240,-32.809295,455,,,
58695,-30.486629,455,,,
59150,-35.994665,455,0.9970846772193909,7.0597328543663025,0.5798327278345823
59605,-29.612942,455,,,
60060,-29.590182,455,,,
60515,-30.146663,455,,,
60970,-33.456928,455,,,
61425,-33.33825,455,0.9966626167297363,7.066812264919281,0.5843525696545839
61880,-30.347338,455,,,
62335,-29.783882,455,,,
62790,-31.312924,455,,,
63245,-25.860221,455,0.9970144629478455,7.084385275840759,0.5645856413990259
63700,-28.763409,455,,,
64155,-23.302493,455,,,
64610,-24.988266,455,,,
65065,-23.524557,455,,,
65520,-25.994785,455,0.9971247315406799,7.11070083975792,0.5443794436752796
65975,-23.030345,455,,,
66430,-24.353592,455,,,
66885,-22.528364,455,,,
67340,-24.901498,455,0.996979296207428,7.115471810102463,0.4062043422833085
67795,-23.319552,455,,,
68250,-21.855222,455,,,
68705,-20.323812,455,,,
69160,-20.413038,455,,,
69615,-20.435388,455,0.9972849488258362,7.120916771888733,0.5514055483043194
70070,-22.582438,455,,,
70525,-21.844486,455,,,
70980,-21.596697,455,,,
71435,-22.46387,455,0.997045636177063,7.151659959554673,0.5715342421084643
71890,-21.897875,455,,,
72345,-17.359037,455,,,
72800,-19.368422,455,,,
73255,-18.1654,455,,,
73710,-15.487259,455,0.9972846508026123,7.178468745946884,0.5376768112182617
74165,-17.521025,455,,,
74620,-16.717321,455,,,
75075,-13.645773,455,,,
75530,-18.117919,455,0.9972872734069824,7.191553455591202,0.5739090334624052
75985,-15.544302,455,,,
76440,-19.168724,455,,,
76895,-18.438357,455,,,
77350,-16.488237,455,,,
77805,-15.136431,455,0.9971079230308533,7.21120086312294,0.5912599466741085
78260,-7.590953,455,,,
78715,-13.705332,455,,,
79170,-12.457006,455,,,
79625,-16.318318,455,0.9974707961082458,7.232510703802109,0.5825966823846102
80080,-7.499198,455,,,
80535,-11.336724,455,,,
80990,-7.118919,455,,,
81445,-9.746477,455,,,
81900,-5.598213,455,0.9964644312858582,7.250245821475983,0.5520461082458497
82355,-3.64064,455,,,
82810,-10.213309,455,,,
83265,-8.918052,455,,,
83720,-3.968263,455,0.996292233467102,7.275009566545487,0.48783150911331175
84175,-8.391929,455,,,
84630,-6.79611,455,,,
85085,-6.064447,455,,,
85540,-1.984112,455,,,
85995,-4.856857,455,0.9966972470283508,7.30658432841301,0.5619498878717423
86450,-2.668862,455,,,
86905,-3.256955,455,,,
87360,-5.537546,455,,,
87815,-2.630516,455,0.9968509674072266,7.335667377710342,0.7258523263037204
88270,3.13827,455,,,
88725,0.225511,455,,,
89180,-2.847322,455,,,
89635,0.912833,455,,,
90090,0.151645,455,0.9967694282531738,7.363225102424622,0.7079432040452958
90545,-2.521289,455,,,
91000,3.596101,455,,,
91455,3.162313,455,,,
91910,2.521536,455,0.9971945285797119,7.369613009691238,0.7950603567063809
92365,2.381712,455,,,
92820,0.511051,455,,,
93275,6.118997,455,,,
93730,5.350002,455,,,
94185,5.118628,455,0.9974371790885925,7.371916335821152,0.6917978316545487
94640,5.160636,455,,,
95095,5.224682,455,,,
95550,1.97756,455,,,
96005,3.036604,455,0.9973969459533691,7.393939191102982,0.7882522866129875
96460,10.511646,455,,,
96915,9.81494,455,,,
97370,2.619451,455,,,
97825,9.534336,455,,,
98280,9.997547,455,0.9972851276397705,7.407508653402329,0.7081015726551414
98735,15.210562,455,,,
99190,11.106681,455,,,
99645,13.147191,455,,,
100100,15.413145,455,0.9969081282615662,7.432394909858703,0.8116841927170754
100555,13.109574,455,,,
101010,14.131152,455,,,
101465,13.128633,455,,,
101920,16.787957,455,,,
102375,11.238393,455,0.9965958595275879,7.4650315046310425,0.6763706505298615
102830,15.50322,455,,,
103285,17.602621,455,,,
103740,19.87077,455,,,
104195,22.227383,455,0.9962548017501831,7.485592460632324,0.990523861348629
104650,23.279911,455,,,
105105,21.647915,455,,,
105560,18.91721,455,,,
106015,17.851606,455,,,
106470,20.419426,455,0.9959720969200134,7.511381334066391,1.3617756232619285
106925,19.391753,455,,,
107380,23.042892,455,,,
107835,18.239692,455,,,
108290,18.789651,455,0.9951862096786499,7.530887973308563,1.0100930012762546
108745,22.696873,455,,,
109200,23.010585,455,,,
109655,22.587166,455,,,
110110,18.464455,455,,,
110565,25.947151,455,0.9966520071029663,7.55677530169487,0.7281745858490467
111020,23.028525,455,,,
111475,27.490814,455,,,
111930,24.861892,455,,,
112385,22.199519,455,0.9965507388114929,7.583325535058975,0.8316531181335449
112840,27.668657,455,,,
113295,30.298943,455,,,
113750,27.148126,455,,,
114205,26.748873,455,,,
114660,23.860217,455,0.9975465536117554,7.596681433916092,0.7086148101836443
115115,24.793147,455,,,
115570,28.709229,455,,,
116025,26.658692,455,,,
116480,30.435516,455,0.9971397519111633,7.608337080478668,0.8098864778876305
116935,29.687942,455,,,
117390,37.114536,455,,,
117845,29.542994,455,,,
118300,26.17295,455,,,
118755,26.509979,455,0.9974409341812134,7.625336611270905,0.7912063065916299
119210,38.830061,455,,,
119665,36.214127,455,,,
120120,30.140269,455,,,
120575,32.122105,455,0.996858537197113,7.6462058305740355,1.022805079072714
121030,35.212329,455,,,
121485,33.172642,455,,,
121940,36.387543,455,,,
122395,37.029701,455,,,
122850,33.296396,455,0.997345507144928,7.669554877281189,0.9407563775777816
123305,34.515445,455,,,
123760,37.097025,455,,,
124215,33.222923,455,,,
124670,38.833935,455,0.9970884323120117,7.68608568906784,1.09660270139575
125125,36.259994,455,,,
125580,38.28715,455,,,
126035,36.683856,455,,,
126490,37.843776,455,,,
126945,38.270407,455,0.9976930022239685,7.705378711223602,0.9217696662992239
127400,45.973369,455,,,
127855,41.769589,455,,,
128310,40.075801,455,,,
128765,37.973687,455,0.9969246983528137,7.719067347049713,1.0264214240014553
129220,38.775832,455,,,
129675,42.669289,455,,,
130130,47.480148,455,,,
130585,42.592823,455,,,
131040,41.596413,455,0.9975566267967224,7.725723242759704,0.9896701462566853
131495,42.203957,455,,,
131950,40.224163,455,,,
132405,46.421892,455,,,
132860,44.967322,455,0.9965484738349915,7.738881087303161,1.3012973800301553
133315,44.105028,455,,,
133770,45.311084,455,,,
134225,49.168648,455,,,
134680,45.217434,455,,,
135135,47.644746,455,0.9964359998703003,7.764326548576355,0.9784195419400931
135590,49.901608,455,,,
136045,46.927744,455,,,
136500,43.6783,455,,,
136955,49.841605,455,0.996146559715271,7.790108698606491,1.2027769409120084
137410,44.28739,455,,,
137865,50.78784,455,,,
138320,46.581641,455,,,
138775,49.548764,455,,,
139230,51.550519,455,0.9982229471206665,7.804972064495087,0.7927010457962751
139685,49.02876,455,,,
140140,51.476678,455,,,
140595,50.351598,455,,,
141050,48.222899,455,0.9984500408172607,7.814795511960983,0.8404273215681315
141505,54.280469,455,,,
141960,51.319806,455,,,
142415,52.239169,455,,,
142870,52.195905,455,,,
143325,54.399758,455,0.9988700747489929,7.829971957206726,1.8310693737119437
143780,50.890657,455,,,
144235,53.462321,455,,,
144690,56.197891,455,,,
145145,58.777238,455,0.9983318448066711,7.837994420528412,1.9185093924403192
145600,58.97088,455,,,
146055,56.485555,455,,,
146510,56.284868,455,,,
146965,57.192502,455,,,
147420,57.267344,455,0.9984657764434814,7.847667950391769,1.824613992124796
147875,62.510497,455,,,
148330,57.095295,455,,,
148785,55.868264,455,,,
149240,59.744532,455,0.9981861114501953,7.857971799373627,1.8973968178033829
149695,57.523174,455,,,
