timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-83.297188,455,,,
910,-85.367577,455,,,
1365,-83.443289,455,,,
1820,-80.961435,455,,,
2275,-83.80009,455,,,
2730,-84.90195,455,,,
3185,-80.549177,455,,,
3640,-85.228704,455,,,
4095,-81.232663,455,0.0030978918075561523,6.39576330780983,5.584734499454498
4550,-81.530856,455,,,
5005,-85.107879,455,,,
5460,-82.535892,455,,,
5915,-84.142156,455,0.15319561958312988,6.402458691596985,5.92783397436142
6370,-81.425591,455,,,
6825,-84.049713,455,,,
7280,-81.541411,455,,,
7735,-82.202019,455,,,
8190,-83.833139,455,0.16794729232788086,6.406890642642975,5.993698406219482
8645,-80.478345,455,,,
9100,-82.950019,455,,,
9555,-80.654725,455,,,
10010,-81.316122,455,0.2817305326461792,6.4245324492454525,5.6129432886838915
10465,-84.52636,455,,,
10920,-82.139512,455,,,
11375,-82.786038,455,,,
11830,-82.133551,455,,,
12285,-84.09287,455,0.5018178224563599,6.469143790006638,4.291320115327835
12740,-81.406514,455,,,
13195,-82.295108,455,,,
13650,-83.840566,455,,,
14105,-81.871093,455,0.6715221405029297,6.506236749887466,3.8867116659879684
14560,-81.813934,455,,,
15015,-82.29503,455,,,
15470,-81.78099,455,,,
15925,-84.342887,455,,,
16380,-80.35644,455,0.7856219410896301,6.524748927354812,2.9163413822650908
16835,-82.534816,455,,,
17290,-82.16757,455,,,
17745,-82.046326,455,,,
18200,-81.21835,455,0.8475178480148315,6.552182412147522,2.3650759622454642
18655,-82.626751,455,,,
19110,-81.557199,455,,,
19565,-81.227341,455,,,
20020,-80.825634,455,,,
20475,-81.951879,455,0.8787596225738525,6.579460626840591,1.9897440731525422
20930,-81.391482,455,,,
21385,-81.640802,455,,,
21840,-82.549583,455,,,
22295,-81.380832,455,0.9150112271308899,6.598812466859817,1.5035766318440438
22750,-82.309801,455,,,
23205,-80.04551,455,,,
23660,-80.073507,455,,,
24115,-80.304261,455,,,
24570,-81.931286,455,0.9264164566993713,6.61974424123764,1.3388958007097245
25025,-82.654116,455,,,
25480,-78.578447,455,,,
25935,-82.744029,455,,,
26390,-76.475158,455,0.9506982564926147,6.6493410766124725,1.070346476137638
26845,-76.748168,455,,,
27300,-78.246315,455,,,
27755,-78.606878,455,,,
28210,-79.012421,455,,,
28665,-78.629138,455,0.9453504085540771,6.6684157907962796,1.059825337678194
29120,-76.780244,455,,,
29575,-78.541832,455,,,
30030,-80.242832,455,,,
30485,-77.808399,455,0.9664142727851868,6.685750967264175,0.7395686611533165
30940,-82.057573,455,,,
31395,-78.382372,455,,,
31850,-77.307209,455,,,
32305,-79.267054,455,,,
32760,-78.353306,455,0.9687842726707458,6.69494953751564,0.6578297324478626
33215,-76.593233,455,,,
33670,-78.072626,455,,,
34125,-78.078224,455,,,
34580,-79.429816,455,0.97690749168396,6.707511866092682,0.5377693891525268
35035,-77.763195,455,,,
35490,-76.725402,455,,,
35945,-75.58689,455,,,
36400,-74.897845,455,,,
36855,-74.090104,455,0.9758898615837097,6.73698815703392,0.5240323275327683
37310,-77.915383,455,,,
37765,-78.121852,455,,,
38220,-76.736683,455,,,
38675,-77.243016,455,0.9802495241165161,6.76128186583519,0.469648914784193
39130,-77.005273,455,,,
39585,-79.3683,455,,,
40040,-76.30497,455,,,
40495,-78.664072,455,,,
40950,-78.670467,455,0.9800843596458435,6.790887469053269,0.4985471524298191
41405,-74.834749,455,,,
41860,-76.924614,455,,,
42315,-78.291195,455,,,
42770,-74.085058,455,0.9827845692634583,6.825391960144043,0.43974587954580785
43225,-77.801949,455,,,
43680,-78.23446,455,,,
44135,-76.49973,455,,,
44590,-73.696834,455,,,
45045,-74.685108,455,0.9843983054161072,6.851540952920914,0.47937300726771354
45500,-77.081507,455,,,
45955,-73.788309,455,,,
46410,-74.148222,455,,,
46865,-72.17589,455,0.9866415858268738,6.868729299306869,0.4010940045118332
47320,-74.770893,455,,,
47775,-76.071397,455,,,
48230,-75.429179,455,,,
48685,-75.120534,455,,,
49140,-74.765583,455,0.9850823283195496,6.901901316642761,0.4042280737310648
49595,-71.703883,455,,,
50050,-72.107326,455,,,
50505,-74.350571,455,,,
50960,-73.154479,455,0.9886743426322937,6.934567153453827,0.30444492120295763
51415,-73.911959,455,,,
51870,-71.85398,455,,,
52325,-72.135264,455,,,
52780,-73.20013,455,,,
53235,-72.124628,455,0.9873605370521545,6.95995854139328,0.31045249458402396
53690,-74.72213,455,,,
54145,-74.981972,455,,,
54600,-71.929666,455,,,
55055,-70.983355,455,0.989809513092041,6.98068904876709,0.3656527454033494
