timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-65.354288,455,,,
910,-65.439907,455,,,
1365,-64.749367,455,,,
1820,-68.399442,455,,,
2275,-65.25624,455,,,
2730,-68.499154,455,,,
3185,-66.527609,455,,,
3640,-66.400068,455,,,
4095,-66.749079,455,0.03915822505950928,6.396884846687317,7.2750505864620205
4550,-66.638861,455,,,
5005,-67.611164,455,,,
5460,-67.574013,455,,,
5915,-67.225154,455,0.362734317779541,6.399677371978759,6.496250948309898
6370,-67.451882,455,,,
6825,-63.030147,455,,,
7280,-64.523272,455,,,
7735,-66.004873,455,,,
8190,-63.872044,455,0.6806173324584961,6.405798298120499,5.071261918544769
8645,-64.473967,455,,,
9100,-64.80511,455,,,
9555,-62.846596,455,,,
10010,-65.799378,455,0.8366173505783081,6.4374758243560795,4.0333662033081055
10465,-64.664644,455,,,
10920,-65.868316,455,,,
11375,-65.995828,455,,,
11830,-63.428412,455,,,
12285,-65.76734,455,0.8912606835365295,6.451415950059891,3.4533428251743317
12740,-65.618747,455,,,
13195,-65.697657,455,,,
13650,-66.446808,455,,,
14105,-64.718159,455,0.9324460625648499,6.453666228055954,2.865853425860405
14560,-65.350739,455,,,
15015,-65.656781,455,,,
15470,-64.080957,455,,,
15925,-65.977039,455,,,
16380,-63.435485,455,0.9500225186347961,6.4616899490356445,2.356277023255825
16835,-63.725915,455,,,
17290,-66.280032,455,,,
17745,-66.934407,455,,,
18200,-64.722836,455,0.9711635708808899,6.471703583002091,1.7389130637049675
18655,-64.530057,455,,,
19110,-65.226571,455,,,
19565,-61.644637,455,,,
20020,-63.440947,455,,,
20475,-62.358867,455,0.9741275310516357,6.49715633392334,1.62784785926342
20930,-60.382005,455,,,
21385,-62.971009,455,,,
21840,-64.206707,455,,,
22295,-64.349316,455,0.9821059107780457,6.535907113552094,1.1863143838942052
22750,-60.664034,455,,,
23205,-61.343709,455,,,
23660,-65.293459,455,,,
24115,-60.589412,455,,,
24570,-65.475032,455,0.9825539588928223,6.555270200967788,1.1153264433145522
25025,-62.905412,455,,,
25480,-60.952519,455,,,
25935,-63.084008,455,,,
26390,-60.912413,455,0.9865608215332031,6.5549225270748135,0.984314727038145
26845,-61.044283,455,,,
27300,-59.769948,455,,,
27755,-64.309646,455,,,
28210,-59.887184,455,,,
28665,-59.413581,455,0.9867419600486755,6.5637660205364226,0.8951053023338318
29120,-60.118701,455,,,
29575,-59.745799,455,,,
30030,-63.258664,455,,,
30485,-58.451136,455,0.9907684326171875,6.576601046323776,0.6671563982963562
30940,-60.411017,455,,,
31395,-59.467343,455,,,
31850,-61.730119,455,,,
32305,-57.915701,455,,,
32760,-62.305532,455,0.9910294413566589,6.612497472763062,0.6154228847473859
33215,-58.877843,455,,,
33670,-58.758044,455,,,
34125,-59.128458,455,,,
34580,-59.259809,455,0.9935428500175476,6.652263951301575,0.5331770926713943
35035,-55.558605,455,,,
35490,-57.912314,455,,,
35945,-58.060277,455,,,
36400,-57.223559,455,,,
36855,-55.195698,455,0.9930575489997864,6.686519849300384,0.5258048456162214
37310,-54.560338,455,,,
37765,-57.455351,455,,,
38220,-58.978951,455,,,
38675,-56.292061,455,0.9947990775108337,6.7275209605693815,0.4117918249219656
39130,-55.155789,455,,,
39585,-59.181503,455,,,
40040,-58.278748,455,,,
40495,-54.495127,455,,,
40950,-54.970217,455,0.9952628016471863,6.763892859220505,0.3762399796396494
41405,-51.697391,455,,,
41860,-55.434373,455,,,
42315,-54.115373,455,,,
42770,-52.012888,455,0.9959670305252075,6.78175043463707,0.33976149298250674
43225,-49.618814,455,,,
43680,-54.914569,455,,,
44135,-50.21071,455,,,
44590,-51.165297,455,,,
45045,-48.480153,455,0.9953762888908386,6.806233608722687,0.40868555977940557
45500,-48.357505,455,,,
45955,-50.302089,455,,,
46410,-51.707615,455,,,
46865,-48.287148,455,0.9966452121734619,6.848126256465912,0.33849431704729793
47320,-50.324794,455,,,
47775,-47.797488,455,,,
48230,-47.756259,455,,,
48685,-48.108287,455,,,
49140,-49.116481,455,0.9969550371170044,6.867761427164078,0.33196917213499544
49595,-47.077907,455,,,
50050,-48.630483,455,,,
50505,-47.074533,455,,,
50960,-46.449002,455,0.9972826242446899,6.888979631662369,0.278311026468873
51415,-44.223641,455,,,
51870,-41.465212,455,,,
52325,-44.98629,455,,,
52780,-45.278248,455,,,
53235,-43.692388,455,0.9971752166748047,6.9246533691883085,0.2898237593472004
53690,-43.01759,455,,,
54145,-43.749047,455,,,
54600,-41.495878,455,,,
55055,-42.728184,455,0.9976385831832886,6.957579785585404,0.2880859814584255
55510,-43.275397,455,,,
55965,-44.331901,455,,,
56420,-38.730189,455,,,
56875,-40.832936,455,,,
