timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-66.313276,455,,,
910,-68.373064,455,,,
1365,-64.723502,455,,,
1820,-66.598054,455,,,
2275,-64.687169,455,,,
2730,-67.848231,455,,,
3185,-63.087514,455,,,
3640,-66.247594,455,,,
4095,-65.263128,455,0.00558781623840332,6.379612767696381,3.7215684056282043
4550,-65.763565,455,,,
5005,-65.049193,455,,,
5460,-66.998405,455,,,
5915,-67.357171,455,0.19465070962905884,6.385717070102691,3.874760392308235
6370,-64.016932,455,,,
6825,-65.402806,455,,,
7280,-66.195666,455,,,
7735,-65.505064,455,,,
8190,-64.915888,455,0.3424640893936157,6.4149089574813845,3.339666011929512
8645,-64.300115,455,,,
9100,-64.421582,455,,,
9555,-64.713386,455,,,
10010,-65.815697,455,0.4972897171974182,6.444435721635818,3.1778948605060577
10465,-66.209718,455,,,
10920,-64.46679,455,,,
11375,-65.139229,455,,,
11830,-63.594369,455,,,
12285,-67.115462,455,0.6378255486488342,6.469549089670181,2.743820834159851
12740,-66.62209,455,,,
13195,-67.691993,455,,,
13650,-66.106424,455,,,
14105,-64.666418,455,0.7323472499847412,6.486400890350342,2.525293205678463
14560,-65.252364,455,,,
15015,-64.736295,455,,,
15470,-64.257023,455,,,
15925,-65.035566,455,,,
16380,-64.103265,455,0.8185044527053833,6.500949501991272,1.9427447780966758
16835,-64.923253,455,,,
17290,-66.513697,455,,,
17745,-64.565269,455,,,
18200,-66.000451,455,0.8517563343048096,6.504812031984329,1.9148540958762168
18655,-65.090811,455,,,
19110,-66.383681,455,,,
19565,-62.807436,455,,,
20020,-64.058894,455,,,
20475,-63.764817,455,0.892459511756897,6.508769226074219,1.504837867617607
20930,-61.95382,455,,,
21385,-63.214825,455,,,
21840,-64.045807,455,,,
22295,-65.126324,455,0.8904842138290405,6.506321132183075,1.5549018055200576
22750,-66.563424,455,,,
23205,-63.202016,455,,,
23660,-65.918552,455,,,
24115,-60.032751,455,,,
24570,-63.078611,455,0.9180848598480225,6.508384752273559,1.459602814912796
25025,-65.415032,455,,,
25480,-62.892129,455,,,
25935,-65.48508,455,,,
26390,-64.011658,455,0.9268046617507935,6.52361963391304,1.2332915656268597
26845,-62.999352,455,,,
27300,-62.701556,455,,,
27755,-65.339381,455,,,
28210,-63.094275,455,,,
28665,-61.762979,455,0.9463008046150208,6.551369017362594,1.0102901935577393
29120,-60.794056,455,,,
29575,-62.165785,455,,,
30030,-63.693366,455,,,
30485,-60.786287,455,0.9493182897567749,6.5793474316596985,0.9504582643508911
30940,-63.997073,455,,,
31395,-60.790197,455,,,
31850,-62.006665,455,,,
32305,-61.300674,455,,,
32760,-61.88829,455,0.9627357721328735,6.596262574195862,0.749941223859787
33215,-62.73069,455,,,
33670,-63.357671,455,,,
34125,-61.763829,455,,,
34580,-60.984208,455,0.9565395712852478,6.61571781039238,0.8961497768759727
35035,-60.781465,455,,,
35490,-60.208549,455,,,
35945,-62.322537,455,,,
36400,-61.23951,455,,,
36855,-59.182609,455,0.9672127962112427,6.646620774269104,0.6317370049655437
37310,-63.172709,455,,,
37765,-62.781001,455,,,
38220,-62.589091,455,,,
38675,-63.126506,455,0.9741137623786926,6.663600808382034,0.5629370514303446
39130,-60.368723,455,,,
39585,-61.397188,455,,,
40040,-60.408538,455,,,
40495,-59.529599,455,,,
40950,-62.650154,455,0.9701849222183228,6.673201042413711,1.2083321444690227
41405,-56.571058,455,,,
41860,-61.603411,455,,,
42315,-58.570332,455,,,
42770,-59.521291,455,0.9728530645370483,6.678901475667954,1.0980245418846608
43225,-61.009416,455,,,
43680,-65.53862,455,,,
44135,-57.981917,455,,,
44590,-60.127819,455,,,
45045,-60.044453,455,0.9736992716789246,6.68244816660881,1.0487843561917543
45500,-59.910011,455,,,
45955,-59.424623,455,,,
46410,-58.841134,455,,,
46865,-59.738319,455,0.9738319516181946,6.689240717887879,1.0288446679711343
47320,-60.337671,455,,,
47775,-59.64714,455,,,
48230,-59.717348,455,,,
48685,-61.273822,455,,,
49140,-60.268266,455,0.9767888188362122,6.701525032520294,0.9617248855531215
49595,-60.058555,455,,,
50050,-59.493907,455,,,
50505,-60.252751,455,,,
50960,-57.604711,455,0.9777389764785767,6.7156856000423435,0.9163163844496012
51415,-57.576521,455,,,
51870,-56.543703,455,,,
52325,-56.777732,455,,,
52780,-59.884356,455,,,
53235,-57.85713,455,0.9778885245323181,6.736181700229645,0.9437731087207795
53690,-58.264883,455,,,
