timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,-9.107815,139,,,
278,-6.12316,139,,,
417,3.227765,139,,,
556,-18.903657,139,,,
695,0.981404,139,,,
834,5.099936,139,,,
973,8.163574,139,,,
1112,-5.824251,139,,,
1251,-6.129428,139,,,
1390,-9.730781,139,,,
1529,0.562518,139,,,
1668,-4.308561,139,,,
1807,-10.542743,139,,,
1946,-8.954766,139,,,
2085,-5.956547,139,,,
2224,-12.840642,139,,,
2363,3.49138,139,,,
2502,2.490579,139,,,
2641,-13.661067,139,,,
2780,-8.883563,139,,,
2919,-2.21712,139,,,
3058,-0.794268,139,,,
3197,-0.168882,139,,,
3336,-4.407833,139,,,
3475,-4.296461,139,,,
3614,-15.337599,139,,,
3753,-3.838593,139,,,
3892,11.481277,139,,,
4031,-11.482535,139,0.0010588765144348145,3.473282662034035,11.710935270786285
