timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,-2.956999,139,,,
278,4.524713,139,,,
417,4.100122,139,,,
556,-1.503382,139,,,
695,-12.846352,139,,,
834,-17.547466,139,,,
973,-1.968645,139,,,
1112,-4.16737,139,,,
1251,-1.6783,139,,,
1390,-4.489833,139,,,
1529,-1.597427,139,,,
1668,3.187295,139,,,
1807,-1.955068,139,,,
1946,-6.409029,139,,,
2085,-12.797747,139,,,
2224,-9.396361,139,,,
2363,-2.436877,139,,,
2502,4.527257,139,,,
2641,-11.205355,139,,,
2780,-4.66554,139,,,
2919,-13.411242,139,,,
3058,-14.213239,139,,,
3197,-7.055512,139,,,
3336,-6.995272,139,,,
3475,-4.883165,139,,,
3614,3.624614,139,,,
3753,0.215157,139,,,
3892,-3.706823,139,,,
4031,0.230726,139,-0.0019394159317016602,3.491185408830643,12.064257323741913
4170,-6.87139,139,,,
4309,-4.309277,139,,,
4448,7.336143,139,,,
4587,-2.25319,139,,,
4726,-14.050774,139,,,
4865,3.882079,139,,,
5004,-5.26102,139,,,
5143,-5.500791,139,,,
5282,-11.356574,139,,,
5421,-6.287027,139,,,
5560,-7.184255,139,,,
5699,7.398443,139,,,
5838,-1.753326,139,,,
5977,-6.884307,139,,,
6116,-9.667391,139,-0.0004068613052368164,3.49658981859684,13.912298774719238
6255,-12.429576,139,,,
6394,2.644528,139,,,
6533,-7.454573,139,,,
6672,-9.844588,139,,,
6811,-2.441936,139,,,
6950,-12.67907,139,,,
7089,-1.965617,139,,,
7228,-8.671457,139,,,
7367,-0.949467,139,,,
7506,-0.607948,139,,,
7645,0.717323,139,,,
7784,-4.945344,139,,,
7923,-7.854307,139,,,
8062,0.542085,139,0.0006281137466430664,3.505829042196274,13.647058403491974
8201,-9.07615,139,,,
8340,-13.154687,139,,,
8479,12.407206,139,,,
8618,5.784708,139,,,
8757,3.965226,139,,,
8896,-6.764758,139,,,
9035,6.896006,139,,,
9174,-4.164564,139,,,
9313,0.576078,139,,,
9452,-13.443883,139,,,
9591,-9.879555,139,,,
9730,1.744053,139,,,
9869,-2.759561,139,,,
10008,-0.278067,139,,,
10147,4.832341,139,-0.0004863739013671875,3.5189266949892044,13.31926920413971
10286,-0.875935,139,,,
10425,-14.117344,139,,,
