timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,0.875437,139,,,
278,-7.786627,139,,,
417,-5.103726,139,,,
556,-7.057636,139,,,
695,-10.878954,139,,,
834,4.161202,139,,,
973,-3.525921,139,,,
1112,-9.058804,139,,,
1251,-7.309805,139,,,
1390,-3.370306,139,,,
1529,-8.151814,139,,,
1668,-2.460844,139,,,
1807,-5.341423,139,,,
1946,-4.575533,139,,,
2085,-12.937113,139,,,
2224,-1.561059,139,,,
2363,4.28869,139,,,
2502,-6.737726,139,,,
2641,-10.056756,139,,,
2780,-6.474115,139,,,
2919,-18.990383,139,,,
3058,-2.909902,139,,,
3197,-6.35555,139,,,
3336,5.985139,139,,,
3475,-1.193867,139,,,
3614,-10.281521,139,,,
3753,-12.371068,139,,,
3892,1.187673,139,,,
4031,-4.520707,139,0.0008146762847900391,3.502978879213333,13.335275185108184
4170,2.60363,139,,,
4309,-4.280726,139,,,
4448,-4.41569,139,,,
4587,-5.23945,139,,,
4726,-6.754046,139,,,
4865,-7.821849,139,,,
5004,-8.144871,139,,,
5143,-8.14192,139,,,
5282,-2.78269,139,,,
5421,-3.850905,139,,,
5560,-9.318881,139,,,
5699,-2.519936,139,,,
5838,3.443476,139,,,
5977,-6.339774,139,,,
6116,-3.377971,139,-0.0008798837661743164,3.50941279232502,12.025064516067506
6255,-8.591839,139,,,
6394,-1.210365,139,,,
6533,-7.016484,139,,,
6672,-4.185846,139,,,
6811,-4.600481,139,,,
6950,-17.950189,139,,,
7089,4.092482,139,,,
7228,-2.173433,139,,,
7367,-7.303971,139,,,
7506,-3.106949,139,,,
7645,-4.49891,139,,,
7784,2.913143,139,,,
7923,-0.09621,139,,,
8062,2.233087,139,-0.00030219554901123047,3.5000580817461016,12.440826678276062
8201,-1.254709,139,,,
8340,-4.326761,139,,,
8479,-2.45915,139,,,
8618,-5.648251,139,,,
8757,0.455582,139,,,
8896,-9.181182,139,,,
9035,-5.507487,139,,,
9174,-2.647089,139,,,
9313,-8.467549,139,,,
9452,-6.863035,139,,,
9591,-2.614568,139,,,
9730,-17.874771,139,,,
9869,-3.961274,139,,,
10008,0.635716,139,,,
10147,0.058152,139,0.0010285377502441406,3.5219644218683244,13.38157570362091
10286,-13.695591,139,,,
10425,-6.557746,139,,,
10564,-12.257938,139,,,
10703,6.908938,139,,,
10842,-9.383231,139,,,
10981,-6.389703,139,,,
11120,5.818117,139,,,
11259,1.148888,139,,,
11398,-4.963949,139,,,
11537,-3.315966,139,,,
11676,-3.90213,139,,,
11815,-19.15137,139,,,
11954,-5.089318,139,,,
12093,-5.346462,139,,,
12232,-2.283192,139,0.0013567209243774414,3.5505783587694166,13.723324871063232
12371,-13.157636,139,,,
12510,-10.227359,139,,,
12649,-3.802714,139,,,
12788,8.704587,139,,,
12927,-6.798071,139,,,
13066,-12.327538,139,,,
13205,-0.904511,139,,,
13344,-1.469697,139,,,
13483,-3.559275,139,,,
13622,-2.295421,139,,,
