timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,23.357422,139,,,
278,15.319253,139,,,
417,23.005912,139,,,
556,10.743583,139,,,
695,9.697491,139,,,
834,27.58222,139,,,
973,23.552583,139,,,
1112,12.435262,139,,,
1251,20.059134,139,,,
1390,18.175875,139,,,
1529,18.139107,139,,,
1668,9.484023,139,,,
1807,14.572178,139,,,
1946,23.118668,139,,,
2085,18.725067,139,,,
2224,21.858446,139,,,
2363,11.372624,139,,,
2502,11.254189,139,,,
2641,9.354881,139,,,
2780,3.463777,139,,,
2919,11.432502,139,,,
3058,13.98135,139,,,
3197,23.312175,139,,,
3336,16.976776,139,,,
3475,13.482846,139,,,
3614,16.474675,139,,,
3753,13.064921,139,,,
3892,22.685161,139,,,
4031,12.315805,139,-0.001946091651916504,3.4782479137182234,12.83261581659317
4170,9.274446,139,,,
4309,19.694536,139,,,
4448,12.227587,139,,,
4587,14.473735,139,,,
4726,4.532761,139,,,
4865,18.06848,139,,,
5004,30.170813,139,,,
5143,15.728875,139,,,
5282,18.089926,139,,,
5421,5.531967,139,,,
5560,17.346839,139,,,
5699,16.368513,139,,,
5838,8.126799,139,,,
5977,20.832484,139,,,
6116,17.396628,139,0.049183666706085205,3.4761724531650544,12.727626287937165
6255,25.065973,139,,,
6394,11.433562,139,,,
6533,10.355268,139,,,
6672,5.934209,139,,,
6811,5.616274,139,,,
6950,13.637052,139,,,
7089,16.033913,139,,,
7228,7.554245,139,,,
7367,11.448018,139,,,
7506,11.244235,139,,,
7645,12.304858,139,,,
7784,10.1439,139,,,
7923,14.30062,139,,,
8062,22.334373,139,0.23710352182388306,3.4775236576795576,10.531671380996704
8201,4.836794,139,,,
8340,20.665817,139,,,
8479,15.090472,139,,,
8618,19.854292,139,,,
8757,17.723585,139,,,
8896,17.681004,139,,,
9035,7.819211,139,,,
9174,11.865307,139,,,
9313,9.297333,139,,,
9452,14.894514,139,,,
9591,17.460163,139,,,
9730,24.051582,139,,,
9869,16.335427,139,,,
10008,22.945312,139,,,
10147,17.969107,139,0.5535746812820435,3.4773708313703535,7.491331773996353
10286,17.824867,139,,,
10425,17.001276,139,,,
10564,12.335976,139,,,
10703,14.266261,139,,,
10842,22.162648,139,,,
10981,19.181981,139,,,
11120,15.305162,139,,,
11259,16.933046,139,,,
11398,18.157518,139,,,
11537,16.167908,139,,,
11676,2.091874,139,,,
11815,23.77323,139,,,
11954,9.919317,139,,,
12093,21.631864,139,,,
12232,21.317385,139,0.7239480018615723,3.4896302580833436,6.048536384105683
12371,15.26915,139,,,
12510,15.3999,139,,,
12649,19.271459,139,,,
12788,18.915877,139,,,
12927,17.746045,139,,,
13066,14.131012,139,,,
13205,14.881865,139,,,
13344,8.62052,139,,,
13483,18.210354,139,,,
13622,12.356824,139,,,
13761,11.573492,139,,,
13900,17.350454,139,,,
14039,9.166518,139,,,
14178,18.07839,139,,,
14317,16.06533,139,0.7891324162483215,3.4963585436344147,5.132440659403801
14456,18.993059,139,,,
14595,11.793729,139,,,
14734,16.345461,139,,,
14873,18.28049,139,,,
15012,22.410162,139,,,
15151,25.841223,139,,,
15290,13.075626,139,,,
15429,6.277186,139,,,
15568,13.218723,139,,,
15707,20.614242,139,,,
15846,16.02107,139,,,
15985,29.322418,139,,,
16124,10.065024,139,,,
16263,8.351395,139,0.8195929527282715,3.4981951147317885,4.940790867805481
16402,16.186255,139,,,
16541,21.209013,139,,,
