timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,-7.605238,139,,,
278,-3.317883,139,,,
417,2.726202,139,,,
556,-15.738595,139,,,
695,4.064562,139,,,
834,1.753116,139,,,
973,10.683694,139,,,
1112,-3.736965,139,,,
1251,-6.909045,139,,,
1390,-7.706627,139,,,
1529,4.920905,139,,,
1668,1.661687,139,,,
1807,-6.016678,139,,,
1946,1.219915,139,,,
2085,-3.899227,139,,,
2224,-6.948592,139,,,
2363,5.417287,139,,,
2502,1.171079,139,,,
2641,-10.621175,139,,,
2780,-6.764117,139,,,
2919,-0.106309,139,,,
3058,-4.22413,139,,,
3197,-2.965451,139,,,
3336,-3.718157,139,,,
3475,0.582208,139,,,
3614,-10.998193,139,,,
3753,-3.21373,139,,,
3892,9.191478,139,,,
4031,-5.814886,139,0.0008344054222106934,3.473794311285019,10.9762171626091
4170,-8.863878,139,,,
4309,-8.368269,139,,,
4448,-3.626435,139,,,
4587,-8.460185,139,,,
4726,6.15134,139,,,
4865,-6.220592,139,,,
5004,3.70674,139,,,
5143,-2.638226,139,,,
5282,-8.386631,139,,,
5421,-3.610504,139,,,
5560,0.101006,139,,,
5699,-8.2422,139,,,
5838,-4.054544,139,,,
5977,-4.997035,139,,,
6116,3.406508,139,0.19841718673706055,3.468773382902145,9.307412856817246
6255,-2.321708,139,,,
6394,9.271087,139,,,
6533,3.392844,139,,,
6672,6.737307,139,,,
6811,-2.10998,139,,,
6950,-1.347914,139,,,
7089,-3.557821,139,,,
7228,-1.477496,139,,,
7367,-2.100887,139,,,
7506,-1.25816,139,,,
7645,-15.280629,139,,,
7784,-1.855057,139,,,
7923,0.817949,139,,,
8062,5.348737,139,0.5233303904533386,3.485166549682617,7.087657368183136
8201,0.928461,139,,,
8340,-4.439358,139,,,
8479,-2.709004,139,,,
8618,1.083782,139,,,
8757,-3.807127,139,,,
8896,0.317719,139,,,
9035,-2.19213,139,,,
9174,-5.712274,139,,,
9313,-6.523381,139,,,
9452,-5.705448,139,,,
9591,7.423702,139,,,
9730,-9.297827,139,,,
9869,4.396785,139,,,
10008,1.517388,139,,,
10147,-0.284385,139,0.6839443445205688,3.497318294644356,6.189841502904892
10286,-0.44386,139,,,
10425,-3.721633,139,,,
10564,-1.957917,139,,,
10703,-6.767893,139,,,
10842,-2.671816,139,,,
10981,0.804378,139,,,
11120,-2.240706,139,,,
11259,-2.48415,139,,,
11398,-12.234748,139,,,
11537,3.015888,139,,,
11676,-1.584803,139,,,
11815,-13.915048,139,,,
11954,-0.673285,139,,,
12093,-0.736297,139,,,
12232,-4.185173,139,0.7440740466117859,3.5049080073833467,5.031918632984161
12371,5.577197,139,,,
12510,6.297673,139,,,
12649,-0.050392,139,,,
12788,-1.330273,139,,,
12927,-7.371856,139,,,
13066,1.180987,139,,,
13205,-2.798037,139,,,
13344,6.218915,139,,,
13483,-4.573253,139,,,
13622,-6.962697,139,,,
13761,-1.710884,139,,,
13900,6.045417,139,,,
14039,-1.550247,139,,,
14178,4.433672,139,,,
14317,-1.271063,139,0.7638192176818848,3.507845643162727,4.553166106343269
14456,-1.174711,139,,,
14595,-3.446123,139,,,
14734,5.526978,139,,,
14873,0.674211,139,,,
15012,1.364986,139,,,
15151,-7.676426,139,,,
15290,5.611227,139,,,
15429,-1.388734,139,,,
15568,-4.410569,139,,,
15707,1.125622,139,,,
15846,-10.577373,139,,,
15985,-4.364249,139,,,
16124,-2.66537,139,,,
16263,-2.18451,139,0.7532318830490112,3.509418526291847,4.2274523138999935
16402,-4.831174,139,,,
16541,-1.818932,139,,,
16680,0.095015,139,,,
16819,2.86677,139,,,
16958,-4.372629,139,,,
17097,-7.881512,139,,,
17236,3.448736,139,,,
17375,-6.688306,139,,,
17514,-2.827188,139,,,
17653,-10.583986,139,,,
17792,2.057197,139,,,
17931,4.155271,139,,,
18070,-8.2165,139,,,
18209,-2.850201,139,,,
18348,-0.518148,139,0.771904706954956,3.508129957318306,4.479376941919327
18487,-2.67132,139,,,
18626,-4.98094,139,,,
18765,-6.915908,139,,,
18904,-4.980415,139,,,
19043,2.154508,139,,,
19182,5.889987,139,,,
19321,17.141955,139,,,
19460,-1.966384,139,,,
19599,-3.107635,139,,,
19738,-4.236503,139,,,
19877,5.34671,139,,,
20016,-10.529183,139,,,
20155,-7.870231,139,,,
20294,7.787212,139,,,
20433,-3.663368,139,0.7898664474487305,3.51519033908844,3.9281713366508484
20572,1.328894,139,,,
20711,-10.497402,139,,,
20850,-7.382771,139,,,
20989,2.148737,139,,,
21128,-1.618352,139,,,
21267,-14.860638,139,,,
21406,-3.356692,139,,,
21545,-9.074359,139,,,
21684,-6.058572,139,,,
21823,-10.021815,139,,,
21962,-1.477965,139,,,
22101,-6.258972,139,,,
22240,-2.702875,139,,,
22379,2.038028,139,,,
22518,-8.025797,139,0.810450553894043,3.5289428770542144,3.8254163712263107
22657,0.883495,139,,,
22796,-0.64656,139,,,
22935,-9.165055,139,,,
23074,-7.2919,139,,,
23213,0.628839,139,,,
23352,1.492189,139,,,
23491,3.639762,139,,,
23630,4.524364,139,,,
23769,-5.805824,139,,,
23908,-6.160367,139,,,
24047,-0.082267,139,,,
24186,7.991359,139,,,
24325,-0.003775,139,,,
24464,-2.015493,139,0.8369536399841309,3.5384462058544157,3.264322093129158
24603,-8.062218,139,,,
24742,-2.882562,139,,,
24881,1.462656,139,,,
25020,-2.306042,139,,,
25159,7.689933,139,,,
25298,-12.892995,139,,,
25437,-13.007181,139,,,
25576,3.469327,139,,,
25715,-5.875354,139,,,
25854,-10.643348,139,,,
25993,1.852352,139,,,
26132,5.021665,139,,,
26271,-1.75659,139,,,
26410,-4.353379,139,,,
26549,-5.147702,139,0.8180080056190491,3.5383331060409544,3.3288143664598464
26688,-2.609436,139,,,
26827,3.873416,139,,,
26966,-3.844579,139,,,
27105,2.129122,139,,,
27244,-4.675384,139,,,
27383,7.499109,139,,,
27522,5.562578,139,,,
27661,4.717951,139,,,
27800,4.588223,139,,,
27939,1.775166,139,,,
28078,-5.657817,139,,,
28217,1.250652,139,,,
28356,-1.378693,139,,,
28495,-2.340418,139,,,
28634,0.182435,139,0.8163435459136963,3.536182388663292,3.504479306936264
28773,-3.582958,139,,,
28912,5.951162,139,,,
29051,5.659813,139,,,
29190,0.292358,139,,,
29329,-7.783774,139,,,
29468,-4.204353,139,,,
29607,2.871314,139,,,
29746,4.237306,139,,,
29885,4.517884,139,,,
30024,5.882595,139,,,
30163,-3.303574,139,,,
30302,-8.000625,139,,,
30441,-6.043856,139,,,
30580,7.210514,139,,,
30719,1.634174,139,0.8489393591880798,3.548985117673874,2.9677838414907454
30858,2.186024,139,,,
30997,-2.522401,139,,,
31136,-2.833603,139,,,
31275,4.392903,139,,,
31414,-2.866739,139,,,
31553,0.470109,139,,,
31692,-9.208576,139,,,
31831,-5.567187,139,,,
31970,1.317757,139,,,
32109,8.669581,139,,,
32248,9.708001,139,,,
32387,-8.198293,139,,,
32526,5.025061,139,,,
32665,2.171526,139,0.8687731027603149,3.5565023958683013,2.76140438914299
32804,-4.005285,139,,,
32943,-3.150837,139,,,
33082,-4.229343,139,,,
33221,13.889314,139,,,
33360,0.749901,139,,,
33499,2.272821,139,,,
33638,-6.287609,139,,,
33777,1.176888,139,,,
33916,-1.054601,139,,,
34055,-1.05326,139,,,
34194,12.534704,139,,,
34333,4.863175,139,,,
34472,3.367524,139,,,
34611,-4.113819,139,,,
34750,2.619098,139,0.8593499660491943,3.558192548155785,3.1618073761463164
34889,1.294036,139,,,
35028,3.806927,139,,,
35167,-4.851008,139,,,
35306,-0.554039,139,,,
35445,0.924934,139,,,
35584,-4.25437,139,,,
35723,-2.052718,139,,,
35862,1.667938,139,,,
36001,1.590687,139,,,
36140,6.182773,139,,,
36279,-8.763117,139,,,
36418,-2.988644,139,,,
36557,1.462578,139,,,
36696,7.251099,139,,,
36835,5.059049,139,0.8588177561759949,3.567249110341072,2.7053847938776014
36974,2.301327,139,,,
37113,0.603028,139,,,
37252,8.78316,139,,,
37391,6.635004,139,,,
37530,2.872956,139,,,
37669,2.110899,139,,,
37808,-7.41342,139,,,
37947,-10.551795,139,,,
38086,14.947168,139,,,
38225,1.203409,139,,,
38364,0.74358,139,,,
38503,-0.864404,139,,,
38642,4.639841,139,,,
38781,6.205301,139,0.8770298957824707,3.5761255800724028,2.7127734810113906
38920,5.541597,139,,,
39059,-0.107698,139,,,
39198,4.423858,139,,,
39337,-0.51992,139,,,
39476,6.463272,139,,,
39615,5.875183,139,,,
39754,6.655738,139,,,
39893,-5.828243,139,,,
40032,0.671444,139,,,
40171,-1.978554,139,,,
40310,3.950026,139,,,
40449,3.526836,139,,,
40588,5.65006,139,,,
