timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,4.005285,139,,,
278,-2.57176,139,,,
417,4.264762,139,,,
556,-8.730537,139,,,
695,-9.546616,139,,,
834,8.680181,139,,,
973,3.361822,139,,,
1112,-6.152782,139,,,
1251,1.963512,139,,,
1390,-1.342717,139,,,
1529,-1.262477,139,,,
1668,-8.855776,139,,,
1807,-5.755184,139,,,
1946,3.977553,139,,,
2085,-0.456865,139,,,
2224,3.956163,139,,,
2363,-6.646366,139,,,
2502,-7.66979,139,,,
2641,-9.956136,139,,,
2780,-16.288286,139,,,
2919,-5.828105,139,,,
3058,-4.769719,139,,,
3197,4.41597,139,,,
3336,-1.958556,139,,,
3475,-6.488722,139,,,
3614,-2.432015,139,,,
3753,-5.449909,139,,,
3892,2.819648,139,,,
4031,-6.652459,139,-0.0009506940841674805,3.482242876291275,11.731512558460235
4170,-9.775067,139,,,
4309,1.404676,139,,,
4448,-6.110953,139,,,
4587,-3.635329,139,,,
4726,-13.817591,139,,,
4865,-0.977742,139,,,
5004,11.223983,139,,,
5143,-1.784934,139,,,
5282,0.260195,139,,,
5421,-13.475665,139,,,
5560,-3.684437,139,,,
5699,-3.172609,139,,,
5838,-10.073739,139,,,
5977,1.532343,139,,,
6116,-1.964672,139,0.08881139755249023,3.4846872687339783,11.126399302482605
6255,5.652395,139,,,
6394,-7.028316,139,,,
6533,-8.418162,139,,,
6672,-12.915266,139,,,
6811,-14.01185,139,,,
6950,-4.915307,139,,,
7089,-2.67606,139,,,
7228,-13.149569,139,,,
7367,-7.259192,139,,,
7506,-5.5264,139,,,
7645,-7.164993,139,,,
7784,-9.33262,139,,,
7923,-4.193952,139,,,
8062,4.138201,139,0.3237515091896057,3.4900627195835114,8.584236615896225
8201,-13.382398,139,,,
8340,1.815198,139,,,
8479,-3.17855,139,,,
8618,2.302182,139,,,
8757,-2.345323,139,,,
8896,-0.031384,139,,,
9035,-10.851956,139,,,
9174,-7.408917,139,,,
9313,-9.823767,139,,,
9452,-4.465801,139,,,
9591,-1.770625,139,,,
9730,6.111276,139,,,
9869,-2.357937,139,,,
10008,4.943099,139,,,
10147,-0.839578,139,0.6081966161727905,3.4922402918338777,6.6402471423149105
10286,-0.069142,139,,,
10425,-1.279896,139,,,
10564,-5.910934,139,,,
10703,-4.671009,139,,,
10842,3.11505,139,,,
10981,-0.386477,139,,,
11120,-3.590945,139,,,
11259,-2.513827,139,,,
11398,-2.054213,139,,,
11537,-4.056822,139,,,
11676,-16.974066,139,,,
11815,6.045029,139,,,
11954,-9.121047,139,,,
12093,0.843115,139,,,
12232,3.301923,139,0.7192039489746094,3.503581726551056,5.729878109693527
12371,-2.440521,139,,,
12510,-5.699919,139,,,
12649,0.258751,139,,,
12788,1.167548,139,,,
12927,0.469818,139,,,
13066,-4.097163,139,,,
13205,-4.681932,139,,,
13344,-11.077919,139,,,
13483,-0.984527,139,,,
13622,-6.63693,139,,,
13761,-6.819543,139,,,
13900,-0.814432,139,,,
14039,-9.873637,139,,,
14178,-0.226321,139,,,
14317,-2.587416,139,0.743010938167572,3.513516825437546,4.989990848302841
14456,-0.360716,139,,,
14595,-7.794467,139,,,
14734,-2.659771,139,,,
14873,-0.745464,139,,,
15012,3.68174,139,,,
15151,8.568362,139,,,
15290,-5.892569,139,,,
15429,-11.901841,139,,,
15568,-4.179564,139,,,
15707,1.938669,139,,,
