timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,31.586048,455,,,
910,50.447219,455,,,
1365,31.831888,455,,,
1820,73.05497,455,,,
2275,88.053556,455,,,
2730,79.22734,455,,,
3185,66.72949,455,,,
3640,76.240542,455,,,
4095,70.026668,455,-0.01664435863494873,6.406510579586029,7.506699746847152
4550,34.819549,455,,,
5005,36.405177,455,,,
5460,33.657158,455,,,
5915,40.716548,455,0.20651662349700928,6.421678757667541,9.145183050632477
6370,33.267984,455,,,
6825,39.451589,455,,,
7280,36.09967,455,,,
7735,37.219634,455,,,
8190,34.468992,455,0.34624016284942627,6.41983779668808,3.5750481128692626
8645,26.064836,455,,,
9100,32.838756,455,,,
9555,73.301272,455,,,
10010,30.187045,455,0.6909955739974976,6.422623109817505,3.420022037625313
10465,25.436506,455,,,
10920,69.497234,455,,,
11375,24.181645,455,,,
11830,34.090542,455,,,
12285,34.523065,455,0.7102566361427307,6.435543829202652,3.7400884568691253
12740,78.426314,455,,,
13195,42.349225,455,,,
13650,30.84294,455,,,
14105,35.559871,455,0.8503899574279785,6.443860512971878,2.977444715797901
14560,71.400462,455,,,
15015,79.337217,455,,,
15470,31.851515,455,,,
15925,85.779035,455,,,
16380,42.081636,455,0.8491380214691162,6.457489120960235,3.769004726409912
16835,80.762117,455,,,
17290,79.206341,455,,,
17745,40.24399,455,,,
18200,36.354599,455,0.906385064125061,6.457537072896957,3.1708114013075828
18655,40.317673,455,,,
19110,79.182169,455,,,
19565,75.710803,455,,,
20020,72.291964,455,,,
20475,82.762743,455,0.9470555186271667,6.46655188202858,1.9452241197228433
20930,37.896087,455,,,
21385,38.451617,455,,,
21840,32.270416,455,,,
22295,80.688776,455,0.9428524971008301,6.4831962287425995,2.310385471582413
22750,45.865399,455,,,
23205,39.532797,455,,,
23660,41.466013,455,,,
24115,35.802675,455,,,
24570,41.20985,455,0.9595112800598145,6.503582257032394,1.4592117071151733
25025,45.415664,455,,,
25480,38.43324,455,,,
25935,48.78318,455,,,
26390,35.752655,455,0.9706187844276428,6.521254783868789,1.202061327546835
26845,44.469416,455,,,
27300,33.06105,455,,,
27755,39.77413,455,,,
28210,36.482169,455,,,
28665,36.785976,455,0.9643627405166626,6.5420351922512054,1.1727557815611362
29120,60.091024,455,,,
29575,40.424055,455,,,
30030,69.705742,455,,,
30485,54.373655,455,0.9714956283569336,6.544374895095825,1.1692009210586547
30940,38.468127,455,,,
31395,40.133726,455,,,
31850,52.787773,455,,,
32305,45.662885,455,,,
32760,81.833332,455,0.9618637561798096,6.544017851352692,1.1528924390673638
33215,53.08672,455,,,
33670,40.303748,455,,,
34125,56.522266,455,,,
34580,49.378264,455,0.9703620672225952,6.5407295525074005,1.1977159023284911
35035,93.340566,455,,,
35490,50.458684,455,,,
35945,56.518281,455,,,
36400,55.218008,455,,,
36855,50.090934,455,0.9730654954910278,6.5404902517795565,1.3107067234814167
37310,56.88962,455,,,
37765,92.542681,455,,,
38220,91.991556,455,,,
38675,47.9046,455,0.9729996919631958,6.536182415485382,1.107132912427187
39130,58.695721,455,,,
39585,52.489398,455,,,
40040,62.691545,455,,,
40495,51.767447,455,,,
40950,63.566592,455,0.9677764177322388,6.527279376983643,1.4811276189982892
41405,76.320994,455,,,
41860,49.753682,455,,,
42315,80.070393,455,,,
42770,77.463749,455,0.9797903299331665,6.530072683095932,0.9849038667976856
43225,55.11111,455,,,
43680,51.264825,455,,,
44135,91.158702,455,,,
44590,75.738462,455,,,
45045,49.327996,455,0.9598371982574463,6.539138787984848,1.5719593353569508
45500,56.754909,455,,,
45955,54.000221,455,,,
46410,62.55569,455,,,
46865,84.290117,455,0.9754094481468201,6.532654708623886,1.2166759125888347
47320,89.272213,455,,,
47775,64.861254,455,,,
48230,54.633161,455,,,
48685,92.281468,455,,,
49140,91.082181,455,0.9780666828155518,6.5299010336399075,1.0234872289001942
49595,62.844911,455,,,
50050,64.363071,455,,,
50505,51.635567,455,,,
50960,96.480853,455,0.965211033821106,6.538742423057556,1.6215009033679961
51415,63.779046,455,,,
51870,70.720551,455,,,
52325,74.461664,455,,,
52780,63.567642,455,,,
53235,56.111764,455,0.9743176698684692,6.545311462879181,1.370472353696823
53690,88.534067,455,,,
54145,67.300232,455,,,
54600,99.470837,455,,,
55055,62.426731,455,0.9749652743339539,6.550856935977936,2.0037609934806824
55510,56.863685,455,,,
55965,62.243023,455,,,
56420,94.885,455,,,
56875,75.319878,455,,,
57330,100.645872,455,0.9762324094772339,6.559340864419937,1.3249498009681702
57785,66.223052,455,,,
58240,57.816543,455,,,
58695,69.084506,455,,,
59150,105.210907,455,0.9668749570846558,6.572881108522415,1.9546049147844315
59605,87.145778,455,,,
60060,73.738741,455,,,
60515,72.249952,455,,,
60970,92.181447,455,,,
61425,68.518381,455,0.9818868041038513,6.556054478883743,1.0900204688310624
61880,68.127324,455,,,
62335,91.460545,455,,,
62790,54.246552,455,,,
63245,58.404056,455,0.9622960686683655,6.534523379802704,3.5249935895204545
63700,109.860053,455,,,
64155,69.529279,455,,,
64610,66.479002,455,,,
65065,77.700728,455,,,
65520,79.429757,455,0.978428840637207,6.5335456192493435,1.2260298684239388
65975,66.090834,455,,,
66430,73.787773,455,,,
66885,72.498728,455,,,
67340,77.324691,455,0.9763962030410767,6.542095947265625,2.1782109797000886
67795,97.796029,455,,,
68250,69.059807,455,,,
68705,107.77514,455,,,
69160,72.74485,455,,,
69615,76.134139,455,0.9845535755157471,6.5395862698555,1.3929453544318675
70070,75.298808,455,,,
70525,72.698735,455,,,
70980,80.408573,455,,,
71435,75.495365,455,0.9763635993003845,6.529812133312225,1.5929788663983344
71890,91.47601,455,,,
72345,99.166554,455,,,
72800,73.566124,455,,,
73255,82.101232,455,,,
73710,66.62186,455,0.9901826977729797,6.524794709682465,0.8163760181516408
74165,84.288647,455,,,
74620,89.350181,455,,,
75075,91.22738,455,,,
75530,88.900714,455,0.9713071584701538,6.513019400835037,3.1268696561455727
75985,109.230996,455,,,
76440,86.601092,455,,,
76895,109.347392,455,,,
77350,92.736486,455,,,
77805,111.807874,455,0.9904751777648926,6.503843265771866,0.862170273065567
78260,88.890286,455,,,
78715,96.176545,455,,,
79170,96.49427,455,,,
79625,94.323975,455,0.9724781513214111,6.521142065525055,2.0829234823584555
80080,106.545972,455,,,
80535,114.654478,455,,,
80990,103.658189,455,,,
81445,104.230601,455,,,
81900,108.945179,455,0.9653896689414978,6.539299643039703,4.781324025988579
82355,103.06865,455,,,
82810,94.695785,455,,,
83265,97.436623,455,,,
83720,98.613379,455,0.9473607540130615,6.564844083786011,5.6934401333332065
84175,100.850362,455,,,
84630,121.859948,455,,,
85085,101.42491,455,,,
85540,117.552673,455,,,
85995,123.024096,455,0.9611769914627075,6.574934059381485,6.691241547465324
86450,125.242551,455,,,
86905,111.995086,455,,,
87360,113.754398,455,,,
87815,95.576232,455,0.9516926407814026,6.577409094572067,6.556453016400337
88270,127.074856,455,,,
88725,97.375155,455,,,
89180,103.731723,455,,,
89635,86.680267,455,,,
90090,114.852468,455,0.9516500234603882,6.576002460718155,10.572141993045808
90545,85.960911,455,,,
91000,123.363884,455,,,
91455,127.146571,455,,,
91910,79.919118,455,0.975061297416687,6.566847097873688,4.110195896029472
92365,125.859185,455,,,
92820,122.676298,455,,,
93275,109.460761,455,,,
93730,119.163119,455,,,
94185,133.612751,455,0.9729382395744324,6.564721351861953,3.9051577553153036
94640,126.975645,455,,,
95095,122.024689,455,,,
95550,121.211686,455,,,
96005,80.804909,455,0.9700328707695007,6.5783830225467685,4.6285525351762775
96460,100.410831,455,,,
96915,97.268454,455,,,
97370,100.242704,455,,,
97825,133.322792,455,,,
98280,140.590825,455,0.966005802154541,6.591288858652115,6.47003148496151
98735,133.791153,455,,,
99190,146.444479,455,,,
99645,136.724145,455,,,
100100,136.331421,455,0.9660566449165344,6.589822846651077,5.25484499335289
100555,147.179668,455,,,
101010,100.93274,455,,,
101465,106.156344,455,,,
101920,147.17043,455,,,
102375,147.783918,455,0.9496402740478516,6.596397173404694,13.974466145038605
102830,128.452196,455,,,
103285,154.748023,455,,,
103740,162.144016,455,,,
104195,147.929908,455,0.9660492539405823,6.605086451768875,5.801968374848366
104650,124.293133,455,,,
105105,162.538058,455,,,
105560,97.127336,455,,,
106015,140.220317,455,,,
106470,131.16568,455,0.9749548435211182,6.620263034105301,4.596247887611389
106925,159.278844,455,,,
107380,164.780754,455,,,
107835,109.64718,455,,,
108290,145.669211,455,0.9674605131149292,6.622733724117279,9.003943675756455
108745,114.430562,455,,,
109200,156.736157,455,,,
109655,106.653871,455,,,
110110,100.465956,455,,,
110565,159.910849,455,0.9694586992263794,6.613291984796524,6.618487295508385
111020,94.193521,455,,,
111475,127.829889,455,,,
111930,122.476153,455,,,
112385,166.916955,455,0.9852597117424011,6.616670554876327,1.9822832256555558
112840,108.341687,455,,,
113295,133.810718,455,,,
113750,177.934172,455,,,
114205,191.210045,455,,,
114660,193.809877,455,0.9798290133476257,6.621959775686264,4.712357921898365
115115,164.478444,455,,,
115570,133.968843,455,,,
116025,175.113841,455,,,
116480,196.052387,455,0.9750209450721741,6.622380018234253,5.951392376422882
116935,196.800395,455,,,
117390,192.733407,455,,,
117845,128.433661,455,,,
118300,192.022305,455,,,
118755,130.831795,455,0.9688206911087036,6.634277391433716,9.133416539430618
119210,117.222565,455,,,
119665,121.953097,455,,,
120120,106.400857,455,,,
120575,129.298109,455,0.9791640639305115,6.6380434274673465,5.926055604219437
121030,120.235826,455,,,
121485,200.298833,455,,,
121940,121.212053,455,,,
122395,110.670033,455,,,
122850,177.251173,455,0.9892985224723816,6.640907418727875,2.534713464975357
123305,113.897246,455,,,
123760,127.778188,455,,,
124215,118.240599,455,,,
124670,113.048372,455,0.9879792332649231,6.645456153154373,3.0995279043912887
125125,114.075788,455,,,
125580,124.347376,455,,,
126035,109.832029,455,,,
126490,114.550245,455,,,
126945,119.792132,455,0.9918224811553955,6.6612809002399445,1.1577173821628093
127400,126.729325,455,,,
127855,170.791934,455,,,
128310,125.436165,455,,,
128765,175.908814,455,0.9937159419059753,6.686505222320557,1.5189688123762608
129220,120.543718,455,,,
129675,172.465795,455,,,
130130,116.72258,455,,,
130585,124.24124,455,,,
131040,177.275178,455,0.9838430881500244,6.680535608530045,2.5089043945074083
131495,116.864937,455,,,
131950,130.34074,455,,,
132405,203.910417,455,,,
132860,129.101627,455,0.9866721630096436,6.671662122011185,2.4910932540893556
133315,127.950217,455,,,
133770,186.813548,455,,,
134225,130.087957,455,,,
134680,127.973063,455,,,
135135,154.343226,455,0.9899125099182129,6.678333246707917,2.0724994748830796
135590,135.773221,455,,,
136045,141.947132,455,,,
136500,117.83964,455,,,
136955,187.435238,455,0.9825985431671143,6.695936548709869,6.461764964461326
137410,192.833018,455,,,
137865,193.144978,455,,,
138320,134.985355,455,,,
138775,213.853362,455,,,
139230,194.039099,455,0.9883916974067688,6.7031277358531955,3.204840822517872
139685,192.010333,455,,,
140140,139.96786,455,,,
140595,142.835935,455,,,
141050,223.711583,455,0.9828065037727356,6.70750983953476,3.032947528362274
141505,143.184561,455,,,
141960,133.049163,455,,,
142415,142.100485,455,,,
142870,134.590393,455,,,
143325,141.309031,455,0.9873983860015869,6.69450152516365,2.7617414355278016
143780,221.22166,455,,,
144235,215.15061,455,,,
144690,139.099611,455,,,
145145,138.729495,455,0.9850901365280151,6.675589460134506,5.43339584171772
145600,227.118325,455,,,
146055,150.21545,455,,,
146510,142.919469,455,,,
146965,147.857559,455,,,
147420,141.258521,455,0.9842953681945801,6.650100558996201,5.168471872806549
147875,234.644127,455,,,
148330,144.995151,455,,,
148785,156.222192,455,,,
149240,130.365606,455,0.994086503982544,6.6402540564537045,1.3255783580243587
149695,137.038947,455,,,
150150,138.657858,455,,,
150605,244.797154,455,,,
151060,242.103571,455,,,
151515,129.13604,455,0.9859052896499634,6.624280202388763,4.147565042972564
151970,252.085647,455,,,
152425,153.899137,455,,,
152880,127.10229,455,,,
153335,146.965249,455,0.9837225675582886,6.62243549823761,6.797217002511024
153790,148.510262,455,,,
154245,254.854054,455,,,
154700,143.242911,455,,,
155155,161.061021,455,,,
155610,148.116065,455,0.9875429272651672,6.630443412065506,4.039167839288711
156065,149.052425,455,,,
156520,124.608402,455,,,
156975,154.048866,455,,,
157430,255.759607,455,0.9843442440032959,6.635227781534195,7.157137784361839
157885,275.696281,455,,,
158340,265.081351,455,,,
158795,240.012947,455,,,
159250,153.063099,455,,,
159705,270.607959,455,0.9783080220222473,6.630099380016327,10.612250876426696
160160,143.109784,455,,,
160615,276.056771,455,,,
161070,130.619589,455,,,
161525,165.616552,455,0.9745999574661255,6.618049663305283,10.97321920990944
161980,149.179829,455,,,
162435,149.985427,455,,,
162890,150.797678,455,,,
163345,150.704291,455,,,
163800,132.571297,455,0.9871091842651367,6.611658954620362,5.717895339429378
164255,157.939253,455,,,
164710,141.756549,455,,,
165165,142.840044,455,,,
165620,276.026337,455,0.9948647022247314,6.615918666124344,2.5797920718789102
166075,160.144005,455,,,
166530,264.797103,455,,,
166985,267.186145,455,,,
167440,141.923571,455,,,
167895,269.910647,455,0.9885458946228027,6.631811368465423,5.098201315104961
168350,132.817722,455,,,
168805,140.122381,455,,,
169260,267.743011,455,,,
169715,137.586976,455,0.9772405624389648,6.655488425493241,10.200355505943298
170170,157.099767,455,,,
170625,134.556949,455,,,
171080,145.33962,455,,,
171535,167.445831,455,,,
171990,161.957394,455,0.9931836128234863,6.673739540576935,3.0023431837558747
172445,139.281388,455,,,
172900,143.854816,455,,,
173355,144.129472,455,,,
173810,263.665355,455,0.9959813952445984,6.683266621828079,1.7599912598729133
174265,157.215017,455,,,
174720,156.019751,455,,,
175175,155.117682,455,,,
175630,158.245197,455,,,
176085,262.077037,455,0.9923784732818604,6.679558324813843,3.0162430301308634
176540,271.867135,455,,,
176995,180.019622,455,,,
177450,139.99234,455,,,
177905,267.885173,455,0.9917576313018799,6.683274483680725,3.804081103205681
178360,158.633533,455,,,
178815,167.050921,455,,,
179270,280.113632,455,,,
179725,161.268868,455,,,
180180,147.855637,455,0.9869585633277893,6.70239959359169,5.869410571455956
180635,151.115382,455,,,
181090,146.970644,455,,,
181545,158.782704,455,,,
182000,172.377421,455,0.991098940372467,6.725066632032394,3.9813881486654283
182455,164.916734,455,,,
182910,252.961222,455,,,
183365,149.02332,455,,,
183820,271.464482,455,,,
184275,169.841873,455,0.9969491362571716,6.759257388114929,1.4107814401388168
184730,158.15732,455,,,
185185,171.047177,455,,,
185640,259.900784,455,,,
186095,172.396441,455,0.9916188716888428,6.789161080121994,4.287706092000008
186550,173.517629,455,,,
187005,169.91347,455,,,
187460,172.586664,455,,,
187915,160.278991,455,,,
188370,166.467602,455,0.9939989447593689,6.791087436676025,2.870697818696499
188825,242.091345,455,,,
189280,274.451679,455,,,
189735,172.932545,455,,,
190190,171.168846,455,0.9949674010276794,6.773869419097901,3.1882938504219056
190645,177.45093,455,,,
191100,157.628995,455,,,
191555,239.182871,455,,,
192010,231.275066,455,,,
192465,173.205002,455,0.9920876622200012,6.751345229148865,2.2213886097073554
192920,177.139373,455,,,
193375,159.650056,455,,,
193830,251.769226,455,,,
194285,158.140998,455,0.993194043636322,6.758632892370224,2.703049562871456
194740,171.365801,455,,,
195195,255.123043,455,,,
195650,252.010544,455,,,
196105,247.154111,455,,,
196560,173.126181,455,0.9964789152145386,6.761842787265778,1.4199674107134341
197015,154.726799,455,,,
197470,170.376963,455,,,
197925,257.982227,455,,,
198380,195.479607,455,0.9930341243743896,6.7676987767219545,3.064017507433891
198835,191.289214,455,,,
199290,173.159689,455,,,
199745,245.277795,455,,,
200200,154.811479,455,,,
200655,166.315289,455,0.994767427444458,6.783530908823013,2.2323371201753615
