timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,39.867376,455,,,
910,44.581086,455,,,
1365,47.937991,455,,,
1820,63.868908,455,,,
2275,61.074611,455,,,
2730,65.930159,455,,,
3185,61.338694,455,,,
3640,71.079843,455,,,
4095,57.760011,455,-0.0258791446685791,6.398982042074204,6.5967395305633545
4550,39.163458,455,,,
5005,41.328348,455,,,
5460,33.11285,455,,,
5915,56.516136,455,0.24121224880218506,6.397572839260102,7.633149325847626
6370,52.019033,455,,,
6825,35.483971,455,,,
7280,31.920473,455,,,
7735,57.35933,455,,,
8190,48.375674,455,0.43090152740478516,6.379203754663467,3.2564020842313766
8645,54.812995,455,,,
9100,34.860781,455,,,
9555,58.087863,455,,,
10010,34.892027,455,0.7377767562866211,6.377574861049652,3.178642436861992
10465,34.801883,455,,,
10920,60.193813,455,,,
11375,43.801433,455,,,
11830,38.19297,455,,,
12285,59.943354,455,0.8195512294769287,6.390110182762146,2.5014723941683767
12740,61.4347,455,,,
13195,36.057775,455,,,
13650,37.445893,455,,,
14105,38.952981,455,0.9007549285888672,6.396353220939636,2.2656175449490545
14560,60.218645,455,,,
15015,46.039706,455,,,
15470,38.277348,455,,,
15925,48.194235,455,,,
16380,57.84717,455,0.9390727281570435,6.381024652719498,1.8182322889566422
16835,54.469803,455,,,
17290,48.19338,455,,,
17745,51.699828,455,,,
18200,53.03699,455,0.9414946436882019,6.362448668479919,1.6960747212171554
18655,51.869756,455,,,
19110,58.135759,455,,,
19565,63.245691,455,,,
20020,65.469615,455,,,
20475,72.088986,455,0.9485183358192444,6.370352011919022,1.6745329409837724
20930,29.697456,455,,,
21385,49.878717,455,,,
21840,51.08703,455,,,
22295,70.320349,455,0.9545140266418457,6.3980409562587734,1.987967248260975
22750,56.162083,455,,,
23205,38.808003,455,,,
23660,48.938079,455,,,
24115,48.105724,455,,,
24570,42.277068,455,0.9669938683509827,6.403291660547256,1.0678192272782325
25025,38.207796,455,,,
25480,42.370272,455,,,
25935,51.492957,455,,,
26390,43.330191,455,0.9743396043777466,6.40929052233696,1.15581124573946
26845,37.921085,455,,,
27300,51.968774,455,,,
27755,39.26699,455,,,
28210,41.194396,455,,,
28665,39.413756,455,0.9783107042312622,6.426238709688187,1.0547530427575111
29120,54.322585,455,,,
29575,45.100221,455,,,
30030,55.535912,455,,,
30485,48.175996,455,0.9867058992385864,6.4427968800067905,0.7085686586797237
30940,37.961538,455,,,
31395,38.105323,455,,,
31850,55.899866,455,,,
32305,54.499906,455,,,
32760,62.495983,455,0.9823485612869263,6.451218622922897,0.739680789038539
33215,64.537426,455,,,
33670,67.661258,455,,,
34125,48.083145,455,,,
34580,46.043081,455,0.9867635369300842,6.460519474744797,0.7009346418082714
35035,66.802385,455,,,
35490,44.731452,455,,,
35945,58.751706,455,,,
36400,66.490699,455,,,
36855,39.188345,455,0.9862223863601685,6.463140153884888,0.8227984130382537
37310,57.492809,455,,,
37765,57.791526,455,,,
38220,70.155185,455,,,
38675,43.775591,455,0.9854024052619934,6.463254773616791,0.8092514835298061
39130,59.34494,455,,,
39585,61.01689,455,,,
40040,64.240881,455,,,
40495,42.398288,455,,,
40950,66.575454,455,0.9825287461280823,6.46796218752861,0.8504704028367996
41405,69.394908,455,,,
41860,47.709498,455,,,
42315,64.697245,455,,,
42770,66.9652,455,0.9876819252967834,6.477346444129944,0.6198091685771943
43225,47.848949,455,,,
43680,61.071639,455,,,
44135,65.49267,455,,,
44590,62.798926,455,,,
