timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,30.273049,455,,,
910,88.409565,455,,,
1365,88.177879,455,,,
1820,41.191189,455,,,
2275,38.030942,455,,,
2730,42.240976,455,,,
3185,42.076066,455,,,
3640,45.023681,455,,,
4095,45.909908,455,-0.06332230567932129,6.380844861268997,4.9000362128019335
4550,39.68464,455,,,
5005,94.461682,455,,,
5460,25.950849,455,,,
5915,99.725511,455,0.5813628435134888,6.385359901189804,3.0669805601239206
6370,94.554423,455,,,
6825,36.322042,455,,,
7280,37.00876,455,,,
7735,99.594361,455,,,
8190,83.473383,455,0.6649879217147827,6.390526926517486,3.333974416553974
8645,87.867757,455,,,
9100,32.027637,455,,,
9555,36.75382,455,,,
10010,40.905068,455,0.796815812587738,6.368559896945953,3.7709032773971556
10465,37.121517,455,,,
10920,38.734951,455,,,
11375,88.049619,455,,,
11830,44.294081,455,,,
12285,103.391884,455,0.8620271682739258,6.347107011079788,3.118757888674736
12740,33.507103,455,,,
13195,29.823219,455,,,
13650,40.515633,455,,,
14105,38.587543,455,0.8784127831459045,6.347176522016525,3.312116938829422
14560,37.469771,455,,,
15015,39.906266,455,,,
15470,22.355378,455,,,
15925,38.199132,455,,,
16380,87.417613,455,0.9281251430511475,6.355966055393219,2.2464638158679007
16835,39.266426,455,,,
17290,39.463428,455,,,
17745,91.521571,455,,,
18200,91.274687,455,0.9520760774612427,6.343462479114533,1.523171381652355
18655,92.198228,455,,,
19110,36.256305,455,,,
19565,46.041411,455,,,
20020,41.380584,455,,,
20475,41.332291,455,0.9583773016929626,6.334877300262451,1.7395866379141807
20930,41.025098,455,,,
21385,82.916024,455,,,
21840,102.282886,455,,,
22295,47.252287,455,0.9688939452171326,6.3415265560150145,1.165971253812313
22750,89.467543,455,,,
23205,41.66118,455,,,
23660,92.417029,455,,,
24115,88.37344,455,,,
24570,38.97663,455,0.973538875579834,6.337716686725616,1.3219779171049595
25025,42.452173,455,,,
25480,47.837456,455,,,
25935,92.694237,455,,,
26390,41.626559,455,0.9763866662979126,6.328652387857437,1.42299025952816
26845,42.273656,455,,,
27300,100.85006,455,,,
27755,49.239951,455,,,
28210,41.642982,455,,,
28665,45.646764,455,0.9794359803199768,6.332455813884735,1.3651989005506038
29120,87.382442,455,,,
29575,44.196623,455,,,
30030,43.870053,455,,,
30485,96.464531,455,0.9790704250335693,6.332663512229919,1.3558603078126907
30940,46.795594,455,,,
31395,51.825346,455,,,
31850,92.291329,455,,,
32305,90.852444,455,,,
32760,34.825353,455,0.9783416390419006,6.342633152008057,1.3745227009057999
33215,105.353539,455,,,
33670,98.745063,455,,,
34125,46.149285,455,,,
34580,45.059564,455,0.9764086008071899,6.346714663505554,1.2395191967487336
35035,41.318134,455,,,
35490,57.94168,455,,,
35945,90.305503,455,,,
36400,104.47121,455,,,
36855,57.76716,455,0.9774045348167419,6.35664376616478,1.2885214813053607
37310,96.727673,455,,,
37765,37.201946,455,,,
38220,46.159218,455,,,
38675,48.968443,455,0.9736791849136353,6.355614006519318,1.6090900711715221
39130,100.247565,455,,,
39585,97.134623,455,,,
40040,104.637729,455,,,
40495,63.147898,455,,,
40950,111.104036,455,0.9781237840652466,6.352156758308411,1.3960809797048568
41405,36.803642,455,,,
41860,53.215736,455,,,
42315,40.560496,455,,,
42770,45.452761,455,0.9680995941162109,6.344511163234711,2.0248653277754785
43225,54.890046,455,,,
43680,100.749688,455,,,
44135,53.694602,455,,,
