timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,27.510866,455,,,
910,72.305411,455,,,
1365,87.976096,455,,,
1820,40.68956,455,,,
2275,47.415743,455,,,
2730,47.307171,455,,,
3185,55.215822,455,,,
3640,52.260989,455,,,
4095,33.859081,455,-0.032031893730163574,6.400738155841827,6.472276669740677
4550,25.005845,455,,,
5005,83.918003,455,,,
5460,29.509194,455,,,
5915,80.872494,455,0.42291098833084106,6.418519759178162,3.8644387900829313
6370,76.420138,455,,,
6825,35.621673,455,,,
7280,18.443855,455,,,
7735,71.551025,455,,,
8190,84.183115,455,0.5747380256652832,6.408790147304535,4.111287695169449
8645,82.190786,455,,,
9100,32.840001,455,,,
9555,36.91537,455,,,
10010,23.47597,455,0.8261042833328247,6.398819380998612,3.512346997857094
10465,32.146599,455,,,
10920,44.549595,455,,,
11375,77.574612,455,,,
11830,33.071249,455,,,
12285,86.378778,455,0.8883650302886963,6.417965239286422,2.8127948492765427
12740,46.160463,455,,,
13195,28.698659,455,,,
13650,31.020772,455,,,
14105,27.66399,455,0.9369786381721497,6.4392908930778505,2.4093094572424887
14560,40.001857,455,,,
15015,38.934609,455,,,
15470,24.367899,455,,,
15925,32.400304,455,,,
16380,88.690689,455,0.9423288702964783,6.447695302963257,1.7591939359903335
16835,51.957397,455,,,
17290,34.992358,455,,,
17745,103.958715,455,,,
18200,90.574146,455,0.962619960308075,6.4570115327835085,1.4527279607951642
18655,87.755929,455,,,
19110,43.230599,455,,,
19565,36.882613,455,,,
20020,45.203175,455,,,
20475,49.771316,455,0.9507388472557068,6.457982420921326,2.4130452081561087
20930,34.158233,455,,,
21385,88.427526,455,,,
21840,100.479807,455,,,
22295,46.418509,455,0.9599359035491943,6.437749242782592,1.6510918319225312
22750,100.468968,455,,,
23205,43.805184,455,,,
23660,90.383116,455,,,
24115,95.07398,455,,,
24570,39.389251,455,0.9719128608703613,6.440352731943131,1.8926229164004327
25025,39.458925,455,,,
25480,34.377937,455,,,
25935,103.044836,455,,,
26390,45.001898,455,0.9755663275718689,6.445071989297867,1.9463077172636987
26845,42.371532,455,,,
27300,103.059246,455,,,
