timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,15.895904,455,,,
910,-35.193469,455,,,
1365,-32.277605,455,,,
1820,-41.624111,455,,,
2275,-37.326521,455,,,
2730,-43.345702,455,,,
3185,-38.514277,455,,,
3640,-35.991899,455,,,
4095,-38.714366,455,0.08097445964813232,6.4029433071613315,3.9060975253582
4550,17.972578,455,,,
5005,-31.952973,455,,,
5460,20.876189,455,,,
5915,-32.679917,455,0.12487196922302246,6.447816675901413,0.4198746718466282
6370,-33.152882,455,,,
6825,24.640135,455,,,
7280,16.438894,455,,,
7735,-35.002175,455,,,
8190,-33.455866,455,0.3124595284461975,6.500024765729904,4.206277117133141
8645,-32.47852,455,,,
9100,18.931494,455,,,
9555,-36.821123,455,,,
10010,23.403452,455,0.7070890665054321,6.516683202981949,4.5442132040858265
10465,13.524168,455,,,
10920,-37.012076,455,,,
11375,-32.824472,455,,,
11830,23.095902,455,,,
12285,-33.035917,455,0.8278704881668091,6.526629108190536,3.8692493185400965
12740,-39.609338,455,,,
13195,26.017685,455,,,
13650,23.845408,455,,,
14105,24.873022,455,0.8882904648780823,6.538347715139389,3.640627458691597
14560,-37.768408,455,,,
15015,-36.638653,455,,,
15470,29.44529,455,,,
15925,-38.925681,455,,,
16380,-33.329101,455,0.8718996644020081,6.561105543375016,6.904477751255035
16835,-36.507588,455,,,
17290,-41.467228,455,,,
17745,-33.14669,455,,,
18200,-28.625603,455,0.9316704273223877,6.588365733623505,1.8449584379792214
18655,-35.567108,455,,,
19110,-36.635707,455,,,
19565,-34.279864,455,,,
20020,-33.809858,455,,,
20475,-37.038654,455,0.941375195980072,6.625636041164398,0.2524677412584424
20930,36.032669,455,,,
21385,-35.376894,455,,,
21840,-34.746729,455,,,
22295,-35.190028,455,0.9329867362976074,6.663497406244278,0.2080103440210223
22750,-34.546804,455,,,
23205,36.647274,455,,,
23660,-32.167418,455,,,
24115,-26.975554,455,,,
24570,32.317999,455,0.937990665435791,6.706446057558059,2.7763931185007094
25025,29.341747,455,,,
25480,45.296561,455,,,
25935,-36.079139,455,,,
26390,20.650729,455,0.9429799914360046,6.720250481367112,4.740508669614792
26845,36.461511,455,,,
27300,-30.711131,455,,,
27755,39.065815,455,,,
28210,35.484999,455,,,
28665,39.905342,455,0.9361593127250671,6.71319340467453,6.742635121941566
29120,-31.036739,455,,,
29575,48.114773,455,,,
30030,-39.584289,455,,,
30485,-27.464748,455,0.9450345039367676,6.702113306522369,8.061885631084442
30940,38.939194,455,,,
31395,37.657999,455,,,
31850,-29.858543,455,,,
32305,-29.828778,455,,,
32760,-33.618475,455,0.9468952417373657,6.7055389285087585,3.239419087767601
33215,-33.040662,455,,,
33670,-22.241155,455,,,
34125,62.930051,455,,,
34580,53.624245,455,0.9620414972305298,6.72118518948555,3.971106106042862
35035,-31.560185,455,,,
35490,49.419322,455,,,
35945,-29.573156,455,,,
36400,-23.119855,455,,,
36855,48.658116,455,0.9421824812889099,6.740360409021378,7.2939219862222675
37310,-29.989434,455,,,
37765,-34.119865,455,,,
38220,-36.010165,455,,,
38675,50.452008,455,0.9589754343032837,6.750530380010605,5.117094394564629
39130,-30.148602,455,,,
39585,-30.044828,455,,,
40040,-29.537078,455,,,
40495,60.814771,455,,,
40950,-25.490024,455,0.9671719670295715,6.75907381772995,2.432341281324625
41405,-29.229779,455,,,
41860,61.323104,455,,,
42315,-31.73444,455,,,
42770,-29.082974,455,0.9526346325874329,6.76720477938652,4.2862420082092285
43225,58.795719,455,,,
43680,-34.321386,455,,,
44135,-39.583574,455,,,
44590,-35.180584,455,,,
45045,-23.647251,455,0.9573071599006653,6.774577623605728,3.1951211489737035
45500,61.436557,455,,,
45955,-26.999355,455,,,
46410,75.270035,455,,,
46865,-33.14597,455,0.9640207290649414,6.781479591131211,2.9844212498515845
47320,-34.098201,455,,,
47775,73.737926,455,,,
48230,75.037052,455,,,
48685,-32.97927,455,,,
49140,-35.508089,455,0.9515446424484253,6.790003025531769,7.483084025979042
49595,76.43259,455,,,
50050,-27.856302,455,,,
50505,-29.622812,455,,,
50960,-32.421157,455,0.9565257430076599,6.790509766340255,6.777661207318306
51415,76.154878,455,,,
51870,-27.348995,455,,,
52325,81.297598,455,,,
52780,65.267185,455,,,
53235,82.337821,455,0.9649980664253235,6.7800128817558285,3.5702785670757295
53690,-33.596033,455,,,
54145,80.899519,455,,,
54600,-32.83213,455,,,
55055,-29.429146,455,0.956855297088623,6.790659320354462,12.483437561988831
55510,-28.802769,455,,,
55965,94.088186,455,,,
56420,-29.235395,455,,,
56875,100.120362,455,,,
57330,-31.748752,455,0.972542405128479,6.789339148998261,3.1226995810866356
57785,-16.453354,455,,,
58240,-21.23318,455,,,
58695,94.710514,455,,,
59150,-27.815951,455,0.9481728076934814,6.777205389738083,12.048547613620759
59605,103.730113,455,,,
60060,84.565431,455,,,
60515,109.29639,455,,,
60970,-35.552141,455,,,
61425,106.610825,455,0.960573673248291,6.7830545723438265,5.520293064415455
61880,98.836519,455,,,
62335,-35.443888,455,,,
62790,-26.49184,455,,,
63245,-24.528036,455,0.9402175545692444,6.795356869697571,25.127074241638184
63700,-36.47597,455,,,
64155,-17.927089,455,,,
64610,-17.619239,455,,,
65065,104.140159,455,,,
65520,115.20104,455,0.9625130295753479,6.8063953697681425,5.977911411970854
65975,-18.058362,455,,,
66430,-21.338551,455,,,
66885,-22.653377,455,,,
67340,114.726787,455,0.9607425332069397,6.805964869260788,12.078417831659317
67795,-30.013687,455,,,
68250,-19.935043,455,,,
68705,-32.090817,455,,,
69160,-16.697239,455,,,
69615,110.036824,455,0.9638723134994507,6.812158173322677,6.670426398143173
70070,-18.163805,455,,,
70525,-16.092709,455,,,
70980,169.198781,455,,,
71435,-16.990947,455,0.9582584500312805,6.821691960096359,7.921731616556644
71890,148.132738,455,,,
72345,-32.153071,455,,,
72800,-18.008315,455,,,
73255,152.372626,455,,,
73710,143.970044,455,0.9262751936912537,6.826374155282974,17.472452384233474
74165,-15.598602,455,,,
74620,-21.835953,455,,,
75075,-14.175183,455,,,
75530,-20.557712,455,0.9307088255882263,6.8381812393665315,39.69263503551483
75985,-32.775745,455,,,
76440,126.365423,455,,,
76895,-30.948798,455,,,
77350,-7.388458,455,,,
77805,-30.455774,455,0.9892703294754028,6.856244432926178,0.2035497022792697
78260,150.912399,455,,,
78715,126.355836,455,,,
79170,131.942392,455,,,
79625,130.182592,455,0.9671377539634705,6.873403096199036,7.40040173381567
80080,142.366188,455,,,
80535,-33.308762,455,,,
80990,-30.182264,455,,,
81445,-33.27833,455,,,
81900,140.548313,455,0.9409260749816895,6.867372500896454,35.20532541275024
82355,148.30792,455,,,
82810,153.685928,455,,,
83265,162.753195,455,,,
83720,149.724385,455,0.95233553647995,6.8742743074893955,20.83246169090271
84175,153.579241,455,,,
84630,-32.305087,455,,,
85085,-33.513333,455,,,
85540,152.979787,455,,,
85995,-36.061327,455,0.9345169067382812,6.896698009967804,46.63332347869873
86450,146.602476,455,,,
86905,152.417447,455,,,
87360,145.622398,455,,,
87815,-13.637898,455,0.9587852954864502,6.9123969912528995,20.35729937553406
88270,-33.620968,455,,,
88725,-16.189757,455,,,
89180,144.029239,455,,,
89635,-8.794489,455,,,
90090,150.756731,455,0.9622122049331665,6.931549078226089,26.55916976928711
90545,-7.014631,455,,,
91000,163.093191,455,,,
91455,-27.455304,455,,,
91910,-9.028335,455,0.9677691459655762,6.936939412355423,17.465150547027587
92365,-30.242431,455,,,
92820,-31.185749,455,,,
93275,165.445644,455,,,
93730,164.008275,455,,,
94185,-32.721239,455,0.962863028049469,6.938204050064087,12.658652141690254
94640,165.017001,455,,,
95095,163.096815,455,,,
95550,-31.883618,455,,,
96005,-0.666,455,0.9617959260940552,6.951476693153381,22.784572792053222
96460,-3.182226,455,,,
96915,-5.881645,455,,,
97370,-8.586479,455,,,
