timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,-42.700339,455,,,
910,10.773072,455,,,
1365,23.337922,455,,,
1820,-23.844778,455,,,
2275,-24.336565,455,,,
2730,-24.657073,455,,,
3185,-35.902842,455,,,
3640,-23.618177,455,,,
4095,-13.078963,455,-0.0684359073638916,6.406504088640213,4.037741732597351
4550,-37.335351,455,,,
5005,14.945723,455,,,
5460,-33.425042,455,,,
5915,28.158842,455,0.4857616424560547,6.434925776720047,2.4445598423480988
6370,25.950955,455,,,
6825,-27.403139,455,,,
7280,-31.895446,455,,,
7735,16.851506,455,,,
8190,23.125139,455,0.5516096949577332,6.461551141738892,2.918551836907864
8645,29.145454,455,,,
9100,-27.319386,455,,,
9555,-11.098139,455,,,
10010,-25.336347,455,0.7746390104293823,6.474178194999695,2.596465255320072
10465,-31.046784,455,,,
10920,-26.201466,455,,,
11375,32.560485,455,,,
11830,-28.620346,455,,,
12285,28.25735,455,0.886713981628418,6.484289413690567,1.9229964688420296
12740,-29.237083,455,,,
13195,-27.827543,455,,,
13650,-25.809427,455,,,
14105,-35.565572,455,0.9285145998001099,6.500153070688247,1.6398637384176253
14560,-20.019866,455,,,
15015,-23.861704,455,,,
15470,-30.211773,455,,,
15925,-29.950175,455,,,
16380,26.91058,455,0.9441913366317749,6.527483940124512,1.533542887866497
16835,-17.243913,455,,,
17290,-10.139564,455,,,
17745,43.928526,455,,,
18200,24.716598,455,0.958012044429779,6.557633835077286,1.3879328474402428
18655,29.894497,455,,,
19110,-21.574923,455,,,
19565,-12.69804,455,,,
20020,-11.198711,455,,,
20475,-16.884673,455,0.9539948105812073,6.582609021663666,1.337951971590519
20930,-31.917675,455,,,
21385,35.72034,455,,,
21840,40.647845,455,,,
22295,-28.161989,455,0.9678768515586853,6.593873858451843,1.1413857825100422
22750,37.534059,455,,,
23205,-20.395406,455,,,
23660,39.39009,455,,,
24115,48.306113,455,,,
