timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,19.821739,455,,,
910,-41.673733,455,,,
1365,-41.266124,455,,,
1820,-43.74533,455,,,
2275,-45.779326,455,,,
2730,-44.016169,455,,,
3185,-41.889254,455,,,
3640,-43.621537,455,,,
4095,-46.607048,455,0.05983936786651611,6.39279180765152,5.632761350274086
4550,24.285367,455,,,
5005,-43.757924,455,,,
5460,25.673344,455,,,
5915,-45.493082,455,0.010559499263763428,6.4031123459339145,0.7192714631557464
6370,-42.168074,455,,,
6825,23.398376,455,,,
7280,20.506378,455,,,
7735,-41.737972,455,,,
8190,-43.150716,455,0.24350792169570923,6.4281003177165985,6.57722005546093
8645,-39.399176,455,,,
9100,13.801409,455,,,
9555,-43.756052,455,,,
10010,31.009325,455,0.6801605820655823,6.441091817617417,5.874114534258842
10465,15.804988,455,,,
10920,-43.335517,455,,,
11375,-40.834468,455,,,
11830,31.124701,455,,,
12285,-41.42899,455,0.7788249254226685,6.462090474367142,5.839994314312935
12740,-45.626898,455,,,
13195,28.420972,455,,,
13650,41.923143,455,,,
14105,26.118772,455,0.884585976600647,6.4908027112483975,3.7109854504466058
14560,-42.648424,455,,,
15015,-43.684751,455,,,
15470,26.59371,455,,,
15925,-45.631783,455,,,
16380,-37.802425,455,0.8680741786956787,6.485159587860108,8.292082685232163
16835,-47.364873,455,,,
17290,-45.076931,455,,,
17745,-41.986645,455,,,
18200,-41.323915,455,0.9258843660354614,6.508291482925415,2.000918582454324
18655,-41.007183,455,,,
19110,-47.011811,455,,,
19565,-37.951099,455,,,
20020,-42.784396,455,,,
20475,-38.466482,455,0.8594827055931091,6.578958320617676,0.3264167595654726
20930,17.987777,455,,,
21385,-43.33831,455,,,
21840,-38.64868,455,,,
22295,-37.976775,455,0.893765926361084,6.615818959474564,0.3439507918432355
22750,-39.149196,455,,,
23205,22.64487,455,,,
23660,-40.63798,455,,,
24115,-41.659431,455,,,
24570,26.011021,455,0.9597522616386414,6.622617685794831,1.2598019279539585
25025,29.92317,455,,,
25480,21.373373,455,,,
25935,-39.780353,455,,,
26390,30.12333,455,0.9464051723480225,6.6393802762031555,3.209518364071846
26845,35.886347,455,,,
27300,-39.651055,455,,,
27755,27.705506,455,,,
28210,26.692468,455,,,
28665,37.563793,455,0.9471266269683838,6.655801284313202,4.169401900470257
29120,-35.712533,455,,,
29575,32.433361,455,,,
30030,-38.628196,455,,,
30485,-35.793711,455,0.9513532519340515,6.673817580938339,5.409006014466286
30940,29.371969,455,,,
31395,38.448649,455,,,
31850,-38.096951,455,,,
32305,-36.484418,455,,,
32760,-38.241386,455,0.9633649587631226,6.701740151643753,1.7787569344043732
33215,-39.777029,455,,,
33670,-40.804275,455,,,
34125,45.160008,455,,,
34580,38.877637,455,0.9670688509941101,6.71917177438736,2.747441041469574
35035,-36.093293,455,,,
35490,32.836726,455,,,
35945,-42.131373,455,,,
36400,-36.584183,455,,,
36855,40.133691,455,0.9646825790405273,6.731993955373764,3.019307550787926
37310,-37.059582,455,,,
37765,-37.866123,455,,,
38220,-41.491665,455,,,
38675,44.314585,455,0.9654572010040283,6.769583350419998,3.237386906147003
39130,-33.953967,455,,,
39585,-36.320755,455,,,
40040,-38.474868,455,,,
40495,56.896771,455,,,
40950,-37.977875,455,0.960283100605011,6.796041709184647,2.531019480340183
41405,-36.120309,455,,,
41860,49.702643,455,,,
42315,-38.593131,455,,,
