timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
455,22.282736,455,,,
910,-36.650056,455,,,
1365,-38.391595,455,,,
1820,-38.360658,455,,,
2275,-40.17883,455,,,
2730,-43.95144,455,,,
3185,-36.818997,455,,,
3640,-34.287927,455,,,
4095,-36.74545,455,0.06430584192276001,6.398857361078262,4.921893608570099
4550,26.990195,455,,,
5005,-39.060061,455,,,
5460,19.571666,455,,,
5915,-37.774638,455,0.4575378894805908,6.418800675868988,0.8393718838691712
6370,-34.73474,455,,,
6825,28.687343,455,,,
7280,23.87827,455,,,
7735,-33.033198,455,,,
8190,-36.084102,455,0.2744182348251343,6.432421946525574,6.165775871276855
8645,-34.807066,455,,,
9100,23.993963,455,,,
9555,-33.87899,455,,,
10010,27.609008,455,0.6501775979995728,6.440343725681305,5.9511327087879184
10465,24.651774,455,,,
10920,-34.958254,455,,,
11375,-33.404964,455,,,
11830,20.522615,455,,,
12285,-39.489724,455,0.7853502035140991,6.449906182289124,5.453256879746914
12740,-38.186715,455,,,
13195,23.738865,455,,,
13650,22.489188,455,,,
14105,13.454209,455,0.8733417987823486,6.465778583288193,3.899522340297699
14560,-37.768366,455,,,
15015,-31.867247,455,,,
15470,43.297987,455,,,
15925,-38.951319,455,,,
16380,-35.123811,455,0.8987889885902405,6.482105183601379,4.4838772177696224
16835,-37.12333,455,,,
17290,-35.859867,455,,,
17745,-38.220057,455,,,
18200,-36.891916,455,0.9119405150413513,6.497328513860703,2.5475969523191453
18655,-37.075841,455,,,
19110,-36.351277,455,,,
19565,-34.700343,455,,,
20020,-37.82476,455,,,
20475,-26.500686,455,0.9544297456741333,6.533242547512055,0.30312848538160325
20930,25.834616,455,,,
21385,-36.071287,455,,,
21840,-38.454563,455,,,
22295,-34.603408,455,0.9569547176361084,6.578726905584335,0.3904104635119438
22750,-35.91823,455,,,
23205,27.388709,455,,,
23660,-36.447736,455,,,
24115,-34.787159,455,,,
24570,23.573028,455,0.9592183828353882,6.60638815164566,1.2424282513558864
25025,26.577672,455,,,
25480,29.455545,455,,,
25935,-37.603407,455,,,
26390,26.602722,455,0.9544286131858826,6.623226922750473,2.5407971799373628
26845,20.856672,455,,,
27300,-34.270322,455,,,
