timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,23.357356,139,,,
278,15.319089,139,,,
417,23.005913,139,,,
556,10.743454,139,,,
695,9.697691,139,,,
834,27.582206,139,,,
973,23.552549,139,,,
1112,12.435201,139,,,
1251,20.059209,139,,,
1390,18.175877,139,,,
1529,18.139059,139,,,
1668,9.48386,139,,,
1807,14.572299,139,,,
1946,23.11859,139,,,
2085,18.725002,139,,,
2224,21.858443,139,,,
2363,11.372412,139,,,
2502,11.253811,139,,,
2641,9.354831,139,,,
2780,3.463767,139,,,
2919,11.432666,139,,,
3058,13.981452,139,,,
3197,23.312268,139,,,
3336,16.976554,139,,,
3475,13.482632,139,,,
3614,16.474666,139,,,
3753,13.064836,139,,,
3892,22.684872,139,,,
4031,12.31569,139,-0.001946091651916504,3.478248101472855,12.832621896266938
4170,9.275855,139,,,
4309,19.697008,139,,,
4448,12.228509,139,,,
4587,14.475684,139,,,
4726,4.531412,139,,,
4865,18.080437,139,,,
5004,30.194198,139,,,
5143,15.725756,139,,,
5282,18.106323,139,,,
5421,5.515164,139,,,
5560,17.345765,139,,,
5699,16.387871,139,,,
5838,8.121413,139,,,
5977,20.849666,139,,,
6116,17.363112,139,0.04918593168258667,3.4762389779090883,12.728218531608581
6255,25.101,139,,,
6394,11.460107,139,,,
6533,10.340988,139,,,
6672,5.942471,139,,,
6811,5.587892,139,,,
6950,13.637845,139,,,
7089,16.062563,139,,,
7228,7.551101,139,,,
7367,11.430117,139,,,
7506,11.257454,139,,,
7645,12.285428,139,,,
7784,10.13317,139,,,
7923,14.27354,139,,,
8062,22.355193,139,0.23628437519073486,3.4771586120128632,10.569665020704269
8201,4.790517,139,,,
8340,20.697709,139,,,
8479,15.101808,139,,,
8618,19.907567,139,,,
8757,17.658881,139,,,
8896,17.714558,139,,,
9035,7.776528,139,,,
9174,11.806338,139,,,
9313,9.269352,139,,,
9452,14.871251,139,,,
9591,17.41538,139,,,
9730,24.070539,139,,,
9869,16.355816,139,,,
10008,22.977967,139,,,
10147,17.908801,139,0.5513293743133545,3.4772783547639845,7.526083570718765
10286,17.783454,139,,,
10425,16.966387,139,,,
10564,12.329231,139,,,
10703,14.215689,139,,,
10842,22.138186,139,,,
10981,19.110238,139,,,
11120,15.284071,139,,,
11259,16.880068,139,,,
11398,18.062652,139,,,
11537,16.154187,139,,,
11676,2.020861,139,,,
11815,23.755586,139,,,
11954,9.899901,139,,,
12093,21.629374,139,,,
12232,21.274213,139,0.7224518060684204,3.489068678021431,6.080869519710541
12371,15.270697,139,,,
12510,15.511126,139,,,
12649,19.460869,139,,,
12788,19.087774,139,,,
12927,17.954794,139,,,
13066,14.203524,139,,,
13205,15.012913,139,,,
13344,8.680181,139,,,
13483,18.534703,139,,,
13622,12.499983,139,,,
13761,11.649459,139,,,
13900,17.500023,139,,,
14039,9.174754,139,,,
14178,18.316369,139,,,
14317,16.227601,139,0.7887367010116577,3.4956950187683105,5.24898151755333
14456,18.834732,139,,,
14595,11.797842,139,,,
14734,16.058506,139,,,
14873,18.473722,139,,,
15012,22.43759,139,,,
15151,26.10836,139,,,
15290,12.791203,139,,,
15429,6.170164,139,,,
15568,13.414308,139,,,
15707,20.483162,139,,,
15846,15.873436,139,,,
15985,29.16742,139,,,
16124,9.967776,139,,,
16263,8.175212,139,0.8259753584861755,3.4946722269058226,4.953184258937836
16402,16.232597,139,,,
16541,21.141357,139,,,
16680,22.440456,139,,,
16819,23.750286,139,,,
16958,14.949979,139,,,
17097,12.888582,139,,,
17236,25.044174,139,,,
17375,11.175704,139,,,
17514,11.418626,139,,,
17653,8.60025,139,,,
17792,27.696235,139,,,
17931,15.245317,139,,,
18070,10.906788,139,,,
18209,13.1052,139,,,
18348,24.622699,139,0.8314619064331055,3.4933128893375396,5.080124998092652
18487,12.73689,139,,,
18626,18.690958,139,,,
18765,10.002981,139,,,
18904,7.074229,139,,,
19043,17.866415,139,,,
19182,8.343695,139,,,
19321,21.061148,139,,,
19460,22.316686,139,,,
19599,13.596301,139,,,
19738,23.414841,139,,,
19877,12.729814,139,,,
20016,10.967347,139,,,
20155,19.77616,139,,,
20294,26.010888,139,,,
20433,14.343036,139,0.8494830131530762,3.4966197431087496,4.279404845833779
20572,14.763235,139,,,
20711,20.393712,139,,,
20850,20.976169,139,,,
20989,19.67034,139,,,
21128,14.351432,139,,,
21267,7.784615,139,,,
21406,25.567028,139,,,
21545,12.882724,139,,,
21684,11.53854,139,,,
21823,15.641759,139,,,
