timesteps,episode_reward,episode_length,explained_variance,entropy_loss,value_loss
139,-7.605168,139,,,
278,-3.317883,139,,,
417,2.726226,139,,,
556,-15.738624,139,,,
695,4.064588,139,,,
834,1.753021,139,,,
973,10.683705,139,,,
1112,-3.736954,139,,,
1251,-6.909242,139,,,
1390,-7.706679,139,,,
1529,4.921006,139,,,
1668,1.661688,139,,,
1807,-6.016718,139,,,
1946,1.219936,139,,,
2085,-3.899223,139,,,
2224,-6.948418,139,,,
2363,5.416824,139,,,
2502,1.170409,139,,,
2641,-10.621125,139,,,
2780,-6.764511,139,,,
2919,-0.106388,139,,,
3058,-4.224529,139,,,
3197,-2.965882,139,,,
3336,-3.718409,139,,,
3475,0.582369,139,,,
3614,-10.998228,139,,,
3753,-3.213884,139,,,
3892,9.190964,139,,,
4031,-5.814802,139,0.000834345817565918,3.473793771862984,10.976203000545501
